x_m,c_H,c_OH,c_H2PO4,c_HPO4,c_PO4,c_AN,c_ADPN,c_PN,phi_l
6.36985151e-08,9.03442605e-11,1.10687718e+02,1.20663116e-04,8.41422777e+01,4.19103980e+02,1.31026084e+03,3.06753546e-01,1.10424843e-01,-5.25873722e-05
1.92594436e-07,9.03534191e-11,1.10676498e+02,1.20682900e-04,8.41475904e+01,4.19091853e+02,1.31026183e+03,3.05941975e-01,1.10145628e-01,-5.24788073e-05
3.24523411e-07,9.03628316e-11,1.10664969e+02,1.20703807e-04,8.41534035e+01,4.19077490e+02,1.31026286e+03,3.05111677e-01,1.09859629e-01,-5.23405949e-05
4.59556808e-07,9.03724729e-11,1.10653163e+02,1.20725263e-04,8.41593831e+01,4.19062585e+02,1.31026390e+03,3.04262222e-01,1.09566676e-01,-5.21960901e-05
5.97767680e-07,9.03823426e-11,1.10641080e+02,1.20747235e-04,8.41655085e+01,4.19047323e+02,1.31026497e+03,3.03393167e-01,1.09266593e-01,-5.20481907e-05
7.39230794e-07,9.03924499e-11,1.10628709e+02,1.20769727e-04,8.41717730e+01,4.19031654e+02,1.31026607e+03,3.02504061e-01,1.08959199e-01,-5.18958506e-05
8.84022681e-07,9.04027908e-11,1.10616054e+02,1.20792762e-04,8.41781981e+01,4.19015704e+02,1.31026719e+03,3.01594441e-01,1.08644309e-01,-5.17417472e-05
1.03222167e-06,9.04133836e-11,1.10603094e+02,1.20816339e-04,8.41847637e+01,4.18999291e+02,1.31026834e+03,3.00663834e-01,1.08321734e-01,-5.15822274e-05
1.18390793e-06,9.04242211e-11,1.10589838e+02,1.20840486e-04,8.41914980e+01,4.18982587e+02,1.31026952e+03,2.99711754e-01,1.07991278e-01,-5.14209407e-05
1.33916352e-06,9.04353198e-11,1.10576266e+02,1.20865204e-04,8.41983849e+01,4.18965435e+02,1.31027072e+03,2.98737705e-01,1.07652741e-01,-5.12547656e-05
1.49807244e-06,9.04466791e-11,1.10562379e+02,1.20890516e-04,8.42054412e+01,4.18947924e+02,1.31027195e+03,2.97741179e-01,1.07305917e-01,-5.10856089e-05
1.66072064e-06,9.04583127e-11,1.10548160e+02,1.20916426e-04,8.42126568e+01,4.18929940e+02,1.31027321e+03,2.96721655e-01,1.06950594e-01,-5.09112493e-05
1.82719613e-06,9.04702259e-11,1.10533603e+02,1.20942950e-04,8.42200381e+01,4.18911489e+02,1.31027450e+03,2.95678600e-01,1.06586556e-01,-5.07319268e-05
1.99758895e-06,9.04824152e-11,1.10518712e+02,1.20970118e-04,8.42276080e+01,4.18892704e+02,1.31027582e+03,2.94611468e-01,1.06213579e-01,-5.05504410e-05
2.17199129e-06,9.04949009e-11,1.10503464e+02,1.20997925e-04,8.42353456e+01,4.18873385e+02,1.31027717e+03,2.93519700e-01,1.05831433e-01,-5.03628535e-05
2.35049750e-06,9.05076794e-11,1.10487862e+02,1.21026402e-04,8.42432751e+01,4.18853671e+02,1.31027856e+03,2.92402723e-01,1.05439884e-01,-5.01720916e-05
2.53320413e-06,9.05207618e-11,1.10471894e+02,1.21055560e-04,8.42513930e+01,4.18833492e+02,1.31027997e+03,2.91259951e-01,1.05038690e-01,-4.99768693e-05
2.72021005e-06,9.05341593e-11,1.10455546e+02,1.21085410e-04,8.42596972e+01,4.18812788e+02,1.31028142e+03,2.90090782e-01,1.04627603e-01,-4.97760488e-05
2.91161640e-06,9.05478732e-11,1.10438817e+02,1.21115978e-04,8.42682035e+01,4.18791631e+02,1.31028290e+03,2.88894602e-01,1.04206367e-01,-4.95712483e-05
3.10752674e-06,9.05619169e-11,1.10421691e+02,1.21147273e-04,8.42769061e+01,4.18769931e+02,1.31028442e+03,2.87670780e-01,1.03774722e-01,-4.93607254e-05
3.30804705e-06,9.05762893e-11,1.10404170e+02,1.21179324e-04,8.42858266e+01,4.18747801e+02,1.31028597e+03,2.86418670e-01,1.03332396e-01,-4.91469410e-05
3.51328580e-06,9.05910108e-11,1.10386228e+02,1.21212134e-04,8.42949469e+01,4.18725056e+02,1.31028757e+03,2.85137610e-01,1.02879116e-01,-4.89262528e-05
3.72335404e-06,9.06060776e-11,1.10367872e+02,1.21245738e-04,8.43042948e+01,4.18701853e+02,1.31028919e+03,2.83826922e-01,1.02414597e-01,-4.87019922e-05
3.93836540e-06,9.06215029e-11,1.10349086e+02,1.21280147e-04,8.43138663e+01,4.18678112e+02,1.31029086e+03,2.82485912e-01,1.01938547e-01,-4.84726607e-05
4.15843619e-06,9.06372951e-11,1.10329859e+02,1.21315383e-04,8.43236677e+01,4.18653826e+02,1.31029256e+03,2.81113866e-01,1.01450668e-01,-4.82382654e-05
4.38368547e-06,9.06534695e-11,1.10310174e+02,1.21351458e-04,8.43336926e+01,4.18628893e+02,1.31029431e+03,2.79710057e-01,1.00950654e-01,-4.79968561e-05
4.61423510e-06,9.06700268e-11,1.10290030e+02,1.21388401e-04,8.43439618e+01,4.18603413e+02,1.31029610e+03,2.78273735e-01,1.00438189e-01,-4.77506308e-05
4.85020980e-06,9.06869825e-11,1.10269409e+02,1.21426228e-04,8.43544700e+01,4.18577290e+02,1.31029792e+03,2.76804136e-01,9.99129500e-02,-4.74977769e-05
5.09173722e-06,9.07043408e-11,1.10248307e+02,1.21464966e-04,8.43652330e+01,4.18550584e+02,1.31029980e+03,2.75300474e-01,9.93746058e-02,-4.72396645e-05
5.33894803e-06,9.07221188e-11,1.10226703e+02,1.21504628e-04,8.43762435e+01,4.18523178e+02,1.31030171e+03,2.73761944e-01,9.88228165e-02,-4.69741076e-05
5.59197596e-06,9.07403166e-11,1.10204597e+02,1.21545251e-04,8.43875258e+01,4.18495196e+02,1.31030367e+03,2.72187722e-01,9.82572335e-02,-4.67037507e-05
5.85095790e-06,9.07589521e-11,1.10181968e+02,1.21586847e-04,8.43990723e+01,4.18466516e+02,1.31030568e+03,2.70576963e-01,9.76774996e-02,-4.64262950e-05
6.11603395e-06,9.07780293e-11,1.10158813e+02,1.21629450e-04,8.44109019e+01,4.18437215e+02,1.31030773e+03,2.68928801e-01,9.70832485e-02,-4.61435018e-05
6.38734751e-06,9.07975658e-11,1.10135111e+02,1.21673074e-04,8.44230087e+01,4.18407185e+02,1.31030984e+03,2.67242348e-01,9.64741054e-02,-4.58532910e-05
