x_m,c_H,c_OH,c_H2PO4,c_HPO4,c_PO4,c_AN,c_ADPN,c_PN,phi_l
6.36985151e-08,9.39396306e-11,1.06451311e+02,1.28770335e-04,8.63589566e+01,4.13686017e+02,1.31063682e+03,1.21824940e-02,5.46784131e-03,-7.30723286e-07
1.92594436e-07,9.39397686e-11,1.06451156e+02,1.28770639e-04,8.63590347e+01,4.13685850e+02,1.31063684e+03,1.21824940e-02,5.44411382e-03,-7.29326780e-07
3.24523411e-07,9.39399104e-11,1.06450996e+02,1.28770960e-04,8.63591206e+01,4.13685646e+02,1.31063685e+03,1.21824940e-02,5.41992483e-03,-7.27416778e-07
4.59556808e-07,9.39400556e-11,1.06450832e+02,1.28771290e-04,8.63592091e+01,4.13685435e+02,1.31063687e+03,1.21824940e-02,5.39526801e-03,-7.25426995e-07
5.97767680e-07,9.39402042e-11,1.06450665e+02,1.28771628e-04,8.63592999e+01,4.13685219e+02,1.31063689e+03,1.21824940e-02,5.37013705e-03,-7.23397073e-07
7.39230794e-07,9.39403563e-11,1.06450493e+02,1.28771974e-04,8.63593926e+01,4.13684996e+02,1.31063690e+03,1.21824940e-02,5.34452569e-03,-7.21288114e-07
8.84022681e-07,9.39405119e-11,1.06450317e+02,1.28772328e-04,8.63594876e+01,4.13684769e+02,1.31063692e+03,1.21824940e-02,5.31842773e-03,-7.19157562e-07
1.03222167e-06,9.39406712e-11,1.06450138e+02,1.28772690e-04,8.63595847e+01,4.13684535e+02,1.31063694e+03,1.21824940e-02,5.29183705e-03,-7.16940630e-07
1.18390793e-06,9.39408340e-11,1.06449954e+02,1.28773061e-04,8.63596845e+01,4.13684300e+02,1.31063696e+03,1.21824940e-02,5.26474759e-03,-7.14744692e-07
1.33916352e-06,9.39410007e-11,1.06449766e+02,1.28773441e-04,8.63597864e+01,4.13684056e+02,1.31063698e+03,1.21824940e-02,5.23715339e-03,-7.12455202e-07
1.49807244e-06,9.39411715e-11,1.06449573e+02,1.28773829e-04,8.63598905e+01,4.13683806e+02,1.31063700e+03,1.21824940e-02,5.20904856e-03,-7.10082554e-07
1.66072064e-06,9.39413461e-11,1.06449376e+02,1.28774227e-04,8.63599973e+01,4.13683551e+02,1.31063702e+03,1.21824940e-02,5.18042736e-03,-7.07687807e-07
1.82719613e-06,9.39415247e-11,1.06449174e+02,1.28774634e-04,8.63601068e+01,4.13683291e+02,1.31063704e+03,1.21824940e-02,5.15128413e-03,-7.05259932e-07
