x_m,c_H,c_OH,c_H2PO4,c_HPO4,c_PO4,c_AN,c_ADPN,c_PN,phi_l
6.36985151e-08,9.00937057e-11,1.10995546e+02,1.20106011e-04,8.39867136e+01,4.19492521e+02,1.31031799e+03,2.63080265e-01,9.41866137e-02,-5.63589857e-05
1.92594436e-07,9.01034780e-11,1.10983507e+02,1.20127093e-04,8.39923925e+01,4.19479310e+02,1.31031884e+03,2.62393284e-01,9.39380045e-02,-5.62386064e-05
3.24523411e-07,9.01135103e-11,1.10971151e+02,1.20149347e-04,8.39986019e+01,4.19463942e+02,1.31031970e+03,2.61690205e-01,9.36834100e-02,-5.60905949e-05
4.59556808e-07,9.01237883e-11,1.10958496e+02,1.20172177e-04,8.40049815e+01,4.19447985e+02,1.31032059e+03,2.60970649e-01,9.34226836e-02,-5.59355397e-05
5.97767680e-07,9.01343137e-11,1.10945539e+02,1.20195551e-04,8.40115091e+01,4.19431595e+02,1.31032151e+03,2.60234229e-01,9.31556751e-02,-5.57757861e-05
7.39230794e-07,9.01450809e-11,1.10932287e+02,1.20219493e-04,8.40182072e+01,4.19414934e+02,1.31032244e+03,2.59480551e-01,9.28822306e-02,-5.56146271e-05
8.84022681e-07,9.01561133e-11,1.10918712e+02,1.20243994e-04,8.40250464e+01,4.19397747e+02,1.31032339e+03,2.58709210e-01,9.26021922e-02,-5.54469792e-05
1.03222167e-06,9.01674035e-11,1.10904824e+02,1.20269084e-04,8.40320563e+01,4.19380217e+02,1.31032437e+03,2.57919789e-01,9.23153984e-02,-5.52766572e-05
1.18390793e-06,9.01789583e-11,1.10890613e+02,1.20294779e-04,8.40392391e+01,4.19362324e+02,1.31032537e+03,2.57111866e-01,9.20216835e-02,-5.51033593e-05
1.33916352e-06,9.01907865e-11,1.10876071e+02,1.20321088e-04,8.40465952e+01,4.19344029e+02,1.31032639e+03,2.56285006e-01,9.17208779e-02,-5.49264096e-05
1.49807244e-06,9.02029017e-11,1.10861179e+02,1.20348017e-04,8.40541150e+01,4.19325221e+02,1.31032744e+03,2.55438763e-01,9.14128079e-02,-5.47436331e-05
1.66072064e-06,9.02153017e-11,1.10845941e+02,1.20375594e-04,8.40618196e+01,4.19306016e+02,1.31032851e+03,2.54572683e-01,9.10972954e-02,-5.45575197e-05
