x_m,c_H,c_OH,c_H2PO4,c_HPO4,c_PO4,c_AN,c_ADPN,c_PN,phi_l
6.66504536e-06,2.19803035e-11,4.54952826e+02,1.14462742e-05,3.28073425e+01,6.71660489e+02,1.24255637e+03,5.18088673e+01,1.96686517e+01,-2.89515024e-03
6.94927771e-06,2.20966107e-11,4.52558144e+02,1.15473897e-05,3.29229504e+01,6.70479513e+02,1.24300961e+03,5.14639920e+01,1.95377277e+01,-2.88222486e-03
7.24019835e-06,2.22168671e-11,4.50108517e+02,1.16523805e-05,3.30424642e+01,6.69271045e+02,1.24347351e+03,5.11110015e+01,1.94037229e+01,-2.86899447e-03
7.53796465e-06,2.23413649e-11,4.47600273e+02,1.17613763e-05,3.31656891e+01,6.68023506e+02,1.24394833e+03,5.07497047e+01,1.92665649e+01,-2.85531181e-03
7.84273769e-06,2.24703149e-11,4.45031636e+02,1.18745670e-05,3.32927144e+01,6.66733786e+02,1.24443432e+03,5.03799062e+01,1.91261794e+01,-2.84113742e-03
8.15468235e-06,2.26036139e-11,4.42407173e+02,1.19923268e-05,3.34245949e+01,6.65427405e+02,1.24493175e+03,5.00014060e+01,1.89824905e+01,-2.82680003e-03
8.47396739e-06,2.27418834e-11,4.39717357e+02,1.21146673e-05,3.35602849e+01,6.64066568e+02,1.24544089e+03,4.96139993e+01,1.88354204e+01,-2.81181461e-03
8.80076553e-06,2.28849485e-11,4.36968465e+02,1.22420448e-05,3.37011405e+01,6.62684879e+02,1.24596200e+03,4.92174765e+01,1.86848897e+01,-2.79661500e-03
9.13525357e-06,2.30333737e-11,4.34152675e+02,1.23745457e-05,3.38463843e+01,6.61252195e+02,1.24649538e+03,4.88116231e+01,1.85308167e+01,-2.78081318e-03
9.47761245e-06,2.31872257e-11,4.31271981e+02,1.25125483e-05,3.39967614e+01,6.59783046e+02,1.24704131e+03,4.83962196e+01,1.83731183e+01,-2.76459783e-03
