table,gap_mm,Q_total_mL_min,j_mA_cm2,phi_AN,FE_ADN_obs,FE_ADN_model,FE_ADN_resid_pp,FE_PN_obs,FE_PN_model,FE_PN_resid_pp,FE_TCH_obs,FE_TCH_model,FE_TCH_resid_pp
Table_S8,1.00,2,223,0.1000,74.40,61.60,-12.80,8.00,2.51,-5.49,10.40,0.65,-9.75
Table_S8,1.00,2,239,0.2600,74.20,66.01,-8.19,6.50,3.20,-3.30,9.50,1.24,-8.26
Table_S8,1.00,2,254,0.0600,62.40,35.46,-26.94,11.50,0.58,-10.92,6.60,0.02,-6.58
Table_S8,1.00,2,269,0.2200,74.80,60.88,-13.92,7.70,2.22,-5.48,8.70,0.48,-8.22
Table_S8,1.00,2,285,0.1400,73.80,54.10,-19.70,7.80,1.51,-6.29,8.80,0.18,-8.62
Table_S8,1.00,2,290,0.2900,72.00,61.28,-10.72,6.10,2.19,-3.91,7.90,0.47,-7.43
Table_S9,1.00,6,80,0.2900,59.00,61.59,2.59,8.90,7.25,-1.65,12.70,13.70,1.00
Table_S9,1.00,6,85,0.1600,64.60,62.49,-2.11,12.00,7.08,-4.92,13.20,12.55,-0.65
Table_S9,1.00,6,101,0.0800,77.40,65.12,-12.28,8.00,6.29,-1.71,17.10,8.41,-8.69
Table_S9,1.00,6,116,0.2400,64.30,64.76,0.46,5.80,6.77,0.97,14.00,11.05,-2.95
Table_S9,1.00,6,131,0.0400,73.30,56.16,-17.14,8.30,2.33,-5.97,15.60,0.55,-15.05
Table_S9,1.00,6,147,0.2000,64.40,66.97,2.57,9.50,6.28,-3.22,12.70,8.70,-4.00
Table_S9,1.00,6,162,0.1200,69.80,68.06,-1.74,9.80,5.81,-3.99,13.40,6.82,-6.58
Table_S9,1.00,6,177,0.2800,63.20,68.25,5.05,8.70,6.03,-2.67,12.40,7.76,-4.64
Table_S9,1.00,6,208,0.1800,69.70,69.59,-0.11,6.40,5.21,-1.19,13.20,4.94,-8.26
Table_S9,1.00,6,223,0.1000,73.50,69.35,-4.15,8.90,4.48,-4.42,13.60,3.17,-10.43
Table_S9,1.00,6,239,0.2600,68.10,70.29,2.19,8.50,4.99,-3.51,11.60,4.40,-7.20
Table_S9,1.00,6,254,0.0600,56.00,49.70,-6.30,11.40,1.26,-10.14,9.70,0.12,-9.58
Table_S9,1.00,6,269,0.2200,64.40,70.07,5.67,11.00,4.22,-6.78,9.70,2.72,-6.98
Table_S9,1.00,6,285,0.1400,68.20,67.88,-0.32,11.50,3.34,-8.16,9.80,1.41,-8.39
Table_S9,1.00,6,290,0.2900,60.10,70.51,10.41,16.30,4.21,-12.09,7.60,2.71,-4.89
Table_S10,1.00,10,80,0.2900,52.70,61.18,8.48,10.90,7.35,-3.55,11.70,14.45,2.75
Table_S10,1.00,10,85,0.1600,71.60,62.01,-9.59,8.90,7.21,-1.69,15.10,13.46,-1.64
Table_S10,1.00,10,101,0.0800,79.90,64.69,-15.21,8.50,6.55,-1.95,17.60,9.65,-7.95
Table_S10,1.00,10,116,0.2400,60.90,64.20,3.30,7.40,6.94,-0.46,14.50,12.15,-2.35
Table_S10,1.00,10,131,0.0400,73.90,60.24,-13.66,6.90,2.95,-3.95,17.50,0.99,-16.51
Table_S10,1.00,10,147,0.2000,60.20,66.37,6.17,8.40,6.55,-1.85,13.50,10.08,-3.42
Table_S10,1.00,10,162,0.1200,76.70,67.58,-9.12,8.00,6.19,-1.81,14.80,8.39,-6.41
Table_S10,1.00,10,177,0.2800,60.10,67.65,7.55,11.80,6.35,-5.45,10.70,9.24,-1.46
Table_S10,1.00,10,208,0.1800,64.90,69.40,4.50,11.50,5.72,-5.78,11.20,6.63,-4.57
Table_S10,1.00,10,223,0.1000,70.60,69.96,-0.64,12.80,5.16,-7.64,11.90,4.85,-7.05
Table_S10,1.00,10,239,0.2600,58.50,70.22,11.72,14.00,5.55,-8.45,9.80,6.11,-3.69
Table_S10,1.00,10,254,0.0600,69.30,56.88,-12.42,15.60,1.83,-13.77,12.10,0.29,-11.81
Table_S10,1.00,10,269,0.2200,61.90,70.93,9.03,12.40,4.96,-7.44,9.70,4.37,-5.33
Table_S10,1.00,10,285,0.1400,67.60,70.49,2.89,11.40,4.26,-7.14,10.50,2.79,-7.71
Table_S10,1.00,10,290,0.2900,61.80,71.33,9.53,10.90,4.95,-5.95,9.60,4.37,-5.23
