table,subset,gap_mm,Q_total_mL_min,j_mA_cm2,phi_AN,FE_ADN_obs,FE_ADN_model,FE_ADN_resid_pp,FE_PN_obs,FE_PN_model,FE_PN_resid_pp,V_cathode_SHE_V,V_cell_obs_V,V_cell_pred_V,V_cell_resid_V,delta_lev_um,kappa_eff_S_per_m,R_series_Ohm_m2,converged,note
Table_S10,Core,1.00,10,131,0.0400,73.90,43.79,-30.11,6.90,6.35,-0.55,-2.1447,3.9046,4.0391,0.1344,130.68,17.985,1.4834e-04,true,
Table_S10,Core,1.00,10,147,0.2000,60.20,71.61,11.41,8.40,8.01,-0.39,-2.0805,4.1935,4.0209,-0.1726,130.68,13.681,1.6354e-04,true,
Table_S10,Core,1.00,10,162,0.1200,76.70,70.92,-5.78,8.00,7.54,-0.46,-2.0932,4.1935,4.0444,-0.1491,130.68,15.784,1.5508e-04,true,
Table_S10,Core,1.00,10,177,0.2800,60.10,73.01,12.91,11.80,7.31,-4.49,-2.0938,4.5363,4.1025,-0.4338,130.68,11.681,1.7442e-04,true,
Table_S10,Excluded,1.00,10,193,0.0200,50.60,18.64,-31.96,27.20,3.26,-23.94,-2.2152,4.3910,4.1987,-0.1923,130.68,18.550,1.4686e-04,true,
Table_S10,Extended-only,1.00,10,208,0.1800,64.90,71.58,6.68,11.50,6.58,-4.92,-2.1160,4.5072,4.1514,-0.3558,130.68,14.198,1.6123e-04,true,
Table_S10,Extended-only,1.00,10,223,0.1000,70.60,69.31,-1.29,12.80,6.19,-6.61,-2.1315,4.5993,4.1732,-0.4261,130.68,16.325,1.5325e-04,true,
Table_S10,Extended-only,1.00,10,239,0.2600,58.50,72.41,13.91,14.00,6.13,-7.87,-2.1277,5.2536,4.2374,-1.0161,130.68,12.171,1.7142e-04,true,
Table_S10,Extended-only,1.00,10,254,0.0600,69.30,47.40,-21.90,15.60,4.58,-11.02,-2.1983,4.9042,4.2790,-0.6253,130.68,17.426,1.4989e-04,true,
Table_S10,Extended-only,1.00,10,269,0.2200,61.90,70.51,8.61,12.40,5.63,-6.77,-2.1465,5.4716,4.2930,-1.1786,130.68,13.172,1.6600e-04,true,
Table_S10,Extended-only,1.00,10,285,0.1400,67.60,67.07,-0.53,11.40,5.27,-6.13,-2.1629,5.0682,4.3104,-0.7578,130.68,15.249,1.5701e-04,true,
Table_S10,Excluded,1.00,10,290,0.0200,42.60,14.09,-28.51,25.10,2.25,-22.85,-2.2559,5.0413,4.3818,-0.6596,130.68,18.550,1.4686e-04,true,
Table_S10,Extended-only,1.00,10,290,0.2900,61.80,71.37,9.57,10.90,5.44,-5.46,-2.1512,5.2601,4.3616,-0.8985,130.68,11.439,1.7600e-04,true,
