table,gap_mm,Q_total_mL_min,j_mA_cm2,phi_AN,FE_ADN_obs,FE_ADN_model,FE_ADN_resid_pp,FE_PN_obs,FE_PN_model,FE_PN_resid_pp
Table_S9,1.00,6,239,0.2600,68.10,69.19,1.09,8.50,5.94,-2.56
Table_S9,1.00,6,254,0.0600,56.00,41.63,-14.37,11.40,4.26,-7.14
Table_S9,1.00,6,269,0.2200,64.40,66.16,1.76,11.00,5.40,-5.60
Table_S9,1.00,6,285,0.1400,68.20,61.55,-6.65,11.50,5.00,-6.50
Table_S9,1.00,6,290,0.2900,60.10,67.00,6.90,16.30,5.22,-11.08
Table_S10,1.00,10,80,0.2900,52.70,67.25,14.55,10.90,10.85,-0.05
Table_S10,1.00,10,85,0.1600,71.60,67.34,-4.26,8.90,10.49,1.59
Table_S10,1.00,10,101,0.0800,79.90,65.85,-14.05,8.50,9.37,0.87
Table_S10,1.00,10,116,0.2400,60.90,70.51,9.61,7.40,9.07,1.67
Table_S10,1.00,10,131,0.0400,73.90,43.79,-30.11,6.90,6.35,-0.55
Table_S10,1.00,10,147,0.2000,60.20,71.61,11.41,8.40,8.01,-0.39
Table_S10,1.00,10,162,0.1200,76.70,70.92,-5.78,8.00,7.54,-0.46
Table_S10,1.00,10,177,0.2800,60.10,73.01,12.91,11.80,7.31,-4.49
Table_S10,1.00,10,208,0.1800,64.90,71.58,6.68,11.50,6.57,-4.93
Table_S10,1.00,10,223,0.1000,70.60,69.31,-1.29,12.80,6.19,-6.61
Table_S10,1.00,10,239,0.2600,58.50,72.41,13.91,14.00,6.13,-7.87
Table_S10,1.00,10,254,0.0600,69.30,47.40,-21.90,15.60,4.58,-11.02
Table_S10,1.00,10,269,0.2200,61.90,70.51,8.61,12.40,5.63,-6.77
Table_S10,1.00,10,285,0.1400,67.60,67.07,-0.53,11.40,5.27,-6.13
Table_S10,1.00,10,290,0.2900,61.80,71.37,9.57,10.90,5.44,-5.46
