table,gap_mm,Q_total_mL_min,j_mA_cm2,phi_AN,FE_ADN_obs,FE_ADN_model,FE_ADN_resid_pp,FE_PN_obs,FE_PN_model,FE_PN_resid_pp,FE_TCH_obs,FE_TCH_model,FE_TCH_resid_pp
Table_S8,1.00,2,223,0.1000,74.40,55.02,-19.38,8.00,1.64,-6.36,10.40,6.92,-3.48
Table_S8,1.00,2,239,0.2600,74.20,60.25,-13.95,6.50,2.35,-4.15,9.50,8.45,-1.05
Table_S8,1.00,2,254,0.0600,62.40,31.52,-30.88,11.50,0.35,-11.15,6.60,2.68,-3.92
Table_S8,1.00,2,269,0.2200,74.80,53.83,-20.97,7.70,1.47,-6.23,8.70,6.57,-2.13
Table_S8,1.00,2,285,0.1400,73.80,47.40,-26.40,7.80,0.98,-6.82,8.80,5.17,-3.63
Table_S8,1.00,2,290,0.2900,72.00,54.08,-17.92,6.10,1.48,-4.62,7.90,6.62,-1.28
Table_S9,1.00,6,80,0.2900,59.00,65.94,6.94,8.90,10.57,1.67,12.70,15.76,3.06
Table_S9,1.00,6,85,0.1600,64.60,66.21,1.61,12.00,10.14,-1.86,13.20,15.57,2.37
Table_S9,1.00,6,101,0.0800,77.40,67.09,-10.31,8.00,8.19,0.19,17.10,14.48,-2.62
Table_S9,1.00,6,116,0.2400,64.30,66.51,2.21,5.80,9.94,4.14,14.00,15.57,1.57
Table_S9,1.00,6,131,0.0400,73.30,51.77,-21.53,8.30,1.43,-6.87,15.60,6.26,-9.34
Table_S9,1.00,6,147,0.2000,64.40,67.15,2.75,9.50,8.93,-0.57,12.70,15.08,2.38
Table_S9,1.00,6,162,0.1200,69.80,67.59,-2.21,9.80,7.68,-2.12,13.40,14.30,0.90
Table_S9,1.00,6,177,0.2800,63.20,67.42,4.22,8.70,8.58,-0.12,12.40,14.93,2.53
Table_S9,1.00,6,208,0.1800,69.70,67.81,-1.89,6.40,6.35,-0.05,13.20,13.36,0.16
Table_S9,1.00,6,223,0.1000,73.50,66.52,-6.98,8.90,4.48,-4.42,13.60,11.54,-2.06
Table_S9,1.00,6,239,0.2600,68.10,67.85,-0.25,8.50,5.98,-2.52,11.60,13.09,1.49
Table_S9,1.00,6,254,0.0600,56.00,43.73,-12.27,11.40,0.79,-10.61,9.70,4.52,-5.18
Table_S9,1.00,6,269,0.2200,64.40,66.29,1.89,11.00,4.16,-6.84,9.70,11.22,1.52
Table_S9,1.00,6,285,0.1400,68.20,62.09,-6.11,11.50,2.65,-8.85,9.80,9.05,-0.75
Table_S9,1.00,6,290,0.2900,60.10,66.51,6.41,16.30,4.22,-12.08,7.60,11.33,3.73
Table_S10,1.00,10,80,0.2900,52.70,65.75,13.05,10.90,10.90,-0.00,11.70,15.92,4.22
Table_S10,1.00,10,85,0.1600,71.60,65.97,-5.63,8.90,10.57,1.67,15.10,15.78,0.68
Table_S10,1.00,10,101,0.0800,79.90,66.86,-13.04,8.50,8.97,0.47,17.60,14.97,-2.63
Table_S10,1.00,10,116,0.2400,60.90,66.19,5.29,7.40,10.52,3.12,14.50,15.87,1.37
Table_S10,1.00,10,131,0.0400,73.90,57.37,-16.53,6.90,2.08,-4.82,17.50,7.73,-9.77
Table_S10,1.00,10,147,0.2000,60.20,66.73,6.53,8.40,9.82,1.42,13.50,15.59,2.09
Table_S10,1.00,10,162,0.1200,76.70,67.24,-9.46,8.00,8.88,0.88,14.80,15.09,0.29
Table_S10,1.00,10,177,0.2800,60.10,66.94,6.84,11.80,9.63,-2.17,10.70,15.55,4.85
Table_S10,1.00,10,208,0.1800,64.90,67.75,2.85,11.50,7.95,-3.55,11.20,14.58,3.38
Table_S10,1.00,10,223,0.1000,70.60,67.88,-2.72,12.80,6.35,-6.45,11.90,13.39,1.49
Table_S10,1.00,10,239,0.2600,58.50,67.91,9.41,14.00,7.71,-6.29,9.80,14.47,4.67
Table_S10,1.00,10,254,0.0600,69.30,50.33,-18.97,15.60,1.19,-14.41,12.10,5.79,-6.31
Table_S10,1.00,10,269,0.2200,61.90,68.02,6.12,12.40,6.12,-6.28,9.70,13.26,3.56
Table_S10,1.00,10,285,0.1400,67.60,66.62,-0.98,11.40,4.31,-7.09,10.50,11.42,0.92
Table_S10,1.00,10,290,0.2900,61.80,68.13,6.33,10.90,6.23,-4.67,9.60,13.38,3.78
