iter,loss,lambda,nfail
0,1.074872e+04,1.000000e-02,0
1,7.115605e+03,5.000000e-03,0
2,6.040519e+03,2.500000e-03,0
3,5.921635e+03,1.250000e-03,0
4,5.921635e+03,5.000000e-03,0
5,5.921635e+03,2.000000e-02,0
6,5.921635e+03,8.000000e-02,0
7,5.921635e+03,3.200000e-01,0
8,5.921635e+03,1.280000e+00,0
9,5.917543e+03,6.400000e-01,0
