j_mA_cm2,phi_AN,Q_aq_mL_min,Q_org_mL_min,We_aq,We_org,FE_ADN_pct,FE_TCH_pct,FE_PN_pct,PR_ADN_kg_cm2_h,EP_ADN_kg_kWh
85,0.02,9.8,0.2,6.4E-01,2.1E-04,0.0,0.9,13.0,0.0E+00,0.000
80,0.29,7.1,2.9,3.3E-01,4.5E-02,45.8,9.1,20.8,7.4E-05,0.302
85,0.16,8.4,1.6,4.7E-01,1.4E-02,33.4,0.2,40.5,5.8E-05,0.217
101,0.08,9.2,0.8,5.6E-01,3.4E-03,50.2,6.3,29.1,1.0E-04,0.321
116,0.24,7.6,2.4,3.8E-01,3.1E-02,40.4,7.3,22.8,9.5E-05,0.247
131,0.04,9.6,0.4,6.1E-01,8.6E-04,20.9,0.1,13.5,5.5E-05,0.125
147,0.20,8.0,2.0,4.2E-01,2.1E-02,25.8,4.3,29.9,7.6E-05,0.149
162,0.12,8.8,1.2,5.1E-01,7.7E-03,36.5,5.5,24.6,1.2E-04,0.206
177,0.28,7.2,2.8,3.4E-01,4.2E-02,38.0,8.5,19.8,1.4E-04,0.206
193,0.02,9.8,0.2,6.4E-01,2.1E-04,0.3,0.7,2.2,1.0E-06,0.001
208,0.18,8.2,1.8,4.4E-01,1.7E-02,23.2,3.8,28.7,9.7E-05,0.130
223,0.10,9.0,1.0,5.4E-01,5.4E-03,28.8,5.0,18.4,1.3E-04,0.161
239,0.26,7.4,2.6,3.6E-01,3.6E-02,34.9,7.0,23.4,1.7E-04,0.190
254,0.06,9.4,0.6,5.8E-01,1.9E-03,20.2,3.8,19.7,1.0E-04,0.117
269,0.22,7.8,2.2,4.0E-01,2.6E-02,21.9,4.3,25.9,1.2E-04,0.118
285,0.14,8.6,1.4,4.9E-01,1.1E-02,19.7,4.0,23.4,1.1E-04,0.106
290,0.02,9.8,0.2,6.4E-01,2.1E-04,0.2,0.1,2.4,1.4E-06,0.001
290,0.29,7.1,2.9,3.3E-01,4.5E-02,45.4,9.3,14.2,2.7E-04,0.235
