j_mA_cm2,phi_AN,Q_aq_mL_min,Q_org_mL_min,We_aq,We_org,FE_ADN_pct,FE_TCH_pct,FE_PN_pct,PR_ADN_kg_cm2_h,EP_ADN_kg_kWh
85,0.02,5.88,0.12,2.3E-01,7.7E-05,0.6,1.2,9.1,1.1E-06,0.004
80,0.29,4.26,1.74,1.2E-01,1.6E-02,41.8,6.7,22.6,6.7E-05,0.274
85,0.16,5.04,0.96,1.7E-01,4.9E-03,70.3,14.0,3.7,1.2E-04,0.453
101,0.08,5.52,0.48,2.0E-01,1.2E-03,64.3,10.7,16.7,1.3E-04,0.405
116,0.24,4.56,1.44,1.4E-01,1.1E-02,58.2,12.6,2.8,1.4E-04,0.354
131,0.04,5.76,0.24,2.2E-01,3.1E-04,22.6,3.2,19.3,6.0E-05,0.133
147,0.20,4.80,1.20,1.5E-01,7.7E-03,58.5,11.4,6.1,1.7E-04,0.338
162,0.12,5.28,0.72,1.8E-01,2.8E-03,52.6,7.5,22.4,1.7E-04,0.296
177,0.28,4.32,1.68,1.2E-01,1.5E-02,55.5,10.2,7.1,2.0E-04,0.300
193,0.02,5.88,0.12,2.3E-01,7.7E-05,0.3,0.0,3.0,1.2E-06,0.002
208,0.18,4.92,1.08,1.6E-01,6.2E-03,60.2,10.8,6.7,2.5E-04,0.306
223,0.10,5.40,0.60,1.9E-01,1.9E-03,40.6,5.7,32.5,1.8E-04,0.201
239,0.26,4.44,1.56,1.3E-01,1.3E-02,61.1,11.9,4.5,2.9E-04,0.289
254,0.06,5.64,0.36,2.1E-01,6.9E-04,0.1,0.8,6.3,2.6E-07,0.000
269,0.22,4.68,1.32,1.4E-01,9.3E-03,59.4,10.8,7.3,3.2E-04,0.269
285,0.14,5.16,0.84,1.8E-01,3.8E-03,47.6,6.8,20.7,2.7E-04,0.211
290,0.02,5.88,0.12,2.3E-01,7.7E-05,0.0,0.2,3.9,1.6E-07,0.000
290,0.29,4.26,1.74,1.2E-01,1.6E-02,62.0,11.4,5.7,3.6E-04,0.306
