table,gap_mm,Q_total_mL_min,j_mA_cm2,phi_AN,Q_aq_mL_min,Q_org_mL_min,We_aq,We_org,FE_ADN_pct,FE_TCH_pct,FE_PN_pct,PR_ADN_kg_cm2_h,EP_ADN_kg_kWh
Table_S4,0.25,10,239,0.26,7.4,2.6,3.6E-01,3.6E-02,34.9,7.0,23.4,1.7E-04,0.190
Table_S4,0.25,10,254,0.06,9.4,0.6,5.8E-01,1.9E-03,20.2,3.8,19.7,1.0E-04,0.117
Table_S4,0.25,10,269,0.22,7.8,2.2,4.0E-01,2.6E-02,21.9,4.3,25.9,1.2E-04,0.118
Table_S4,0.25,10,285,0.14,8.6,1.4,4.9E-01,1.1E-02,19.7,4.0,23.4,1.1E-04,0.106
Table_S4,0.25,10,290,0.02,9.8,0.2,6.4E-01,2.1E-04,0.2,0.1,2.4,1.4E-06,0.001
Table_S4,0.25,10,290,0.29,7.1,2.9,3.3E-01,4.5E-02,45.4,9.3,14.2,2.7E-04,0.235
Table_S5,0.5,2,85,0.02,1.96,0.04,1.3E-02,4.3E-06,33.1,3.0,41.7,5.7E-05,0.210
Table_S5,0.5,2,80,0.29,1.42,0.58,6.7E-03,9.0E-04,51.0,10.9,1.5,8.2E-05,0.335
Table_S5,0.5,2,85,0.16,1.68,0.32,9.3E-03,2.7E-04,60.7,13.5,2.0,1.0E-04,0.396
Table_S5,0.5,2,101,0.08,1.84,0.16,1.1E-02,6.9E-05,71.5,16.6,3.0,1.5E-04,0.447
Table_S5,0.5,2,116,0.24,1.52,0.48,7.6E-03,6.2E-04,60.9,13.7,2.2,1.4E-04,0.357
Table_S5,0.5,2,131,0.04,1.92,0.08,1.2E-02,1.7E-05,70.6,8.6,10.5,1.9E-04,0.407
Table_S5,0.5,2,147,0.20,1.60,0.40,8.5E-03,4.3E-04,65.3,14.7,2.8,1.9E-04,0.366
Table_S5,0.5,2,162,0.12,1.76,0.24,1.0E-02,1.5E-04,69.7,16.1,3.7,2.3E-04,0.380
Table_S5,0.5,2,177,0.28,1.44,0.56,6.9E-03,8.4E-04,67.7,14.1,2.4,2.4E-04,0.355
Table_S5,0.5,2,193,0.02,1.96,0.04,1.3E-02,4.3E-06,0.0,0.1,9.4,4.2E-08,0.000
Table_S5,0.5,2,208,0.18,1.64,0.36,8.9E-03,3.5E-04,70.4,14.3,4.3,3.0E-04,0.355
Table_S5,0.5,2,223,0.10,1.80,0.20,1.1E-02,1.1E-04,75.5,16.0,8.3,3.4E-04,0.376
Table_S5,0.5,2,239,0.26,1.48,0.52,7.2E-03,7.2E-04,74.3,12.6,4.4,3.6E-04,0.359
Table_S5,0.5,2,254,0.06,1.88,0.12,1.2E-02,3.9E-05,70.6,10.7,13.1,3.6E-04,0.339
Table_S5,0.5,2,269,0.22,1.56,0.44,8.0E-03,5.2E-04,75.0,12.2,6.2,4.1E-04,0.354
Table_S5,0.5,2,285,0.14,1.72,0.28,9.8E-03,2.1E-04,73.0,12.4,9.2,4.2E-04,0.341
Table_S5,0.5,2,290,0.02,1.96,0.04,1.3E-02,4.3E-06,0.4,0.0,5.0,2.2E-06,0.001
Table_S5,0.5,2,290,0.29,1.42,0.58,6.7E-03,9.0E-04,73.1,10.5,4.5,4.3E-04,0.339
Table_S6,0.5,6,85,0.02,5.88,0.12,1.1E-01,3.9E-05,51.1,9.3,17.3,8.8E-05,0.310
