j_mA_cm2,phi_AN,Q_aq_mL_min,Q_org_mL_min,We_aq,We_org,FE_ADN_pct,FE_TCH_pct,FE_PN_pct,PR_ADN_kg_cm2_h,EP_ADN_kg_kWh
85,0.02,5.88,0.12,5.7E-02,1.9E-05,62.5,9.5,18.6,1.1E-04,0.368
80,0.29,4.26,1.74,3.0E-02,4.1E-03,59.0,12.7,8.9,9.5E-05,0.338
85,0.16,5.04,0.96,4.2E-02,1.2E-03,64.6,13.2,12.0,1.1E-04,0.376
101,0.08,5.52,0.48,5.0E-02,3.1E-04,77.4,17.1,8.0,1.6E-04,0.431
116,0.24,4.56,1.44,3.4E-02,2.8E-03,64.3,14.0,5.8,1.5E-04,0.330
131,0.04,5.76,0.24,5.5E-02,7.7E-05,73.3,15.6,8.3,1.9E-04,0.377
147,0.20,4.80,1.20,3.8E-02,1.9E-03,64.4,12.7,9.5,1.9E-04,0.307
162,0.12,5.28,0.72,4.6E-02,6.9E-04,69.8,13.4,9.8,2.3E-04,0.333
177,0.28,4.32,1.68,3.1E-02,3.8E-03,63.2,12.4,8.7,2.3E-04,0.278
193,0.02,5.88,0.12,5.7E-02,1.9E-05,38.6,4.4,39.9,1.5E-04,0.172
208,0.18,4.92,1.08,4.0E-02,1.6E-03,69.7,13.2,6.4,2.9E-04,0.301
223,0.10,5.40,0.60,4.8E-02,4.8E-04,73.5,13.6,8.9,3.3E-04,0.323
239,0.26,4.44,1.56,3.3E-02,3.3E-03,68.1,11.6,8.5,3.3E-04,0.281
254,0.06,5.64,0.36,5.3E-02,1.7E-04,56.0,9.7,11.4,2.9E-04,0.227
269,0.22,4.68,1.32,3.6E-02,2.3E-03,64.4,9.7,11.0,3.5E-04,0.249
285,0.14,5.16,0.84,4.4E-02,9.5E-04,68.2,9.8,11.5,3.9E-04,0.269
290,0.02,5.88,0.12,5.7E-02,1.9E-05,31.0,3.6,26.7,1.8E-04,0.121
290,0.29,4.26,1.74,3.0E-02,4.1E-03,60.1,7.6,16.3,3.5E-04,0.239
