j_mA_cm2,phi_AN,Q_aq_mL_min,Q_org_mL_min,We_aq,We_org,FE_ADN_pct,FE_TCH_pct,FE_PN_pct,PR_ADN_kg_cm2_h,EP_ADN_kg_kWh
85,0.02,1.96,0.04,6.4E-03,2.1E-06,26.1,1.6,39.5,4.5E-05,0.148
80,0.29,1.42,0.58,3.3E-03,4.5E-04,61.5,13.0,2.2,9.9E-05,0.356
85,0.16,1.68,0.32,4.7E-03,1.4E-04,70.5,15.1,2.6,1.2E-04,0.395
101,0.08,1.84,0.16,5.6E-03,3.4E-05,74.6,16.7,3.3,1.5E-04,0.406
116,0.24,1.52,0.48,3.8E-03,3.1E-04,66.5,14.2,2.9,1.6E-04,0.337
131,0.04,1.92,0.08,6.1E-03,8.6E-06,67.4,7.4,13.2,1.8E-04,0.335
147,0.20,1.60,0.40,4.2E-03,2.1E-04,70.7,13.3,3.5,2.1E-04,0.330
162,0.12,1.76,0.24,5.1E-03,7.7E-05,69.4,13.4,7.4,2.3E-04,0.323
177,0.28,1.44,0.56,3.4E-03,4.2E-04,69.8,11.4,5.1,2.5E-04,0.297
193,0.02,1.96,0.04,6.4E-03,2.1E-06,20.3,1.1,33.0,7.9E-05,0.085
208,0.18,1.64,0.36,4.4E-03,1.7E-04,71.4,11.5,6.9,3.0E-04,0.308
223,0.10,1.80,0.20,5.4E-03,5.4E-05,74.4,10.4,8.0,3.4E-04,0.315
239,0.26,1.48,0.52,3.6E-03,3.6E-04,74.2,9.5,6.5,3.6E-04,0.327
254,0.06,1.88,0.12,5.8E-03,1.9E-05,62.4,6.6,11.5,3.2E-04,0.250
269,0.22,1.56,0.44,4.0E-03,2.6E-04,74.8,8.7,7.7,4.1E-04,0.303
285,0.14,1.72,0.28,4.9E-03,1.1E-04,73.8,8.8,7.8,4.2E-04,0.285
290,0.02,1.96,0.04,6.4E-03,2.1E-06,17.5,0.9,34.0,1.0E-04,0.068
290,0.29,1.42,0.58,3.3E-03,4.5E-04,72.0,7.9,6.1,4.2E-04,0.262
