j_mA_cm2,phi_AN,Q_aq_mL_min,Q_org_mL_min,We_aq,We_org,FE_ADN_pct,FE_TCH_pct,FE_PN_pct,PR_ADN_kg_cm2_h,EP_ADN_kg_kWh
85,0.02,9.8,0.2,3.2E-01,1.1E-04,46.4,8.6,20.8,8.0E-05,0.309
80,0.29,7.1,2.9,1.7E-01,2.3E-02,68.1,14.8,3.4,1.1E-04,0.446
85,0.16,8.4,1.6,2.3E-01,6.9E-03,65.5,12.3,11.7,1.1E-04,0.438
101,0.08,9.2,0.8,2.8E-01,1.7E-03,74.7,14.8,10.7,1.5E-04,0.486
116,0.24,7.6,2.4,1.9E-01,1.5E-02,58.6,11.5,14.1,1.4E-04,0.360
131,0.04,9.6,0.4,3.0E-01,4.3E-04,53.6,12.5,18.2,1.4E-04,0.328
147,0.20,8.0,2.0,2.1E-01,1.1E-02,47.3,10.6,18.9,1.4E-04,0.275
162,0.12,8.8,1.2,2.6E-01,3.9E-03,56.6,11.6,15.6,1.9E-04,0.328
177,0.28,7.2,2.8,1.7E-01,2.1E-02,61.6,14.7,1.9,2.2E-04,0.343
193,0.02,9.8,0.2,3.2E-01,1.1E-04,2.8,0.0,6.7,1.1E-05,0.015
208,0.18,8.2,1.8,2.2E-01,8.7E-03,48.9,10.9,17.7,2.1E-04,0.260
223,0.10,9.0,1.0,2.7E-01,2.7E-03,50.4,10.7,17.7,2.3E-04,0.264
239,0.26,7.4,2.6,1.8E-01,1.8E-02,65.8,14.1,3.5,3.2E-04,0.336
254,0.06,9.4,0.6,2.9E-01,9.6E-04,47.1,10.8,18.9,2.4E-04,0.238
269,0.22,7.8,2.2,2.0E-01,1.3E-02,49.9,10.8,15.9,2.7E-04,0.240
285,0.14,8.6,1.4,2.4E-01,5.3E-03,49.4,10.1,18.8,2.8E-04,0.236
290,0.02,9.8,0.2,3.2E-01,1.1E-04,1.3,0.0,1.6,7.4E-06,0.006
290,0.29,7.1,2.9,1.7E-01,2.3E-02,63.8,12.8,6.2,3.7E-04,0.299
