row_idx,set,gap_mm,Q_total_mL_min,j_mA_cm2,phi_AN,We_aq,We_org,FE_ADN_obs,FE_PN_obs,FE_TCH_obs,FE_ADN_pred,FE_PN_pred,FE_HER_pred,FE_TCH_pred,V_cathode_pred,converged
151,core,1.00,10.0,147,0.2000,0.1100,5.4000e-03,60.20,8.40,13.50,67.11,9.07,8.91,14.90,-1.8425,1
152,core,1.00,10.0,162,0.1200,0.1300,1.9000e-03,76.70,8.00,14.80,68.27,8.13,10.00,13.61,-1.8565,1
153,core,1.00,10.0,177,0.2800,0.0860,1.1000e-02,60.10,11.80,10.70,67.96,8.67,9.00,14.37,-1.8547,1
56,extended,0.50,2.0,80,0.2900,0.0067,9.0000e-04,51.00,1.50,10.90,63.88,10.74,8.31,17.06,-1.7986,1
57,extended,0.50,2.0,85,0.1600,0.0093,2.7000e-04,60.70,2.00,13.50,64.56,10.28,8.70,16.46,-1.8058,1
58,extended,0.50,2.0,101,0.0800,0.0110,6.9000e-05,71.50,3.00,16.60,66.90,8.32,10.97,13.81,-1.8324,1
59,extended,0.50,2.0,116,0.2400,0.0076,6.2000e-04,60.90,2.20,13.70,65.90,9.70,8.68,15.73,-1.8254,1
60,extended,0.50,2.0,131,0.0400,0.0120,1.7000e-05,70.60,10.50,8.60,56.39,1.80,38.18,3.63,-1.9313,1
61,extended,0.50,2.0,147,0.2000,0.0085,4.3000e-04,65.30,2.80,14.70,67.61,8.59,9.57,14.23,-1.8470,1
62,extended,0.50,2.0,162,0.1200,0.0100,1.5000e-04,69.70,3.70,16.10,68.76,7.49,11.04,12.70,-1.8628,1
63,extended,0.50,2.0,177,0.2800,0.0069,8.4000e-04,67.70,2.40,14.10,68.50,8.12,9.79,13.60,-1.8599,1
65,extended,0.50,2.0,208,0.1800,0.0089,3.5000e-04,70.40,4.30,14.30,70.07,6.27,12.72,10.94,-1.8877,1
66,extended,0.50,2.0,223,0.1000,0.0110,1.1000e-04,75.50,8.30,16.00,69.99,4.79,16.53,8.69,-1.9096,1
67,extended,0.50,2.0,239,0.2600,0.0072,7.2000e-04,74.30,4.40,12.60,70.56,5.90,13.13,10.40,-1.8980,1
68,extended,0.50,2.0,254,0.0600,0.0120,3.9000e-05,70.60,13.10,10.70,49.56,0.97,47.36,2.11,-1.9874,1
69,extended,0.50,2.0,269,0.2200,0.0080,5.2000e-04,75.00,6.20,12.20,70.38,4.44,17.03,8.15,-1.9226,1
70,extended,0.50,2.0,285,0.1400,0.0098,2.1000e-04,73.00,9.20,12.40,67.83,3.08,23.17,5.92,-1.9469,1
72,extended,0.50,2.0,290,0.2900,0.0067,9.0000e-04,73.10,4.50,10.50,70.68,4.46,16.67,8.19,-1.9253,1
74,extended,0.50,6.0,80,0.2900,0.0600,8.1000e-03,60.40,5.50,12.10,63.15,11.32,7.71,17.82,-1.7941,1
75,extended,0.50,6.0,85,0.1600,0.0840,2.5000e-03,61.00,9.50,12.80,63.66,11.02,7.88,17.44,-1.7997,1
76,extended,0.50,6.0,101,0.0800,0.1000,6.2000e-04,65.10,10.50,13.90,65.69,9.61,9.12,15.58,-1.8206,1
77,extended,0.50,6.0,116,0.2400,0.0690,5.6000e-03,58.80,7.60,12.70,64.72,10.67,7.60,17.01,-1.8173,1
78,extended,0.50,6.0,131,0.0400,0.1100,1.5000e-04,65.80,8.60,14.60,65.10,3.36,25.20,6.34,-1.9045,1
79,extended,0.50,6.0,147,0.2000,0.0760,3.9000e-03,58.40,8.50,12.50,66.06,9.98,7.83,16.13,-1.8346,1
80,extended,0.50,6.0,162,0.1200,0.0920,1.4000e-03,63.10,9.90,12.80,67.06,9.31,8.39,15.24,-1.8455,1
81,extended,0.50,6.0,177,0.2800,0.0620,7.6000e-03,62.00,4.60,12.40,66.77,9.70,7.75,15.78,-1.8455,1
83,extended,0.50,6.0,208,0.1800,0.0800,3.1000e-03,60.90,10.50,12.80,68.42,8.57,8.75,14.25,-1.8641,1
84,extended,0.50,6.0,223,0.1000,0.0960,9.6000e-04,65.00,10.20,14.00,69.51,7.61,9.99,12.90,-1.8774,1
85,extended,0.50,6.0,239,0.2600,0.0650,6.5000e-03,66.30,5.20,13.60,68.96,8.35,8.72,13.96,-1.8724,1
86,extended,0.50,6.0,254,0.0600,0.1100,3.5000e-04,62.10,10.10,14.00,63.77,2.30,29.35,4.58,-1.9570,1
87,extended,0.50,6.0,269,0.2200,0.0720,4.7000e-03,65.30,5.90,13.50,70.15,7.39,9.86,12.60,-1.8880,1
88,extended,0.50,6.0,285,0.1400,0.0880,1.9000e-03,69.20,5.90,14.20,71.01,6.23,11.84,10.92,-1.9040,1
90,extended,0.50,6.0,290,0.2900,0.0600,8.1000e-03,63.40,7.70,12.10,70.31,7.41,9.62,12.65,-1.8908,1
92,extended,0.50,10.0,80,0.2900,0.1700,2.3000e-02,68.10,3.40,14.80,62.90,11.52,7.51,18.07,-1.7926,1
93,extended,0.50,10.0,85,0.1600,0.2300,6.9000e-03,65.50,11.70,12.30,63.33,11.27,7.63,17.76,-1.7977,1
94,extended,0.50,10.0,101,0.0800,0.2800,1.7000e-03,74.70,10.70,14.80,65.21,10.03,8.59,16.16,-1.8169,1
95,extended,0.50,10.0,116,0.2400,0.1900,1.5000e-02,58.60,14.10,11.50,64.29,10.99,7.28,17.44,-1.8146,1
96,extended,0.50,10.0,131,0.0400,0.3000,4.3000e-04,53.60,18.20,12.50,66.98,4.13,21.30,7.58,-1.8936,1
97,extended,0.50,10.0,147,0.2000,0.2100,1.1000e-02,47.30,18.90,10.60,65.47,10.44,7.35,16.74,-1.8307,1
98,extended,0.50,10.0,162,0.1200,0.2600,3.9000e-03,56.60,15.60,11.60,66.35,9.90,7.72,16.04,-1.8402,1
99,extended,0.50,10.0,177,0.2800,0.1700,2.1000e-02,61.60,1.90,14.70,66.11,10.22,7.21,16.47,-1.8411,1
101,extended,0.50,10.0,208,0.1800,0.2200,8.7000e-03,48.90,17.70,10.90,67.57,9.32,7.84,15.28,-1.8572,1
102,extended,0.50,10.0,223,0.1000,0.2700,2.7000e-03,50.40,17.70,10.70,68.60,8.55,8.62,14.23,-1.8681,1
103,extended,0.50,10.0,239,0.2600,0.1800,1.8000e-02,65.80,3.50,14.10,68.05,9.15,7.74,15.06,-1.8649,1
104,extended,0.50,10.0,254,0.0600,0.2900,9.6000e-04,47.10,18.90,10.80,68.12,3.34,22.18,6.36,-1.9389,1
105,extended,0.50,10.0,269,0.2200,0.2000,1.3000e-02,49.90,15.90,10.80,69.19,8.38,8.41,14.02,-1.8780,1
106,extended,0.50,10.0,285,0.1400,0.2400,5.3000e-03,49.40,18.80,10.10,70.23,7.47,9.58,12.72,-1.8906,1
108,extended,0.50,10.0,290,0.2900,0.1700,2.3000e-02,63.80,6.20,12.80,69.32,8.41,8.21,14.06,-1.8809,1
110,extended,1.00,2.0,80,0.2900,0.0033,4.5000e-04,61.50,2.20,13.00,65.09,9.66,9.61,15.63,-1.8074,1
111,extended,1.00,2.0,85,0.1600,0.0047,1.4000e-04,70.50,2.60,15.10,66.00,8.87,10.57,14.56,-1.8179,1
112,extended,1.00,2.0,101,0.0800,0.0056,3.4000e-05,74.60,3.30,16.70,67.66,5.87,16.20,10.27,-1.8573,1
113,extended,1.00,2.0,116,0.2400,0.0038,3.1000e-04,66.50,2.90,14.20,67.63,7.84,11.39,13.15,-1.8422,1
114,extended,1.00,2.0,131,0.0400,0.0061,8.6000e-06,67.40,13.20,7.40,41.44,0.76,56.16,1.65,-1.9558,1
115,extended,1.00,2.0,147,0.2000,0.0042,2.1000e-04,70.70,3.50,13.30,68.98,5.88,14.81,10.33,-1.8745,1
116,extended,1.00,2.0,162,0.1200,0.0051,7.7000e-05,69.40,7.40,13.40,68.01,4.19,20.08,7.71,-1.9009,1
117,extended,1.00,2.0,177,0.2800,0.0034,4.2000e-04,69.80,5.10,11.40,69.34,5.08,16.46,9.12,-1.8923,1
119,extended,1.00,2.0,208,0.1800,0.0044,1.7000e-04,71.40,6.90,11.50,65.08,2.76,26.81,5.35,-1.9350,1
120,extended,1.00,2.0,223,0.1000,0.0054,5.4000e-05,74.40,8.00,10.40,58.92,1.75,35.76,3.58,-1.9586,1
121,extended,1.00,2.0,239,0.2600,0.0036,3.6000e-04,74.20,6.50,9.50,64.09,2.41,28.73,4.77,-1.9472,1
122,extended,1.00,2.0,254,0.0600,0.0058,1.9000e-05,62.40,11.50,6.60,33.96,0.39,64.74,0.91,-2.0062,1
123,extended,1.00,2.0,269,0.2200,0.0040,2.6000e-04,74.80,7.70,8.70,57.93,1.54,37.32,3.21,-1.9718,1
124,extended,1.00,2.0,285,0.1400,0.0049,1.1000e-04,73.80,7.80,8.80,51.27,1.03,45.47,2.23,-1.9889,1
126,extended,1.00,2.0,290,0.2900,0.0033,4.5000e-04,72.00,6.10,7.90,58.29,1.54,36.97,3.20,-1.9748,1
128,extended,1.00,6.0,80,0.2900,0.0300,4.1000e-03,59.00,8.90,12.70,64.03,10.62,8.45,16.90,-1.7996,1
129,extended,1.00,6.0,85,0.1600,0.0420,1.2000e-03,64.60,12.00,13.20,64.74,10.12,8.89,16.25,-1.8071,1
130,extended,1.00,6.0,101,0.0800,0.0500,3.1000e-04,77.40,8.00,17.10,67.10,8.04,11.43,13.42,-1.8350,1
131,extended,1.00,6.0,116,0.2400,0.0340,2.8000e-03,64.30,5.80,14.00,66.13,9.49,8.93,15.45,-1.8271,1
132,extended,1.00,6.0,131,0.0400,0.0550,7.7000e-05,73.30,8.30,15.60,54.38,1.59,40.77,3.26,-1.9355,1
133,extended,1.00,6.0,147,0.2000,0.0380,1.9000e-03,64.40,9.50,12.70,67.89,8.28,10.01,13.81,-1.8498,1
134,extended,1.00,6.0,162,0.1200,0.0460,6.9000e-04,69.80,9.80,13.40,69.00,7.10,11.76,12.13,-1.8668,1
135,extended,1.00,6.0,177,0.2800,0.0310,3.8000e-03,63.20,8.70,12.40,68.79,7.77,10.33,13.11,-1.8632,1
137,extended,1.00,6.0,208,0.1800,0.0400,1.6000e-03,69.70,6.40,13.20,70.12,5.78,13.88,10.21,-1.8932,1
138,extended,1.00,6.0,223,0.1000,0.0480,4.8000e-04,73.50,8.90,13.60,69.42,4.26,18.48,7.84,-1.9167,1
139,extended,1.00,6.0,239,0.2600,0.0330,3.3000e-03,68.10,8.50,11.60,70.53,5.39,14.46,9.62,-1.9040,1
140,extended,1.00,6.0,254,0.0600,0.0530,1.7000e-04,56.00,11.40,9.70,47.12,0.85,50.17,1.86,-1.9910,1
