table,gap_mm,Q_total_mL_min,j_mA_cm2,phi_AN,FE_ADN_obs,FE_ADN_model,FE_ADN_resid_pp,FE_PN_obs,FE_PN_model,FE_PN_resid_pp,FE_HER_obs,FE_HER_model,FE_HER_resid_pp,FE_TCH_obs,FE_TCH_model,FE_TCH_resid_pp,V_cathode,j_total_model,note
Table_S7,0.50,10,131,0.0400,53.60,63.29,9.69,18.20,7.69,-10.51,15.70,16.61,0.91,12.50,12.41,-0.09,-1.9031,131.00,continuation (31 steps)
Table_S7,0.50,10,147,0.2000,47.30,72.30,25.00,18.90,5.80,-13.10,23.20,7.73,-15.47,10.60,14.17,3.57,-1.8529,147.00,continuation (32 steps)
Table_S7,0.50,10,162,0.1200,56.60,72.27,15.67,15.60,5.84,-9.76,16.20,7.73,-8.47,11.60,14.17,2.57,-1.8603,162.00,continuation (32 steps)
Table_S7,0.50,10,177,0.2800,61.60,72.81,11.21,1.90,5.71,3.81,21.80,7.21,-14.59,14.70,14.27,-0.43,-1.8613,177.00,continuation (32 steps)
Table_S7,0.50,10,208,0.1800,48.90,72.73,23.83,17.70,5.78,-11.92,22.50,7.23,-15.27,10.90,14.26,3.36,-1.8738,208.00,continuation (33 steps)
Table_S7,0.50,10,223,0.1000,50.40,72.36,21.96,17.70,5.92,-11.78,21.20,7.54,-13.66,10.70,14.18,3.48,-1.8823,223.00,continuation (33 steps)
Table_S7,0.50,10,239,0.2600,65.80,73.08,7.28,3.50,5.72,2.22,16.60,6.88,-9.72,14.10,14.32,0.22,-1.8801,239.00,continuation (33 steps)
Table_S7,0.50,10,254,0.0600,47.10,62.98,15.88,18.90,8.07,-10.83,23.20,16.61,-6.59,10.80,12.34,1.54,-1.9527,254.00,continuation (34 steps)
Table_S7,0.50,10,269,0.2200,49.90,72.87,22.97,15.90,5.82,-10.08,23.40,7.02,-16.38,10.80,14.28,3.48,-1.8905,269.00,continuation (34 steps)
Table_S7,0.50,10,285,0.1400,49.40,72.23,22.83,18.80,6.04,-12.76,21.70,7.57,-14.13,10.10,14.16,4.06,-1.9008,285.00,continuation (34 steps)
Table_S7,0.50,10,290,0.2900,63.80,73.14,9.34,6.20,5.76,-0.44,17.20,6.76,-10.44,12.80,14.34,1.54,-1.8928,290.00,continuation (34 steps)
Table_S8,1.00,2,80,0.2900,61.50,69.12,7.62,2.20,6.37,4.17,23.30,10.96,-12.34,13.00,13.55,0.55,-1.8322,80.00,continuation (30 steps)
Table_S8,1.00,2,85,0.1600,70.50,68.65,-1.85,2.60,6.50,3.90,11.80,11.40,-0.40,15.10,13.46,-1.64,-1.8401,85.00,continuation (30 steps)
Table_S8,1.00,2,101,0.0800,74.60,65.44,-9.16,3.30,7.20,3.90,5.40,14.53,9.13,16.70,12.83,-3.87,-1.8719,101.00,continuation (30 steps)
Table_S8,1.00,2,116,0.2400,66.50,68.99,2.49,2.90,6.55,3.65,16.40,10.94,-5.46,14.20,13.52,-0.68,-1.8596,116.00,continuation (31 steps)
Table_S8,1.00,2,131,0.0400,67.40,32.13,-35.27,13.20,8.98,-4.22,12.00,52.59,40.59,7.40,6.30,-1.10,-1.9896,131.00,continuation (31 steps)
Table_S8,1.00,2,147,0.2000,70.70,67.32,-3.38,3.50,7.01,3.51,12.50,12.48,-0.02,13.30,13.19,-0.11,-1.8872,147.00,continuation (32 steps)
Table_S8,1.00,2,162,0.1200,69.40,63.49,-5.91,7.40,7.76,0.36,9.80,16.31,6.51,13.40,12.44,-0.96,-1.9151,162.00,continuation (32 steps)
Table_S8,1.00,2,177,0.2800,69.80,66.53,-3.27,5.10,7.25,2.15,13.70,13.18,-0.52,11.40,13.04,1.64,-1.9043,177.00,continuation (32 steps)
Table_S8,1.00,2,208,0.1800,71.40,57.35,-14.05,6.90,8.74,1.84,10.20,22.67,12.47,11.50,11.24,-0.26,-1.9580,208.00,continuation (33 steps)
Table_S8,1.00,2,223,0.1000,74.40,48.65,-25.75,8.00,9.47,1.47,7.20,32.34,25.14,10.40,9.54,-0.86,-1.9907,223.00,continuation (33 steps)
Table_S8,1.00,2,239,0.2600,74.20,55.38,-18.82,6.50,9.03,2.53,9.80,24.74,14.94,9.50,10.85,1.35,-1.9739,239.01,continuation (33 steps)
Table_S8,1.00,2,254,0.0600,62.40,24.49,-37.91,11.50,8.72,-2.78,19.50,61.99,42.49,6.60,4.80,-1.80,-2.0503,254.00,continuation (34 steps)
Table_S8,1.00,2,269,0.2200,74.80,47.07,-27.73,7.70,9.65,1.95,8.80,34.05,25.25,8.70,9.23,0.53,-2.0069,269.01,continuation (34 steps)
Table_S8,1.00,2,285,0.1400,73.80,39.83,-33.97,7.80,9.79,1.99,9.60,42.57,32.97,8.80,7.81,-0.99,-2.0287,285.06,continuation (34 steps)
Table_S8,1.00,2,290,0.2900,72.00,47.32,-24.68,6.10,9.69,3.59,14.00,33.71,19.71,7.90,9.28,1.38,-2.0106,290.01,continuation (34 steps)
Table_S9,1.00,6,80,0.2900,59.00,69.95,10.95,8.90,6.19,-2.71,19.40,10.15,-9.25,12.70,13.71,1.01,-1.8271,80.00,continuation (30 steps)
