table,gap_mm,Q_total_mL_min,j_mA_cm2,phi_AN,FE_ADN_obs,FE_ADN_model,FE_ADN_resid_pp,FE_PN_obs,FE_PN_model,FE_PN_resid_pp,FE_HER_obs,FE_HER_model,FE_HER_resid_pp,FE_TCH_obs,FE_TCH_model,FE_TCH_resid_pp,V_cathode,j_total_model,note
Table_S9,1.00,6,131,0.0400,73.30,46.18,-27.12,8.30,9.22,0.92,2.80,35.56,32.76,15.60,9.05,-6.55,-1.9604,131.00,continuation (31 steps)
Table_S9,1.00,6,147,0.2000,64.40,70.51,6.11,9.50,6.27,-3.23,13.40,9.39,-4.01,12.70,13.82,1.12,-1.8666,147.00,continuation (32 steps)
Table_S9,1.00,6,162,0.1200,69.80,69.60,-0.20,9.80,6.54,-3.26,7.00,10.22,3.22,13.40,13.64,0.24,-1.8805,162.00,continuation (32 steps)
Table_S9,1.00,6,177,0.2800,63.20,70.75,7.55,8.70,6.28,-2.42,15.70,9.10,-6.60,12.40,13.87,1.47,-1.8775,177.00,continuation (32 steps)
Table_S10,1.00,10,80,0.2900,52.70,70.20,17.50,10.90,6.13,-4.77,24.70,9.91,-14.79,11.70,13.76,2.06,-1.8254,80.00,continuation (30 steps)
Table_S10,1.00,10,85,0.1600,71.60,70.15,-1.45,8.90,6.16,-2.74,4.40,9.94,5.54,15.10,13.75,-1.35,-1.8304,85.00,continuation (30 steps)
Table_S10,1.00,10,101,0.0800,79.90,69.36,-10.54,8.50,6.41,-2.09,0.00,10.64,10.64,17.60,13.59,-4.01,-1.8489,101.00,continuation (30 steps)
Table_S10,1.00,10,116,0.2400,60.90,71.08,10.18,7.40,6.04,-1.36,17.20,8.94,-8.26,14.50,13.93,-0.57,-1.8455,116.00,continuation (31 steps)
Table_S10,1.00,10,131,0.0400,73.90,52.99,-20.91,6.90,8.87,1.97,1.70,27.75,26.05,17.50,10.39,-7.11,-1.9418,131.00,continuation (31 steps)
Table_S10,1.00,10,147,0.2000,60.20,71.24,11.04,8.40,6.09,-2.31,17.90,8.71,-9.19,13.50,13.96,0.46,-1.8612,147.00,continuation (32 steps)
Table_S10,1.00,10,162,0.1200,76.70,70.76,-5.94,8.00,6.25,-1.75,0.50,9.12,8.62,14.80,13.87,-0.93,-1.8722,162.00,continuation (32 steps)
Table_S10,1.00,10,177,0.2800,60.10,71.62,11.52,11.80,6.05,-5.75,17.40,8.29,-9.11,10.70,14.04,3.34,-1.8710,177.00,continuation (32 steps)
