x_m,c_H,c_OH,c_H2PO4,c_HPO4,c_PO4,c_AN,c_ADPN,c_PN,c_TCH,phi_l
6.36985151e-08,8.81159065e-11,1.13486895e+02,1.13875117e-04,8.14169186e+01,4.15781559e+02,1.30971630e+03,3.06809196e-01,1.06706047e-01,3.55553311e+00,6.18837962e-05
1.92594436e-07,8.81304889e-11,1.13468117e+02,1.13909686e-04,8.14282372e+01,4.15777257e+02,1.30971872e+03,3.06010028e-01,1.06429687e-01,3.54623886e+00,6.17312264e-05
3.24523411e-07,8.81453062e-11,1.13449042e+02,1.13946403e-04,8.14407944e+01,4.15772051e+02,1.30972120e+03,3.05192054e-01,1.06146824e-01,3.53672580e+00,6.15697308e-05
4.59556808e-07,8.81604671e-11,1.13429532e+02,1.13984110e-04,8.14537348e+01,4.15766651e+02,1.30972374e+03,3.04354832e-01,1.05857304e-01,3.52698879e+00,6.14039536e-05
5.97767680e-07,8.81759891e-11,1.13409565e+02,1.14022731e-04,8.14669905e+01,4.15761114e+02,1.30972634e+03,3.03497909e-01,1.05560973e-01,3.51702255e+00,6.12342166e-05
7.39230794e-07,8.81918816e-11,1.13389128e+02,1.14062282e-04,8.14805626e+01,4.15755444e+02,1.30972900e+03,3.02620820e-01,1.05257669e-01,3.50682168e+00,6.10604612e-05
8.84022681e-07,8.82081537e-11,1.13368210e+02,1.14102783e-04,8.14944581e+01,4.15749637e+02,1.30973172e+03,3.01723092e-01,1.04947227e-01,3.49638066e+00,6.08825946e-05
1.03222167e-06,8.82248145e-11,1.13346801e+02,1.14144258e-04,8.15086850e+01,4.15743689e+02,1.30973450e+03,3.00804238e-01,1.04629482e-01,3.48569383e+00,6.07005193e-05
1.18390793e-06,8.82418735e-11,1.13324889e+02,1.14186731e-04,8.15232511e+01,4.15737598e+02,1.30973736e+03,2.99863762e-01,1.04304259e-01,3.47475539e+00,6.05141351e-05
1.33916352e-06,8.82593404e-11,1.13302461e+02,1.14230227e-04,8.15381647e+01,4.15731361e+02,1.30974027e+03,2.98901153e-01,1.03971384e-01,3.46356132e+00,6.03233394e-05
1.49807244e-06,8.82772250e-11,1.13279506e+02,1.14274771e-04,8.15534342e+01,4.15724972e+02,1.30974326e+03,2.97915892e-01,1.03630677e-01,3.45210709e+00,6.01280272e-05
1.66072064e-06,8.82955375e-11,1.13256012e+02,1.14320387e-04,8.15690682e+01,4.15718429e+02,1.30974632e+03,2.96907444e-01,1.03281952e-01,3.44038275e+00,5.99280909e-05
1.82719613e-06,8.83142884e-11,1.13231965e+02,1.14367105e-04,8.15850755e+01,4.15711727e+02,1.30974945e+03,2.95875265e-01,1.02925022e-01,3.42838191e+00,5.97234203e-05
1.99758895e-06,8.83334883e-11,1.13207353e+02,1.14414949e-04,8.16014651e+01,4.15704863e+02,1.30975265e+03,2.94818794e-01,1.02559694e-01,3.41609803e+00,5.95139027e-05
2.17199129e-06,8.83531480e-11,1.13182163e+02,1.14463948e-04,8.16182464e+01,4.15697833e+02,1.30975593e+03,2.93737461e-01,1.02185770e-01,3.40352442e+00,5.92994225e-05
2.35049750e-06,8.83732790e-11,1.13156381e+02,1.14514131e-04,8.16354288e+01,4.15690632e+02,1.30975928e+03,2.92630680e-01,1.01803047e-01,3.39065424e+00,5.90798613e-05
2.53320413e-06,8.83938926e-11,1.13129992e+02,1.14565527e-04,8.16530221e+01,4.15683257e+02,1.30976271e+03,2.91497851e-01,1.01411318e-01,3.37748048e+00,5.88550980e-05
2.72021005e-06,8.84150006e-11,1.13102984e+02,1.14618166e-04,8.16710363e+01,4.15675702e+02,1.30976623e+03,2.90338362e-01,1.01010372e-01,3.36399597e+00,5.86250084e-05
2.91161640e-06,8.84366152e-11,1.13075340e+02,1.14672079e-04,8.16894816e+01,4.15667964e+02,1.30976983e+03,2.89151584e-01,1.00599993e-01,3.35019338e+00,5.83894654e-05
3.10752674e-06,8.84587486e-11,1.13047047e+02,1.14727298e-04,8.17083684e+01,4.15660038e+02,1.30977351e+03,2.87936875e-01,1.00179956e-01,3.33606519e+00,5.81483387e-05
3.30804705e-06,8.84814137e-11,1.13018089e+02,1.14783855e-04,8.17277076e+01,4.15651919e+02,1.30977728e+03,2.86693577e-01,9.97500371e-02,3.32160372e+00,5.79014951e-05
3.51328580e-06,8.85046235e-11,1.12988451e+02,1.14841784e-04,8.17475101e+01,4.15643602e+02,1.30978113e+03,2.85421017e-01,9.93100019e-02,3.30680112e+00,5.76487979e-05
3.72335404e-06,8.85283912e-11,1.12958116e+02,1.14901118e-04,8.17677873e+01,4.15635083e+02,1.30978508e+03,2.84118505e-01,9.88596128e-02,3.29164934e+00,5.73901071e-05
3.93836540e-06,8.85527307e-11,1.12927069e+02,1.14961894e-04,8.17885508e+01,4.15626356e+02,1.30978912e+03,2.82785336e-01,9.83986262e-02,3.27614015e+00,5.71252795e-05
4.15843619e-06,8.85776560e-11,1.12895291e+02,1.15024146e-04,8.18098124e+01,4.15617415e+02,1.30979326e+03,2.81420787e-01,9.79267928e-02,3.26026515e+00,5.68541683e-05
4.38368547e-06,8.86031815e-11,1.12862768e+02,1.15087913e-04,8.18315843e+01,4.15608257e+02,1.30979749e+03,2.80024120e-01,9.74438574e-02,3.24401572e+00,5.65766231e-05
4.61423510e-06,8.86293219e-11,1.12829480e+02,1.15153232e-04,8.18538791e+01,4.15598874e+02,1.30980183e+03,2.78594577e-01,9.69495588e-02,3.22738306e+00,5.62924899e-05
4.85020980e-06,8.86560925e-11,1.12795410e+02,1.15220142e-04,8.18767094e+01,4.15589262e+02,1.30980626e+03,2.77131384e-01,9.64436297e-02,3.21035817e+00,5.60016109e-05
5.09173722e-06,8.86835088e-11,1.12760539e+02,1.15288683e-04,8.19000886e+01,4.15579414e+02,1.30981080e+03,2.75633748e-01,9.59257963e-02,3.19293184e+00,5.57038244e-05
5.33894803e-06,8.87115868e-11,1.12724849e+02,1.15358897e-04,8.19240299e+01,4.15569324e+02,1.30981545e+03,2.74100857e-01,9.53957787e-02,3.17509467e+00,5.53989650e-05
5.59197596e-06,8.87403428e-11,1.12688321e+02,1.15430826e-04,8.19485474e+01,4.15558988e+02,1.30982020e+03,2.72531880e-01,9.48532902e-02,3.15683702e+00,5.50868629e-05
5.85095790e-06,8.87697936e-11,1.12650935e+02,1.15504512e-04,8.19736550e+01,4.15548397e+02,1.30982507e+03,2.70925967e-01,9.42980373e-02,3.13814905e+00,5.47673444e-05
6.11603395e-06,8.87999564e-11,1.12612670e+02,1.15580001e-04,8.19993674e+01,4.15537545e+02,1.30983005e+03,2.69282246e-01,9.37297199e-02,3.11902070e+00,5.44402315e-05
6.38734751e-06,8.88308490e-11,1.12573507e+02,1.15657339e-04,8.20256994e+01,4.15526427e+02,1.30983515e+03,2.67599827e-01,9.31480305e-02,3.09944170e+00,5.41053418e-05
