V,eps_org,delta_um,j1,j2,j3,j4,j_total,FE_ADPN,FE_PN,FE_HER,FE_TCH,pH_bulk,phi_span,max_eneutr,Na_dev,iface_var,max_Rbuf_surf,max_Rbuf_bulk,AN_depletion,c_AN_surface,c_AN_bulk,phi_l_surface
-1.00000000e+00,0.0900,50.0000,5.00546018e-06,3.81908787e-06,3.52015727e-04,6.56037056e-06,3.67400645e-04,1.362398,1.039489,95.812495,1.785618,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,1.31064284e+03,1.31064284e+03,0.00000000e+00
-1.05000000e+00,0.0900,50.0000,1.32443748e-05,1.01052509e-05,7.51934963e-04,1.73586450e-05,7.92643234e-04,1.670912,1.274880,94.864238,2.189969,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,1.31064284e+03,1.31064284e+03,0.00000000e+00
-1.12000000e+00,0.0900,50.0000,5.17194496e-05,3.94611316e-05,2.17593429e-03,6.77857265e-05,2.33490060e-03,2.215060,1.690056,93.191731,2.903153,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,1.31064284e+03,1.31064284e+03,0.00000000e+00
-1.21800000e+00,0.0900,50.0000,3.48277405e-04,2.65730215e-04,9.63157857e-03,4.56467288e-04,1.07020535e-02,3.254304,2.482983,89.997481,4.265231,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,1.31064284e+03,1.31064284e+03,0.00000000e+00
-1.35520000e+00,0.0900,50.0000,5.02927365e-03,3.83725717e-03,7.72982828e-02,6.59158151e-03,9.27563952e-02,5.422024,4.136919,83.334721,7.106336,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,1.31064284e+03,1.31064284e+03,0.00000000e+00
-1.54728000e+00,0.0900,50.0000,2.11303585e-01,1.61225325e-01,1.42705224e+00,2.76936674e-01,2.07651782e+00,10.175862,7.764216,68.723332,13.336590,13.026907,1.31969707e-06,2.27373675e-13,5.14201583e-05,2.04318918e-10,8.94767617e+00,3.72574349e-09,0.999975,1.31061039e+03,1.31064284e+03,1.31969707e-06
-1.74728000e+00,0.0900,50.0000,1.03346806e+01,7.89794349e+00,2.97331903e+01,1.35232193e+01,6.14890337e+01,16.807356,12.844475,48.355273,21.992896,13.026907,5.11941730e-05,2.27373675e-13,2.00809087e-03,5.64172133e-08,3.27480169e+02,3.72574349e-09,0.998386,1.30852805e+03,1.31064284e+03,5.11941730e-05
-1.94728000e+00,0.0900,50.0000,4.51537482e+02,3.69777309e+02,6.30372085e+02,5.51375363e+02,2.00306224e+03,22.542359,18.460600,31.470419,27.526622,13.026907,1.24691297e-03,2.27373675e-13,4.97307307e-02,5.58040557e-08,1.83240846e+03,3.72574349e-09,0.931685,1.22110652e+03,1.31064284e+03,1.24691297e-03
-2.00728000e+00,0.0900,50.0000,1.18589351e+03,1.09151952e+03,1.60636729e+03,1.28842717e+03,5.17220750e+03,22.928189,21.103552,31.057673,24.910586,13.026907,2.87091696e-03,2.27373675e-13,1.18223565e-01,3.26070707e-09,1.08711888e+03,3.72574349e-09,0.828953,1.08646111e+03,1.31064284e+03,2.87091696e-03
-2.07328000e+00,0.0900,50.0000,2.72983814e+03,3.27120035e+03,4.64544908e+03,2.27806783e+03,1.29245554e+04,21.121331,25.309964,35.942815,17.625889,13.026907,6.82804220e-03,2.27373675e-13,3.04421049e-01,1.31061828e-13,4.09701018e+02,3.72574349e-09,0.636715,8.34506557e+02,1.31064284e+03,6.82804220e-03
