V,eps_org,delta_um,j1,j2,j3,j4,j_total,FE_ADPN,FE_PN,FE_HER,FE_TCH,pH_bulk,phi_span,max_eneutr,Na_dev,iface_var,max_Rbuf_surf,max_Rbuf_bulk,AN_depletion,c_AN_surface,c_AN_bulk,phi_l_surface
-1.00000000e+00,0.1500,50.0000,5.00546018e-06,3.81908787e-06,3.52015727e-04,6.56037056e-06,3.67400645e-04,1.362398,1.039489,95.812495,1.785618,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,1.31064284e+03,1.31064284e+03,0.00000000e+00
-1.05000000e+00,0.1500,50.0000,1.32443748e-05,1.01052509e-05,7.51934963e-04,1.73586450e-05,7.92643234e-04,1.670912,1.274880,94.864238,2.189969,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,1.31064284e+03,1.31064284e+03,0.00000000e+00
-1.12000000e+00,0.1500,50.0000,5.17194496e-05,3.94611316e-05,2.17593429e-03,6.77857265e-05,2.33490060e-03,2.215060,1.690056,93.191731,2.903153,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,1.31064284e+03,1.31064284e+03,0.00000000e+00
-1.21800000e+00,0.1500,50.0000,3.48277405e-04,2.65730215e-04,9.63157857e-03,4.56467288e-04,1.07020535e-02,3.254304,2.482983,89.997481,4.265231,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,1.31064284e+03,1.31064284e+03,0.00000000e+00
-1.35520000e+00,0.1500,50.0000,5.02927365e-03,3.83725717e-03,7.72982828e-02,6.59158151e-03,9.27563952e-02,5.422024,4.136919,83.334721,7.106336,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,1.31064284e+03,1.31064284e+03,0.00000000e+00
-1.54728000e+00,0.1500,50.0000,2.11307377e-01,1.61226917e-01,1.42705425e+00,2.76943877e-01,2.07653242e+00,10.175973,7.764238,68.722946,13.336843,13.026907,1.41284307e-06,2.27373675e-13,5.50536367e-05,2.18745463e-10,9.00467382e+00,3.72574349e-09,0.999983,1.31062096e+03,1.31064284e+03,1.41284307e-06
-1.74728000e+00,0.1500,50.0000,1.03462541e+01,7.90264002e+00,2.97348068e+01,1.35454702e+01,6.15291711e+01,16.815202,12.843729,48.326357,22.014713,13.026907,5.47757402e-05,2.27373675e-13,2.14966481e-03,6.04562049e-08,3.27959646e+02,3.72574349e-09,0.998911,1.30921491e+03,1.31064284e+03,5.47757402e-05
-1.94728000e+00,0.1500,50.0000,4.71896997e+02,3.78438347e+02,6.31455756e+02,5.88436076e+02,2.07022718e+03,22.794455,18.280040,30.501762,28.423744,13.026907,1.36006719e-03,2.27373675e-13,5.43639613e-02,6.49588975e-08,1.66352849e+03,3.72574349e-09,0.951410,1.24695872e+03,1.31064284e+03,1.36006719e-03
-2.00728000e+00,0.1500,50.0000,1.31556729e+03,1.15422806e+03,1.61635998e+03,1.49945869e+03,5.58561402e+03,23.552778,20.664300,28.937910,26.845011,13.026907,3.27945569e-03,2.27373675e-13,1.36147508e-01,1.26476317e-08,8.99388729e+02,3.72574349e-09,0.869635,1.13978106e+03,1.31064284e+03,3.27945569e-03
-2.07328000e+00,0.1500,50.0000,3.33771715e+03,3.67013260e+03,4.75208548e+03,3.03540961e+03,1.47953448e+04,22.559239,24.805996,32.118788,20.515977,13.026907,8.32318717e-03,4.54747351e-13,3.82582254e-01,2.03090322e-12,2.86838007e+02,3.72574349e-09,0.693878,9.09426856e+02,1.31064284e+03,8.32318717e-03
-2.14588000e+00,0.1500,50.0000,6.63393944e+03,1.17869466e+04,1.71662574e+04,3.73371951e+03,3.93208630e+04,16.871297,29.976317,43.656868,9.495518,13.026907,2.03349221e-02,4.54747351e-13,1.20663914e+00,1.96564987e-13,4.31546556e+01,3.72574349e-09,0.429424,5.62820862e+02,1.31064284e+03,2.03349221e-02
-2.16983800e+00,0.1500,50.0000,7.49977565e+03,1.67372385e+04,2.69575502e+04,3.36056840e+03,5.45551327e+04,13.747149,30.679494,49.413408,6.159949,13.026907,2.61090174e-02,9.09494702e-13,1.76269610e+00,6.99293536e-07,1.85886303e+01,3.72574349e-09,0.341885,4.48089191e+02,1.31064284e+03,2.61090174e-02
-2.20337920e+00,0.1500,50.0000,7.86435386e+03,2.60796641e+04,5.18901914e+04,2.37150530e+03,8.82057147e+04,8.915923,29.566864,58.828605,2.688607,13.026907,3.57093733e-02,9.09494702e-13,3.01433219e+00,1.10031593e-08,4.55126395e+00,3.72574349e-09,0.230079,3.01551195e+02,1.31064284e+03,3.57093733e-02
-2.24027452e+00,0.1500,50.0000,6.59962490e+03,3.86990259e+04,1.10118015e+05,1.12548178e+03,1.56542148e+05,4.215877,24.721154,70.344004,0.718964,13.026907,4.83824768e-02,9.09494702e-13,5.57405185e+00,8.93501329e-07,6.88291666e-01,3.72574349e-09,0.130117,1.70537235e+02,1.31064284e+03,4.83824768e-02
-2.28085937e+00,0.1500,50.0000,3.81739037e+03,5.14620982e+04,2.63277591e+05,2.83168968e+02,3.18840249e+05,1.197274,16.140402,82.573512,0.088812,13.026907,6.52209567e-02,0.00000000e+00,1.16608340e+01,5.80580028e-11,5.34101723e-02,3.72574349e-09,0.056597,7.41786772e+01,1.31064284e+03,6.52209567e-02
-2.32550271e+00,0.1500,50.0000,1.38552422e+03,5.95468904e+04,7.28773378e+05,3.22380793e+01,7.89738031e+05,0.175441,7.540081,92.280395,0.004082,13.026907,8.76519782e-02,4.54747351e-13,2.93127289e+01,4.46874662e-08,1.52691529e-02,3.72574349e-09,0.017753,2.32677847e+01,1.31064284e+03,8.76519782e-02
-2.37461038e+00,0.1500,50.0000,3.38933886e+02,6.25968421e+04,2.36267197e+06,1.83517531e+00,2.42560958e+06,0.013973,2.580664,97.405287,0.000076,13.026907,1.16029548e-01,0.00000000e+00,9.04755934e+01,2.80898149e-09,8.86909323e-03,3.72574349e-09,0.004131,5.41455247e+00,1.31064284e+03,1.16029548e-01
-2.42862882e+00,0.1500,50.0000,6.35107231e+01,6.33669197e+04,8.89111619e+06,6.36548528e-02,8.95454669e+06,0.000709,0.707651,99.291639,0.000001,13.026907,1.49317095e-01,0.00000000e+00,3.33180592e+02,6.77905675e-07,1.79191378e-01,3.72574349e-09,0.000765,1.00226938e+00,1.31064284e+03,1.49317095e-01
-2.44645490e+00,0.1500,50.0000,3.61987584e+01,6.34426021e+04,1.38103477e+07,2.06541041e-02,1.38738266e+07,0.000261,0.457283,99.542456,0.000000,13.026907,1.60501593e-01,0.00000000e+00,5.15462029e+02,8.85471252e-07,7.15631038e-03,3.72574349e-09,0.000435,5.70574933e-01,1.31064284e+03,1.60501593e-01
-2.46606360e+00,0.1500,50.0000,1.94591410e+01,6.34889292e+04,2.24369471e+07,5.96416059e-03,2.25004555e+07,0.000086,0.282167,99.717746,0.000000,13.026907,1.72863092e-01,0.00000000e+00,8.34585575e+02,1.04389500e-06,6.14199593e-03,3.72574349e-09,0.000234,3.06496601e-01,1.31064284e+03,1.72863092e-01
-2.48763316e+00,0.1500,50.0000,9.81426307e+00,6.35156004e+04,3.82926810e+07,1.51647405e-03,3.83562065e+07,0.000026,0.165594,99.834380,0.000000,13.026907,1.86508819e-01,0.00000000e+00,1.42018771e+03,1.57834523e-06,1.11158085e-02,3.72574349e-09,0.000118,1.54517363e-01,1.31064284e+03,1.86508819e-01
-2.50000000e+00,0.1500,50.0000,6.62515941e+00,6.35244155e+04,5.20386065e+07,6.90958537e-04,5.21021375e+07,0.000013,0.121923,99.878064,0.000000,13.026907,1.94348670e-01,0.00000000e+00,1.92729009e+03,1.18836738e-07,1.22266458e-04,3.72574349e-09,0.000080,1.04293119e-01,1.31064284e+03,1.94348670e-01
