V,eps_org,delta_um,j1,j2,j3,j4,j_total,FE_ADPN,FE_PN,FE_HER,FE_TCH,pH_bulk,phi_span,max_eneutr,Na_dev,iface_var,max_Rbuf_surf,max_Rbuf_bulk,AN_depletion,c_AN_surface,c_AN_bulk,phi_l_surface
-1.00000000e+00,0.1500,50.0000,5.00546018e-06,3.81908787e-06,3.52015727e-04,6.56037056e-06,3.67400645e-04,1.362398,1.039489,95.812495,1.785618,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,1.31064284e+03,1.31064284e+03,0.00000000e+00
-1.05000000e+00,0.1500,50.0000,1.32443748e-05,1.01052509e-05,7.51934963e-04,1.73586450e-05,7.92643234e-04,1.670912,1.274880,94.864238,2.189969,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,1.31064284e+03,1.31064284e+03,0.00000000e+00
-1.12000000e+00,0.1500,50.0000,5.17194496e-05,3.94611316e-05,2.17593429e-03,6.77857265e-05,2.33490060e-03,2.215060,1.690056,93.191731,2.903153,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,1.31064284e+03,1.31064284e+03,0.00000000e+00
-1.21800000e+00,0.1500,50.0000,3.48277405e-04,2.65730215e-04,9.63157857e-03,4.56467288e-04,1.07020535e-02,3.254304,2.482983,89.997481,4.265231,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,1.31064284e+03,1.31064284e+03,0.00000000e+00
-1.35520000e+00,0.1500,50.0000,5.02927365e-03,3.83725717e-03,7.72982828e-02,6.59158151e-03,9.27563952e-02,5.422024,4.136919,83.334721,7.106336,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,1.31064284e+03,1.31064284e+03,0.00000000e+00
-1.41282400e+00,0.1500,50.0000,1.54357897e-02,1.17772662e-02,1.85373753e-01,2.02308073e-02,2.32817617e-01,6.629992,5.058580,79.621876,8.689552,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,1.31064284e+03,1.31064284e+03,0.00000000e+00
-1.49349760e+00,0.1500,50.0000,7.41928192e-02,5.66079612e-02,6.30780123e-01,9.72402874e-02,8.58821191e-01,8.638913,6.591356,73.447201,11.322530,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,1.31064284e+03,1.31064284e+03,0.00000000e+00
-1.49654706e+00,0.1500,50.0000,7.87290774e-02,6.00690553e-02,6.60664794e-01,1.03185702e-01,9.02648628e-01,8.722007,6.654755,73.191802,11.431436,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,1.31064284e+03,1.31064284e+03,0.00000000e+00
-1.49782784e+00,0.1500,50.0000,8.07160579e-02,6.15850903e-02,6.73634767e-01,1.05789924e-01,9.21725839e-01,8.757057,6.681498,73.084071,11.477374,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,1.31064284e+03,1.31064284e+03,0.00000000e+00
-1.49962092e+00,0.1500,50.0000,8.35823613e-02,6.37720351e-02,6.92221612e-01,1.09546624e-01,9.49122632e-01,8.806276,6.719051,72.932790,11.541883,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,1.31064284e+03,1.31064284e+03,0.00000000e+00
-1.50037402e+00,0.1500,50.0000,8.48163556e-02,6.47135534e-02,7.00180211e-01,1.11163949e-01,9.60874069e-01,8.827000,6.734863,72.869092,11.569045,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,1.31064284e+03,1.31064284e+03,0.00000000e+00
