x_m,c_H,c_OH,c_H2PO4,c_HPO4,c_PO4,c_AN,c_ADPN,c_PN,c_TCH,phi_l
6.36985151e-08,9.38234029e-11,1.06583144e+02,1.28448023e-04,8.62494810e+01,4.13673133e+02,1.31063078e+03,9.58592112e-03,2.68637607e-03,1.35442668e-01,1.71552044e-06
1.92594436e-07,9.38238496e-11,1.06582638e+02,1.28449136e-04,8.62498210e+01,4.13672990e+02,1.31063081e+03,9.58041515e-03,2.68100551e-03,1.34447606e-01,1.71120345e-06
3.24523411e-07,9.38243031e-11,1.06582125e+02,1.28450315e-04,8.62501975e+01,4.13672819e+02,1.31063084e+03,9.57478315e-03,2.67551533e-03,1.33436361e-01,1.70662815e-06
4.59556808e-07,9.38247668e-11,1.06581600e+02,1.28451525e-04,8.62505853e+01,4.13672643e+02,1.31063088e+03,9.56902229e-03,2.66990303e-03,1.32408857e-01,1.70193184e-06
5.97767680e-07,9.38252413e-11,1.06581063e+02,1.28452764e-04,8.62509825e+01,4.13672462e+02,1.31063091e+03,9.56312973e-03,2.66416608e-03,1.31365022e-01,1.69712393e-06
7.39230794e-07,9.38257270e-11,1.06580513e+02,1.28454032e-04,8.62513890e+01,4.13672277e+02,1.31063095e+03,9.55710254e-03,2.65830189e-03,1.30304796e-01,1.69220278e-06
8.84022681e-07,9.38262240e-11,1.06579950e+02,1.28455331e-04,8.62518051e+01,4.13672088e+02,1.31063098e+03,9.55093772e-03,2.65230783e-03,1.29228129e-01,1.68716582e-06
1.03222167e-06,9.38267326e-11,1.06579374e+02,1.28456659e-04,8.62522309e+01,4.13671894e+02,1.31063102e+03,9.54463224e-03,2.64618122e-03,1.28134982e-01,1.68201032e-06
1.18390793e-06,9.38272531e-11,1.06578784e+02,1.28458019e-04,8.62526668e+01,4.13671696e+02,1.31063105e+03,9.53818298e-03,2.63991934e-03,1.27025326e-01,1.67673349e-06
1.33916352e-06,9.38277858e-11,1.06578180e+02,1.28459411e-04,8.62531130e+01,4.13671493e+02,1.31063109e+03,9.53158678e-03,2.63351941e-03,1.25899145e-01,1.67133248e-06
1.49807244e-06,9.38283311e-11,1.06577563e+02,1.28460836e-04,8.62535696e+01,4.13671285e+02,1.31063113e+03,9.52484038e-03,2.62697863e-03,1.24756433e-01,1.66580437e-06
1.66072064e-06,9.38288890e-11,1.06576930e+02,1.28462294e-04,8.62540370e+01,4.13671072e+02,1.31063117e+03,9.51794049e-03,2.62029412e-03,1.23597199e-01,1.66014616e-06
1.82719613e-06,9.38294601e-11,1.06576283e+02,1.28463787e-04,8.62545154e+01,4.13670854e+02,1.31063121e+03,9.51088373e-03,2.61346296e-03,1.22421465e-01,1.65435479e-06
1.99758895e-06,9.38300445e-11,1.06575621e+02,1.28465315e-04,8.62550051e+01,4.13670631e+02,1.31063125e+03,9.50366667e-03,2.60648221e-03,1.21229266e-01,1.64842713e-06
2.17199129e-06,9.38306427e-11,1.06574943e+02,1.28466879e-04,8.62555063e+01,4.13670403e+02,1.31063130e+03,9.49628578e-03,2.59934883e-03,1.20020653e-01,1.64235996e-06
2.35049750e-06,9.38312548e-11,1.06574249e+02,1.28468479e-04,8.62560193e+01,4.13670170e+02,1.31063134e+03,9.48873750e-03,2.59205977e-03,1.18795690e-01,1.63615001e-06
2.53320413e-06,9.38318814e-11,1.06573538e+02,1.28470117e-04,8.62565444e+01,4.13669931e+02,1.31063138e+03,9.48101816e-03,2.58461192e-03,1.17554458e-01,1.62979392e-06
2.72021005e-06,9.38325226e-11,1.06572811e+02,1.28471794e-04,8.62570818e+01,4.13669686e+02,1.31063143e+03,9.47312404e-03,2.57700212e-03,1.16297056e-01,1.62328824e-06
2.91161640e-06,9.38331788e-11,1.06572067e+02,1.28473511e-04,8.62576319e+01,4.13669436e+02,1.31063148e+03,9.46505134e-03,2.56922714e-03,1.15023596e-01,1.61662946e-06
3.10752674e-06,9.38338505e-11,1.06571305e+02,1.28475267e-04,8.62581949e+01,4.13669180e+02,1.31063152e+03,9.45679619e-03,2.56128373e-03,1.13734212e-01,1.60981396e-06
3.30804705e-06,9.38345379e-11,1.06570526e+02,1.28477066e-04,8.62587712e+01,4.13668918e+02,1.31063157e+03,9.44835464e-03,2.55316857e-03,1.12429052e-01,1.60283807e-06
3.51328580e-06,9.38352415e-11,1.06569728e+02,1.28478906e-04,8.62593611e+01,4.13668649e+02,1.31063162e+03,9.43972265e-03,2.54487829e-03,1.11108285e-01,1.59569800e-06
3.72335404e-06,9.38359616e-11,1.06568911e+02,1.28480790e-04,8.62599648e+01,4.13668374e+02,1.31063168e+03,9.43089611e-03,2.53640948e-03,1.09772099e-01,1.58838990e-06
3.93836540e-06,9.38366986e-11,1.06568075e+02,1.28482718e-04,8.62605828e+01,4.13668093e+02,1.31063173e+03,9.42187085e-03,2.52775865e-03,1.08420702e-01,1.58090980e-06
4.15843619e-06,9.38374529e-11,1.06567220e+02,1.28484692e-04,8.62612153e+01,4.13667805e+02,1.31063178e+03,9.41264260e-03,2.51892229e-03,1.07054322e-01,1.57325366e-06
4.38368547e-06,9.38382249e-11,1.06566344e+02,1.28486712e-04,8.62618627e+01,4.13667511e+02,1.31063184e+03,9.40320700e-03,2.50989681e-03,1.05673208e-01,1.56541733e-06
4.61423510e-06,9.38390150e-11,1.06565448e+02,1.28488779e-04,8.62625253e+01,4.13667209e+02,1.31063189e+03,9.39355962e-03,2.50067859e-03,1.04277631e-01,1.55739658e-06
4.85020980e-06,9.38398237e-11,1.06564531e+02,1.28490896e-04,8.62632035e+01,4.13666900e+02,1.31063195e+03,9.29398307e-03,2.49126394e-03,1.02867883e-01,1.54918706e-06
5.09173722e-06,9.38406514e-11,1.06563592e+02,1.28493062e-04,8.62638977e+01,4.13666584e+02,1.31063201e+03,9.19085993e-03,2.48164912e-03,1.01444281e-01,1.54078433e-06
5.33894803e-06,9.38414986e-11,1.06562631e+02,1.28495279e-04,8.62646083e+01,4.13666261e+02,1.31063207e+03,9.08658383e-03,2.47183035e-03,1.00007162e-01,1.53218383e-06
5.59197596e-06,9.38423656e-11,1.06561647e+02,1.28497549e-04,8.62653355e+01,4.13665930e+02,1.31063213e+03,8.98117251e-03,2.46180377e-03,9.85568889e-02,1.52338093e-06
5.85095790e-06,9.38432531e-11,1.06560640e+02,1.28499871e-04,8.62660799e+01,4.13665591e+02,1.31063220e+03,8.87464518e-03,2.45156549e-03,9.70938475e-02,1.51437084e-06
6.11603395e-06,9.38441614e-11,1.06559610e+02,1.28502249e-04,8.62668419e+01,4.13665245e+02,1.31063226e+03,8.76702259e-03,2.44111155e-03,9.56184483e-02,1.50514869e-06
6.38734751e-06,9.38450910e-11,1.06558555e+02,1.28504683e-04,8.62676217e+01,4.13664890e+02,1.31063233e+03,8.65832701e-03,2.43043794e-03,9.41311265e-02,1.49570950e-06
6.66504536e-06,9.38460425e-11,1.06557475e+02,1.28507174e-04,8.62684199e+01,4.13664526e+02,1.31063240e+03,8.54858231e-03,2.41954061e-03,9.26323423e-02,1.48604815e-06
6.94927771e-06,9.38470164e-11,1.06556370e+02,1.28509723e-04,8.62692370e+01,4.13664154e+02,1.31063246e+03,8.43781392e-03,2.40841543e-03,9.11225813e-02,1.47615941e-06
7.24019835e-06,9.38480132e-11,1.06555239e+02,1.28512333e-04,8.62700732e+01,4.13663774e+02,1.31063254e+03,8.32604889e-03,2.39705822e-03,8.96023549e-02,1.46603793e-06
7.53796465e-06,9.38490334e-11,1.06554082e+02,1.28515004e-04,8.62709292e+01,4.13663384e+02,1.31063261e+03,8.21331588e-03,2.38546478e-03,8.80722002e-02,1.45567822e-06
7.84273769e-06,9.38500776e-11,1.06552897e+02,1.28517738e-04,8.62718053e+01,4.13662986e+02,1.31063268e+03,8.09964516e-03,2.37363080e-03,8.65326802e-02,1.44507469e-06
8.15468235e-06,9.38511464e-11,1.06551684e+02,1.28520537e-04,8.62727020e+01,4.13662577e+02,1.31063276e+03,7.98506864e-03,2.36155196e-03,8.49843842e-02,1.43422160e-06
8.47396739e-06,9.38522403e-11,1.06550443e+02,1.28523401e-04,8.62736199e+01,4.13662160e+02,1.31063284e+03,7.86961986e-03,2.34922386e-03,8.34279273e-02,1.42311305e-06
8.80076553e-06,9.38533599e-11,1.06549173e+02,1.28526333e-04,8.62745593e+01,4.13661732e+02,1.31063292e+03,7.75333395e-03,2.33664205e-03,8.18639509e-02,1.41174306e-06
9.13525357e-06,9.38545059e-11,1.06547873e+02,1.28529334e-04,8.62755209e+01,4.13661294e+02,1.31063300e+03,7.63624767e-03,2.32380204e-03,8.02931223e-02,1.40010544e-06
9.47761245e-06,9.38556788e-11,1.06546542e+02,1.28532406e-04,8.62765051e+01,4.13660846e+02,1.31063308e+03,7.51839937e-03,2.31069926e-03,7.87161345e-02,1.38819392e-06
9.82802739e-06,9.38568793e-11,1.06545180e+02,1.28535550e-04,8.62775125e+01,4.13660388e+02,1.31063317e+03,7.39982896e-03,2.29732910e-03,7.71337062e-02,1.37600203e-06
1.01866879e-05,9.38581081e-11,1.06543785e+02,1.28538768e-04,8.62785436e+01,4.13659919e+02,1.31063326e+03,7.28057788e-03,2.28368690e-03,7.55465811e-02,1.36352318e-06
1.05537882e-05,9.38593658e-11,1.06542358e+02,1.28542062e-04,8.62795991e+01,4.13659438e+02,1.31063335e+03,7.16068907e-03,2.26976793e-03,7.39555279e-02,1.35075062e-06
1.09295266e-05,9.38606531e-11,1.06540898e+02,1.28545434e-04,8.62806793e+01,4.13658947e+02,1.31063344e+03,7.04020694e-03,2.25556741e-03,7.23613395e-02,1.33767741e-06
