V,eps_org,delta_um,j1,j2,j3,j4,j_total,FE_ADPN,FE_PN,FE_HER,FE_TCH,pH_bulk,phi_span,max_eneutr,Na_dev,iface_var,max_Rbuf_surf,max_Rbuf_bulk,AN_depletion,c_AN_surface,c_AN_bulk,phi_l_surface
-1.00000000e+00,0.0200,50.0000,2.68949582e-07,8.85264568e-07,3.52015727e-04,8.17087687e-08,3.53251650e-04,0.076135,0.250605,99.650130,0.023130,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,3.03807011e+02,3.03807011e+02,0.00000000e+00
-1.05000000e+00,0.0200,50.0000,7.11636681e-07,2.34239717e-06,7.51934963e-04,2.16200213e-07,7.55205197e-04,0.094231,0.310167,99.566974,0.028628,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,3.03807011e+02,3.03807011e+02,0.00000000e+00
-1.12000000e+00,0.0200,50.0000,2.77895016e-06,9.14709029e-06,2.17593429e-03,8.44264542e-07,2.18870459e-03,0.126968,0.417923,99.416536,0.038574,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,3.03807011e+02,3.03807011e+02,0.00000000e+00
-1.21800000e+00,0.0200,50.0000,1.87133768e-05,6.15962639e-05,9.63157857e-03,5.68525508e-06,9.71757347e-03,0.192573,0.633865,99.115058,0.058505,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,3.03807011e+02,3.03807011e+02,0.00000000e+00
-1.35520000e+00,0.0200,50.0000,2.70229110e-04,8.89476213e-04,7.72982828e-02,8.20974980e-05,7.85400857e-02,0.344065,1.132512,98.418893,0.104529,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,3.03807011e+02,3.03807011e+02,0.00000000e+00
-1.54728000e+00,0.0200,50.0000,1.13535417e-02,3.73718631e-02,1.42704835e+00,3.44919674e-03,1.47922296e+00,0.767534,2.526452,96.472837,0.233176,13.026907,1.14053236e-06,2.27373675e-13,4.43924925e-05,8.61352209e-15,8.41487468e+00,3.72574349e-09,0.999974,3.03799188e+02,3.03807011e+02,1.14053236e-06
-1.74728000e+00,0.0200,50.0000,5.55401547e-01,1.83044608e+00,2.97212205e+01,1.68522243e-01,3.22755903e+01,1.720810,5.671302,92.085753,0.522135,13.026907,2.46679033e-05,2.27373675e-13,9.60579245e-04,1.74565673e-12,1.76859599e+02,3.72574349e-09,0.998740,3.03424151e+02,3.03807011e+02,2.46679033e-05
-1.94728000e+00,0.0200,50.0000,2.44963951e+01,8.54933417e+01,6.23140558e+02,7.01894860e+00,7.40149243e+02,3.309656,11.550825,84.191204,0.948315,13.026907,4.86798105e-04,2.27373675e-13,1.91276646e-02,1.43872674e-12,1.93313458e+03,3.72574349e-09,0.943131,2.86529858e+02,3.03807011e+02,4.86798105e-04
-2.00728000e+00,0.0200,50.0000,6.38588230e+01,2.48953198e+02,1.56366119e+03,1.63803852e+01,1.89285360e+03,3.373680,13.152269,82.608670,0.865380,13.026907,1.09580343e-03,2.27373675e-13,4.35731848e-02,2.95025115e-12,2.07673787e+03,3.72574349e-09,0.844317,2.56509350e+02,3.03807011e+02,1.09580343e-03
-2.07328000e+00,0.0200,50.0000,1.30736418e+02,6.87351569e+02,4.35994624e+03,2.48664755e+01,5.20290071e+03,2.512760,13.210930,83.798375,0.477935,13.026907,2.64948524e-03,2.27373675e-13,1.08717610e-01,2.46122410e-06,1.27627864e+03,3.72574349e-09,0.626066,1.90203127e+02,3.03807011e+02,2.64948524e-03
-2.16568000e+00,0.0200,50.0000,1.28875015e+02,1.80813418e+03,1.99351521e+04,9.18558465e+00,2.18813469e+04,0.588972,8.263359,91.105690,0.041979,13.026907,1.03863094e-02,4.54747351e-13,4.98183331e-01,8.21842594e-14,2.34068651e+02,3.72574349e-09,0.234607,7.12751392e+01,3.03807011e+02,1.03863094e-02
-2.19617200e+00,0.0200,50.0000,9.01778069e+01,2.16926238e+03,3.49897186e+04,3.74875669e+00,3.72529076e+04,0.242069,5.823069,93.924799,0.010063,13.026907,1.69555043e-02,4.54747351e-13,9.34671948e-01,1.67447722e-10,8.35528579e+01,3.72574349e-09,0.136833,4.15707236e+01,3.03807011e+02,1.69555043e-02
-2.22971320e+00,0.0200,50.0000,4.84530318e+01,2.45786990e+03,6.90228461e+04,9.55175166e-01,7.15301242e+04,0.067738,3.436133,96.494794,0.001335,13.026907,2.81709959e-02,9.09494702e-13,1.99356138e+00,1.35411568e-07,1.61790769e+01,3.72574349e-09,0.064888,1.97134241e+01,3.03807011e+02,2.81709959e-02
-2.26660852e+00,0.0200,50.0000,1.94899144e+01,2.62896363e+03,1.55985251e+05,1.44489166e-01,1.58633849e+05,0.012286,1.657253,98.330370,0.000091,13.026907,4.49879192e-02,9.09494702e-13,4.76043504e+00,1.22112857e-07,1.35530702e+00,3.72574349e-09,0.024402,7.41353519e+00,3.03807011e+02,4.49879192e-02
-2.30719337e+00,0.0200,50.0000,6.06401984e+00,2.70274971e+03,4.04888234e+05,1.36055279e-02,4.07597061e+05,0.001488,0.663094,99.335415,0.000003,13.026907,6.72411637e-02,4.54747351e-13,1.26965403e+01,2.84844148e-10,4.62658427e-02,3.72574349e-09,0.007385,2.24364831e+00,3.03807011e+02,6.72411637e-02
-2.35183671e+00,0.0200,50.0000,1.53459550e+00,2.72697964e+03,1.19911225e+06,8.63586704e-04,1.20184076e+06,0.000128,0.226900,99.772972,0.000000,13.026907,9.41237108e-02,0.00000000e+00,3.79959911e+01,2.89158208e-09,3.30576166e+00,3.72574349e-09,0.001852,5.62745494e-01,3.03807011e+02,9.41237108e-02
-2.36656901e+00,0.0200,50.0000,9.66510945e-01,2.72999637e+03,1.72275247e+06,3.42177528e-04,1.72548344e+06,0.000056,0.158216,99.841728,0.000000,13.026907,1.03261911e-01,0.00000000e+00,5.46528640e+01,2.50550514e-09,3.97389643e-03,3.72574349e-09,0.001165,3.54033785e-01,3.03807011e+02,1.03261911e-01
-2.38277454e+00,0.0200,50.0000,5.79832616e-01,2.73204698e+03,2.56931182e+06,1.23060059e-04,2.57204444e+06,0.000023,0.106221,99.893757,0.000000,13.026907,1.13388956e-01,0.00000000e+00,8.15410509e+01,2.13419327e-08,9.83022512e-05,3.72574349e-09,0.000699,2.12233765e-01,3.03807011e+02,1.13388956e-01
