x_m,c_H,c_OH,c_H2PO4,c_HPO4,c_PO4,c_AN,c_ADPN,c_PN,c_TCH,phi_l
6.36985151e-08,9.38346571e-11,1.06570366e+02,1.28477493e-04,8.62589263e+01,4.13668835e+02,1.31062866e+03,9.93948701e-03,3.07138774e-03,1.48413159e-01,1.60118188e-06
1.92594436e-07,9.38350744e-11,1.06569894e+02,1.28478529e-04,8.62592420e+01,4.13668702e+02,1.31062870e+03,9.93283443e-03,3.06441785e-03,1.48413159e-01,1.59716177e-06
3.24523411e-07,9.38354977e-11,1.06569414e+02,1.28479630e-04,8.62595932e+01,4.13668543e+02,1.31062873e+03,9.92603017e-03,3.05729565e-03,1.48413159e-01,1.59289289e-06
4.59556808e-07,9.38359306e-11,1.06568924e+02,1.28480760e-04,8.62599552e+01,4.13668379e+02,1.31062877e+03,9.91907088e-03,3.05001810e-03,1.48413159e-01,1.58850964e-06
5.97767680e-07,9.38363735e-11,1.06568423e+02,1.28481916e-04,8.62603259e+01,4.13668210e+02,1.31062881e+03,9.91195316e-03,3.04258211e-03,1.48413159e-01,1.58402204e-06
7.39230794e-07,9.38368269e-11,1.06567910e+02,1.28483100e-04,8.62607053e+01,4.13668037e+02,1.31062885e+03,9.90467351e-03,3.03498456e-03,1.48413159e-01,1.57942873e-06
8.84022681e-07,9.38372908e-11,1.06567384e+02,1.28484312e-04,8.62610937e+01,4.13667861e+02,1.31062889e+03,9.89722838e-03,3.02722227e-03,1.48413159e-01,1.57472732e-06
1.03222167e-06,9.38377656e-11,1.06566847e+02,1.28485553e-04,8.62614913e+01,4.13667680e+02,1.31062894e+03,9.88961415e-03,3.01929199e-03,1.48413159e-01,1.56991527e-06
1.18390793e-06,9.38382516e-11,1.06566296e+02,1.28486822e-04,8.62618982e+01,4.13667495e+02,1.31062898e+03,9.88182710e-03,3.01119047e-03,1.48413159e-01,1.56498997e-06
1.33916352e-06,9.38387489e-11,1.06565733e+02,1.28488122e-04,8.62623147e+01,4.13667305e+02,1.31062903e+03,9.87386348e-03,3.00291437e-03,1.47933418e-01,1.55994877e-06
1.49807244e-06,9.38392578e-11,1.06565156e+02,1.28489452e-04,8.62627409e+01,4.13667111e+02,1.31062907e+03,9.86571942e-03,2.99446031e-03,1.46515029e-01,1.55478893e-06
1.66072064e-06,9.38397787e-11,1.06564566e+02,1.28490814e-04,8.62631773e+01,4.13666912e+02,1.31062912e+03,9.85739100e-03,2.98582488e-03,1.45076852e-01,1.54950766e-06
1.82719613e-06,9.38403118e-11,1.06563962e+02,1.28492207e-04,8.62636238e+01,4.13666709e+02,1.31062917e+03,9.84887421e-03,2.97700460e-03,1.43618952e-01,1.54410210e-06
1.99758895e-06,9.38408573e-11,1.06563344e+02,1.28493634e-04,8.62640809e+01,4.13666501e+02,1.31062921e+03,9.84016497e-03,2.96799595e-03,1.42141415e-01,1.53856933e-06
2.17199129e-06,9.38414157e-11,1.06562711e+02,1.28495093e-04,8.62645488e+01,4.13666288e+02,1.31062926e+03,9.83125912e-03,2.95879535e-03,1.40644342e-01,1.53290636e-06
2.35049750e-06,9.38419872e-11,1.06562063e+02,1.28496588e-04,8.62650277e+01,4.13666070e+02,1.31062932e+03,9.82215241e-03,2.94939920e-03,1.39127857e-01,1.52711011e-06
2.53320413e-06,9.38425720e-11,1.06561400e+02,1.28498117e-04,8.62655178e+01,4.13665847e+02,1.31062937e+03,9.81284051e-03,2.93980382e-03,1.37592105e-01,1.52117746e-06
2.72021005e-06,9.38431706e-11,1.06560722e+02,1.28499683e-04,8.62660195e+01,4.13665619e+02,1.31062942e+03,9.80331901e-03,2.93000549e-03,1.36037248e-01,1.51510518e-06
2.91161640e-06,9.38437832e-11,1.06560027e+02,1.28501285e-04,8.62665330e+01,4.13665385e+02,1.31062948e+03,9.79358341e-03,2.92000046e-03,1.34463476e-01,1.50889000e-06
3.10752674e-06,9.38444102e-11,1.06559317e+02,1.28502925e-04,8.62670585e+01,4.13665146e+02,1.31062953e+03,9.78362914e-03,2.90978491e-03,1.32870997e-01,1.50252856e-06
3.30804705e-06,9.38450519e-11,1.06558589e+02,1.28504604e-04,8.62675965e+01,4.13664901e+02,1.31062959e+03,9.77345151e-03,2.89935497e-03,1.31260046e-01,1.49601740e-06
3.51328580e-06,9.38457087e-11,1.06557844e+02,1.28506322e-04,8.62681471e+01,4.13664651e+02,1.31062965e+03,9.76304578e-03,2.88870674e-03,1.29630879e-01,1.48935301e-06
3.72335404e-06,9.38463809e-11,1.06557082e+02,1.28508081e-04,8.62687107e+01,4.13664394e+02,1.31062971e+03,9.75240709e-03,2.87783627e-03,1.27983779e-01,1.48253177e-06
3.93836540e-06,9.38470689e-11,1.06556302e+02,1.28509881e-04,8.62692875e+01,4.13664131e+02,1.31062977e+03,9.74153051e-03,2.86673954e-03,1.26319053e-01,1.47555000e-06
4.15843619e-06,9.38477730e-11,1.06555504e+02,1.28511724e-04,8.62698779e+01,4.13663863e+02,1.31062984e+03,9.73041101e-03,2.85541250e-03,1.24637037e-01,1.46840392e-06
4.38368547e-06,9.38484936e-11,1.06554686e+02,1.28513609e-04,8.62704823e+01,4.13663588e+02,1.31062990e+03,9.71904347e-03,2.84385107e-03,1.22938090e-01,1.46108966e-06
