x_m,c_H,c_OH,c_H2PO4,c_HPO4,c_PO4,c_AN,c_ADPN,c_PN,c_TCH,phi_l
6.36985151e-08,3.81514454e-15,2.62113268e+06,3.55134462e-16,6.85298192e-19,6.31083227e-07,7.43692927e-02,2.00737993e-01,1.31037455e+03,1.09849132e-03,1.91477847e-01
1.92594436e-07,3.82528000e-15,2.61418774e+06,3.69335232e-17,2.52083772e-15,9.71605776e-11,3.50092656e+00,2.00215767e-01,1.30694850e+03,1.09829267e-03,1.91409682e-01
3.24523411e-07,3.83570987e-15,2.60707937e+06,4.73038594e-17,3.78359675e-12,4.75226733e-06,7.00811423e+00,1.99681251e-01,1.30344183e+03,1.09808827e-03,1.91339725e-01
4.59556808e-07,3.84644423e-15,2.59980373e+06,4.48876074e-16,7.98468850e-11,1.33674223e-05,1.05978296e+01,1.99134159e-01,1.29985265e+03,1.09787798e-03,1.91267923e-01
5.97767680e-07,3.85749358e-15,2.59235689e+06,3.79011328e-13,1.38232175e-10,1.57204085e-06,1.42720147e+01,1.98574192e-01,1.29617901e+03,1.09766163e-03,1.91194224e-01
7.39230794e-07,3.86886887e-15,2.58473482e+06,1.07987411e-16,1.41992649e-11,9.32967644e-07,1.80326570e+01,1.98001049e-01,1.29241893e+03,1.09743905e-03,1.91118572e-01
8.84022681e-07,3.88058151e-15,2.57693339e+06,1.82426271e-16,2.63545274e-14,1.22557365e-12,2.18817912e+01,1.97414420e-01,1.28857037e+03,1.09721007e-03,1.91040907e-01
1.03222167e-06,3.89264343e-15,2.56894839e+06,6.22786745e-14,1.16300105e-15,8.00899266e-08,2.58214994e+01,1.96813986e-01,1.28463125e+03,1.09697450e-03,1.90961171e-01
1.18390793e-06,3.90506707e-15,2.56077549e+06,4.81196616e-15,1.05926408e-15,9.81785742e-08,2.98539129e+01,1.96199423e-01,1.28059943e+03,1.09673217e-03,1.90879302e-01
1.33916352e-06,3.91786545e-15,2.55241028e+06,2.07045527e-16,2.19135386e-15,3.54395952e-11,3.39812133e+01,1.95570400e-01,1.27647275e+03,1.09648288e-03,1.90795236e-01
1.49807244e-06,3.93105216e-15,2.54384822e+06,3.39956644e-14,1.99097043e-16,4.74020284e-07,3.82056332e+01,1.94926574e-01,1.27224896e+03,1.09622645e-03,1.90708905e-01
1.66072064e-06,3.94464140e-15,2.53508469e+06,2.26440158e-16,2.78764429e-17,4.09467633e-06,4.25294581e+01,1.94267599e-01,1.26792577e+03,1.09596268e-03,1.90620242e-01
1.82719613e-06,3.95864806e-15,2.52611495e+06,4.73942219e-16,4.27432576e-11,1.17298910e-06,4.69550270e+01,1.93593118e-01,1.26350086e+03,1.09569136e-03,1.90529174e-01
1.99758895e-06,3.97308768e-15,2.51693414e+06,5.17837251e-17,4.18487630e-10,2.44323517e-05,5.14847341e+01,1.92902765e-01,1.25897183e+03,1.09541228e-03,1.90435628e-01
2.17199129e-06,3.98797659e-15,2.50753730e+06,4.57076228e-16,4.01391169e-10,3.54621538e-05,5.61210298e+01,1.92196167e-01,1.25433622e+03,1.09512523e-03,1.90339526e-01
2.35049750e-06,4.00333184e-15,2.49791934e+06,2.81527990e-15,2.49705108e-10,2.11777930e-05,6.08664222e+01,1.91472943e-01,1.24959154e+03,1.09482999e-03,1.90240790e-01
2.53320413e-06,4.01917136e-15,2.48807506e+06,1.65173535e-16,1.66756890e-10,1.47792166e-05,6.57234786e+01,1.90732700e-01,1.24473520e+03,1.09452634e-03,1.90139336e-01
2.72021005e-06,4.03551393e-15,2.47799914e+06,7.75683742e-17,1.52084092e-10,1.60011397e-05,7.06948265e+01,1.89975039e-01,1.23976459e+03,1.09421404e-03,1.90035077e-01
2.91161640e-06,4.05237926e-15,2.46768612e+06,1.80711875e-16,1.74344624e-10,1.37738205e-06,7.57831553e+01,1.89199549e-01,1.23467702e+03,1.09389285e-03,1.89927926e-01
3.10752674e-06,4.06978805e-15,2.45713042e+06,1.50154204e-17,8.10889688e-16,2.11971008e-12,8.09912177e+01,1.88405811e-01,1.22946974e+03,1.09356253e-03,1.89817789e-01
3.30804705e-06,4.08776207e-15,2.44632634e+06,3.60769938e-15,4.77531602e-12,1.03489051e-05,8.63218311e+01,1.87593396e-01,1.22413991e+03,1.09322283e-03,1.89704568e-01
3.51328580e-06,4.10632419e-15,2.43526803e+06,8.50921102e-17,2.08423342e-11,1.36673561e-06,9.17778793e+01,1.86761863e-01,1.21868468e+03,1.09287350e-03,1.89588165e-01
3.72335404e-06,4.12549848e-15,2.42394951e+06,1.96447508e-16,1.79978993e-14,3.53283210e-08,9.73623139e+01,1.85910764e-01,1.21310107e+03,1.09251426e-03,1.89468474e-01
3.93836540e-06,4.14531030e-15,2.41236465e+06,8.47448227e-17,5.05032100e-15,1.89840119e-10,1.03078156e+02,1.85039638e-01,1.20738608e+03,1.09214485e-03,1.89345386e-01
4.15843619e-06,4.16578632e-15,2.40050719e+06,8.90062410e-16,4.39111089e-14,3.39691888e-07,1.08928498e+02,1.84148013e-01,1.20153661e+03,1.09176500e-03,1.89218788e-01
4.38368547e-06,4.18695471e-15,2.38837072e+06,4.69606151e-16,6.54533561e-13,1.78282755e-08,1.14916504e+02,1.83235407e-01,1.19554949e+03,1.09137441e-03,1.89088562e-01
4.61423510e-06,4.20884517e-15,2.37594866e+06,1.37423958e-15,1.34815357e-12,1.01847978e-07,1.21045414e+02,1.82301327e-01,1.18942150e+03,1.09097279e-03,1.88954585e-01
