x_m,c_H,c_OH,c_H2PO4,c_HPO4,c_PO4,c_AN,c_ADPN,c_PN,c_TCH,phi_l
6.36985151e-08,9.39918047e-11,1.06392254e+02,1.28889469e-04,8.63908989e+01,4.13609510e+02,3.03806975e+02,1.01080890e-03,1.02167007e-03,1.00011719e-03,-8.70726661e-09
1.92594436e-07,9.39918064e-11,1.06392252e+02,1.28889472e-04,8.63908998e+01,4.13609508e+02,3.03806975e+02,1.01078547e-03,1.00011719e-03,1.00946315e-03,-8.69043769e-09
3.24523411e-07,9.39918081e-11,1.06392250e+02,1.28889476e-04,8.63909008e+01,4.13609505e+02,3.03806975e+02,1.00011719e-03,1.02156724e-03,1.00944727e-03,-8.66869762e-09
4.59556808e-07,9.39918098e-11,1.06392248e+02,1.28889480e-04,8.63909019e+01,4.13609503e+02,3.03806975e+02,1.01073666e-03,1.02151382e-03,1.00943082e-03,-8.64454353e-09
5.97767680e-07,9.39918116e-11,1.06392246e+02,1.28889484e-04,8.63909029e+01,4.13609500e+02,3.03806976e+02,1.01071124e-03,1.02145901e-03,1.00941381e-03,-8.62012919e-09
7.39230794e-07,9.39918134e-11,1.06392244e+02,1.28889488e-04,8.63909040e+01,4.13609497e+02,3.03806976e+02,1.01068512e-03,1.02140279e-03,1.00939620e-03,-8.59483059e-09
8.84022681e-07,9.39918152e-11,1.06392242e+02,1.28889492e-04,8.63909052e+01,4.13609495e+02,3.03806976e+02,1.01065828e-03,1.02134510e-03,1.00937798e-03,-8.57020208e-09
1.03222167e-06,9.39918171e-11,1.06392240e+02,1.28889497e-04,8.63909063e+01,4.13609492e+02,3.03806976e+02,1.01063071e-03,1.02128593e-03,1.00935913e-03,-8.54373503e-09
1.18390793e-06,9.39918191e-11,1.06392238e+02,1.28889501e-04,8.63909075e+01,4.13609489e+02,3.03806976e+02,1.01060238e-03,1.02122522e-03,1.00933964e-03,-8.51739993e-09
1.33916352e-06,9.39918211e-11,1.06392236e+02,1.28889506e-04,8.63909087e+01,4.13609486e+02,3.03806976e+02,1.01057328e-03,1.02116294e-03,1.00011719e-03,-8.49034103e-09
1.49807244e-06,9.39918231e-11,1.06392233e+02,1.28889510e-04,8.63909100e+01,4.13609483e+02,3.03806976e+02,1.01054338e-03,1.00011719e-03,1.00929864e-03,-8.46217145e-09
1.66072064e-06,9.39918252e-11,1.06392231e+02,1.28889515e-04,8.63909113e+01,4.13609480e+02,3.03806976e+02,1.00011719e-03,1.02103352e-03,1.00927708e-03,-8.43332015e-09
1.82719613e-06,9.39918273e-11,1.06392229e+02,1.28889520e-04,8.63909126e+01,4.13609477e+02,3.03806976e+02,1.01048110e-03,1.02096629e-03,1.00925480e-03,-8.40413798e-09
1.99758895e-06,9.39918295e-11,1.06392226e+02,1.28889525e-04,8.63909139e+01,4.13609474e+02,3.03806977e+02,1.01044868e-03,1.02089733e-03,1.00923177e-03,-8.37387351e-09
2.17199129e-06,9.39918317e-11,1.06392224e+02,1.28889530e-04,8.63909153e+01,4.13609471e+02,3.03806977e+02,1.01041538e-03,1.02082659e-03,1.00920797e-03,-8.34322906e-09
2.35049750e-06,9.39918340e-11,1.06392221e+02,1.28889535e-04,8.63909167e+01,4.13609467e+02,3.03806977e+02,1.01038117e-03,1.02075403e-03,1.00918337e-03,-8.31187288e-09
2.53320413e-06,9.39918363e-11,1.06392218e+02,1.28889541e-04,8.63909181e+01,4.13609464e+02,3.03806977e+02,1.01034603e-03,1.02067960e-03,1.00915795e-03,-8.27929240e-09
2.72021005e-06,9.39918387e-11,1.06392216e+02,1.28889546e-04,8.63909195e+01,4.13609460e+02,3.03806977e+02,1.01030993e-03,1.02060325e-03,1.00913169e-03,-8.24633023e-09
2.91161640e-06,9.39918412e-11,1.06392213e+02,1.28889552e-04,8.63909210e+01,4.13609457e+02,3.03806977e+02,1.01027285e-03,1.02052494e-03,1.00011719e-03,-8.21272193e-09
3.10752674e-06,9.39918437e-11,1.06392210e+02,1.28889557e-04,8.63909226e+01,4.13609453e+02,3.03806977e+02,1.01023477e-03,1.00011719e-03,1.00907654e-03,-8.17839577e-09
3.30804705e-06,9.39918463e-11,1.06392207e+02,1.28889563e-04,8.63909241e+01,4.13609449e+02,3.03806978e+02,1.00011719e-03,1.02036223e-03,1.00904759e-03,-8.14280551e-09
3.51328580e-06,9.39918489e-11,1.06392204e+02,1.28889569e-04,8.63909257e+01,4.13609446e+02,3.03806978e+02,1.01015548e-03,1.02027773e-03,1.00901770e-03,-8.10672145e-09
