x_m,c_H,c_OH,c_H2PO4,c_HPO4,c_PO4,c_AN,c_ADPN,c_PN,c_TCH,phi_l
6.36985151e-08,8.77105497e-11,1.14010337e+02,1.12873494e-04,8.10730135e+01,4.15934899e+02,1.30985466e+03,2.68349450e-01,9.17461161e-02,3.43389549e+00,6.62987358e-05
1.92594436e-07,8.77261056e-11,1.13990146e+02,1.12910273e-04,8.10851474e+01,4.15930250e+02,1.30985672e+03,2.67664598e-01,9.15118400e-02,3.42484109e+00,6.61349886e-05
3.24523411e-07,8.77419179e-11,1.13969629e+02,1.12949262e-04,8.10985501e+01,4.15924677e+02,1.30985883e+03,2.66963361e-01,9.12720615e-02,3.41555678e+00,6.59619753e-05
4.59556808e-07,8.77580974e-11,1.13948642e+02,1.12989292e-04,8.11123525e+01,4.15918904e+02,1.30986099e+03,2.66245342e-01,9.10266514e-02,3.40603651e+00,6.57844282e-05
5.97767680e-07,8.77746617e-11,1.13927163e+02,1.13030291e-04,8.11264900e+01,4.15912986e+02,1.30986320e+03,2.65510129e-01,9.07754776e-02,3.39627407e+00,6.56026464e-05
7.39230794e-07,8.77916208e-11,1.13905179e+02,1.13072278e-04,8.11409651e+01,4.15906925e+02,1.30986546e+03,2.64757303e-01,9.05184048e-02,3.38626311e+00,6.54165613e-05
8.84022681e-07,8.78089844e-11,1.13882678e+02,1.13115275e-04,8.11557855e+01,4.15900718e+02,1.30986778e+03,2.63986431e-01,9.02552948e-02,3.37599710e+00,6.52260728e-05
1.03222167e-06,8.78267622e-11,1.13859649e+02,1.13159308e-04,8.11709594e+01,4.15894361e+02,1.30987015e+03,2.63197072e-01,8.99860058e-02,3.36546937e+00,6.50310764e-05
1.18390793e-06,8.78449644e-11,1.13836079e+02,1.13204401e-04,8.11864953e+01,4.15887850e+02,1.30987257e+03,2.62388773e-01,8.97103930e-02,3.35467310e+00,6.48314649e-05
1.33916352e-06,8.78636013e-11,1.13811955e+02,1.13250581e-04,8.12024022e+01,4.15881183e+02,1.30987505e+03,2.61561069e-01,8.94283078e-02,3.34360129e+00,6.46271282e-05
1.49807244e-06,8.78826836e-11,1.13787264e+02,1.13297875e-04,8.12186888e+01,4.15874353e+02,1.30987759e+03,2.60713481e-01,8.91395985e-02,3.33224681e+00,6.44179540e-05
1.66072064e-06,8.79022219e-11,1.13761992e+02,1.13346311e-04,8.12353645e+01,4.15867359e+02,1.30988019e+03,2.59845521e-01,8.88441096e-02,3.32060236e+00,6.42038269e-05
1.82719613e-06,8.79222275e-11,1.13736127e+02,1.13395916e-04,8.12524387e+01,4.15860195e+02,1.30988286e+03,2.58956687e-01,8.85416821e-02,3.30866048e+00,6.39846290e-05
