x_m,c_H,c_OH,c_H2PO4,c_HPO4,c_PO4,c_AN,c_ADPN,c_PN,c_TCH,phi_l
6.36985151e-08,1.45793434e-11,6.85902800e+02,2.54691657e-06,1.10056710e+01,3.39676689e+02,1.13978106e+03,5.80540423e+01,2.38384071e+01,4.42882223e+02,3.27945569e-03
1.92594436e-07,1.46102625e-11,6.84451220e+02,2.55972394e-06,1.10376381e+01,3.39962045e+02,1.14022779e+03,5.79022592e+01,2.37760827e+01,4.41724284e+02,3.27154625e-03
3.24523411e-07,1.46420514e-11,6.82965207e+02,2.57307690e-06,1.10711281e+01,3.40253676e+02,1.14068503e+03,5.77469045e+01,2.37122917e+01,4.40539098e+02,3.26344735e-03
4.59556808e-07,1.46747421e-11,6.81443757e+02,2.58684753e-06,1.11055835e+01,3.40552271e+02,1.14115303e+03,5.75878942e+01,2.36469997e+01,4.39326023e+02,3.25515807e-03
5.97767680e-07,1.47083642e-11,6.79886009e+02,2.60104810e-06,1.11410217e+01,3.40858011e+02,1.14163204e+03,5.74251422e+01,2.35801714e+01,4.38084404e+02,3.24667402e-03
7.39230794e-07,1.47429488e-11,6.78291086e+02,2.61569478e-06,1.11774750e+01,3.41171070e+02,1.14212233e+03,5.72585605e+01,2.35117704e+01,4.36813567e+02,3.23799062e-03
8.84022681e-07,1.47785279e-11,6.76658089e+02,2.63080458e-06,1.12149773e+01,3.41491624e+02,1.14262415e+03,5.70880589e+01,2.34417600e+01,4.35512827e+02,3.22910321e-03
1.03222167e-06,1.48151350e-11,6.74986095e+02,2.64639534e-06,1.12535639e+01,3.41819855e+02,1.14313778e+03,5.69135452e+01,2.33701021e+01,4.34181479e+02,3.22000698e-03
1.18390793e-06,1.48528050e-11,6.73274160e+02,2.66248575e-06,1.12932716e+01,3.42155949e+02,1.14366349e+03,5.67349251e+01,2.32967580e+01,4.32818803e+02,3.21069703e-03
1.33916352e-06,1.48915743e-11,6.71521316e+02,2.67909541e-06,1.13341386e+01,3.42500095e+02,1.14420158e+03,5.65521019e+01,2.32216881e+01,4.31424062e+02,3.20116834e-03
1.49807244e-06,1.49314805e-11,6.69726572e+02,2.69624491e-06,1.13762048e+01,3.42852489e+02,1.14475232e+03,5.63649766e+01,2.31448516e+01,4.29996501e+02,3.19141578e-03
1.66072064e-06,1.49725633e-11,6.67888909e+02,2.71395584e-06,1.14195119e+01,3.43213329e+02,1.14531603e+03,5.61734481e+01,2.30662072e+01,4.28535348e+02,3.18143408e-03
