row_idx,set,gap_mm,Q_total_mL_min,j_mA_cm2,phi_AN,We_aq,We_org,FE_ADN_obs,FE_PN_obs,FE_TCH_obs,FE_ADN_pred,FE_PN_pred,FE_HER_pred,FE_TCH_pred,V_cathode_pred,converged
151,core,1.00,10.0,147,0.2000,0.1100,5.4000e-03,60.20,8.40,13.50,66.37,6.55,16.99,10.08,-1.8851,1
152,core,1.00,10.0,162,0.1200,0.1300,1.9000e-03,76.70,8.00,14.80,67.58,6.19,17.84,8.39,-1.8947,1
153,core,1.00,10.0,177,0.2800,0.0860,1.1000e-02,60.10,11.80,10.70,67.65,6.35,16.76,9.24,-1.8957,1
56,extended,0.50,2.0,80,0.2900,0.0067,9.0000e-04,51.00,1.50,10.90,61.44,7.29,17.29,13.98,-1.8468,1
57,extended,0.50,2.0,85,0.1600,0.0093,2.7000e-04,60.70,2.00,13.50,62.32,7.13,17.66,12.89,-1.8524,1
58,extended,0.50,2.0,101,0.0800,0.0110,6.9000e-05,71.50,3.00,16.60,64.97,6.39,19.77,8.87,-1.8712,1
59,extended,0.50,2.0,116,0.2400,0.0076,6.2000e-04,60.90,2.20,13.70,64.56,6.84,17.15,11.46,-1.8702,1
60,extended,0.50,2.0,131,0.0400,0.0120,1.7000e-05,70.60,10.50,8.60,57.78,2.55,38.98,0.69,-1.9326,1
61,extended,0.50,2.0,147,0.2000,0.0085,4.3000e-04,65.30,2.80,14.70,66.76,6.38,17.64,9.21,-1.8873,1
62,extended,0.50,2.0,162,0.1200,0.0100,1.5000e-04,69.70,3.70,16.10,67.91,5.96,18.73,7.39,-1.8976,1
63,extended,0.50,2.0,177,0.2800,0.0069,8.4000e-04,67.70,2.40,14.10,68.05,6.15,17.49,8.31,-1.8981,1
65,extended,0.50,2.0,208,0.1800,0.0089,3.5000e-04,70.40,4.30,14.30,69.58,5.41,19.46,5.55,-1.9157,1
66,extended,0.50,2.0,223,0.1000,0.0110,1.1000e-04,75.50,8.30,16.00,69.70,4.74,21.80,3.75,-1.9278,1
67,extended,0.50,2.0,239,0.2600,0.0072,7.2000e-04,74.30,4.40,12.60,70.34,5.21,19.44,5.01,-1.9238,1
68,extended,0.50,2.0,254,0.0600,0.0120,3.9000e-05,70.60,13.10,10.70,52.29,1.44,46.10,0.16,-1.9857,1
69,extended,0.50,2.0,269,0.2200,0.0080,5.2000e-04,75.00,6.20,12.20,70.54,4.51,21.66,3.29,-1.9385,1
70,extended,0.50,2.0,285,0.1400,0.0098,2.1000e-04,73.00,9.20,12.40,69.09,3.69,25.37,1.85,-1.9529,1
