iter,loss,lambda,nfail
0,1.074849e+04,1.000000e-02,0
1,1.074849e+04,4.000000e-02,0
2,1.074849e+04,1.600000e-01,0
3,9.326215e+03,8.000000e-02,0
4,6.676249e+03,4.000000e-02,0
5,5.989303e+03,2.000000e-02,0
6,5.824076e+03,1.000000e-02,0
7,5.770984e+03,5.000000e-03,0
