table,gap_mm,Q_total_mL_min,j_mA_cm2,phi_AN,FE_ADN_obs,FE_ADN_model,FE_ADN_resid_pp,FE_PN_obs,FE_PN_model,FE_PN_resid_pp,FE_TCH_obs,FE_TCH_model,FE_TCH_resid_pp
Table_S6,0.50,6,223,0.1000,65.00,67.40,2.40,10.20,8.66,-1.54,14.00,15.27,1.27
Table_S6,0.50,6,239,0.2600,66.30,66.96,0.66,5.20,9.63,4.43,13.60,15.90,2.30
Table_S6,0.50,6,254,0.0600,62.10,60.13,-1.97,10.10,2.36,-7.74,14.00,8.44,-5.56
Table_S6,0.50,6,269,0.2200,65.30,67.56,2.26,5.90,8.61,2.71,13.50,15.32,1.82
Table_S6,0.50,6,285,0.1400,69.20,68.03,-1.17,5.90,7.23,1.33,14.20,14.35,0.15
Table_S6,0.50,6,290,0.2900,63.40,67.56,4.16,7.70,8.73,1.03,12.10,15.43,3.33
Table_S7,0.50,10,80,0.2900,68.10,65.08,-3.02,3.40,11.57,8.17,14.80,16.43,1.63
Table_S7,0.50,10,85,0.1600,65.50,65.23,-0.27,11.70,11.41,-0.29,12.30,16.37,4.07
Table_S7,0.50,10,101,0.0800,74.70,65.97,-8.73,10.70,10.38,-0.32,14.80,15.93,1.13
Table_S7,0.50,10,116,0.2400,58.60,65.29,6.69,14.10,11.57,-2.53,11.50,16.59,5.09
Table_S7,0.50,10,131,0.0400,53.60,65.26,11.66,18.20,4.34,-13.86,12.50,11.19,-1.31
Table_S7,0.50,10,147,0.2000,47.30,65.58,18.28,18.90,11.32,-7.58,10.60,16.58,5.98
Table_S7,0.50,10,162,0.1200,56.60,65.95,9.35,15.60,10.87,-4.73,11.60,16.40,4.80
Table_S7,0.50,10,177,0.2800,61.60,65.66,4.06,1.90,11.34,9.44,14.70,16.67,1.97
Table_S7,0.50,10,208,0.1800,48.90,66.29,17.39,17.70,10.56,-7.14,10.90,16.35,5.45
Table_S7,0.50,10,223,0.1000,50.40,66.83,16.43,17.70,9.77,-7.93,10.70,15.95,5.25
Table_S7,0.50,10,239,0.2600,65.80,66.37,0.57,3.50,10.55,7.05,14.10,16.41,2.31
Table_S7,0.50,10,254,0.0600,47.10,64.88,17.78,18.90,3.60,-15.30,10.80,10.49,-0.31
Table_S7,0.50,10,269,0.2200,49.90,66.92,17.02,15.90,9.81,-6.09,10.80,16.06,5.26
Table_S7,0.50,10,285,0.1400,49.40,67.53,18.13,18.80,8.77,-10.03,10.10,15.45,5.35
Table_S7,0.50,10,290,0.2900,63.80,66.88,3.08,6.20,9.94,3.74,12.80,16.16,3.36
Table_S8,1.00,2,80,0.2900,61.50,66.16,4.66,2.20,9.68,7.48,13.00,15.44,2.44
Table_S8,1.00,2,85,0.1600,70.50,66.51,-3.99,2.60,8.94,6.34,15.10,15.02,-0.08
Table_S8,1.00,2,101,0.0800,74.60,66.57,-8.03,3.30,5.91,2.61,16.70,12.76,-3.94
Table_S8,1.00,2,116,0.2400,66.50,67.00,0.50,2.90,8.19,5.29,14.20,14.66,0.46
Table_S8,1.00,2,131,0.0400,67.40,38.93,-28.47,13.20,0.67,-12.53,7.40,3.82,-3.58
Table_S8,1.00,2,147,0.2000,70.70,67.20,-3.50,3.50,6.20,2.70,13.30,13.19,-0.11
Table_S8,1.00,2,162,0.1200,69.40,65.48,-3.92,7.40,4.26,-3.14,13.40,11.18,-2.22
Table_S8,1.00,2,177,0.2800,69.80,66.99,-2.81,5.10,5.38,0.28,11.40,12.49,1.09
Table_S8,1.00,2,208,0.1800,71.40,61.52,-9.88,6.90,2.72,-4.18,11.50,9.03,-2.47
Table_S8,1.00,2,223,0.1000,74.40,54.99,-19.41,8.00,1.68,-6.32,10.40,6.94,-3.46
Table_S8,1.00,2,239,0.2600,74.20,60.20,-14.00,6.50,2.39,-4.11,9.50,8.49,-1.01
Table_S8,1.00,2,254,0.0600,62.40,31.53,-30.87,11.50,0.37,-11.13,6.60,2.67,-3.93
Table_S8,1.00,2,269,0.2200,74.80,53.81,-20.99,7.70,1.51,-6.19,8.70,6.59,-2.11
Table_S8,1.00,2,285,0.1400,73.80,47.39,-26.41,7.80,1.01,-6.79,8.80,5.17,-3.63
Table_S8,1.00,2,290,0.2900,72.00,54.06,-17.94,6.10,1.52,-4.58,7.90,6.63,-1.27
Table_S9,1.00,6,80,0.2900,59.00,65.65,6.65,8.90,10.66,1.76,12.70,15.97,3.27
Table_S9,1.00,6,85,0.1600,64.60,65.93,1.33,12.00,10.23,-1.77,13.20,15.77,2.57
Table_S9,1.00,6,101,0.0800,77.40,66.86,-10.54,8.00,8.28,0.28,17.10,14.66,-2.44
Table_S9,1.00,6,116,0.2400,64.30,66.28,1.98,5.80,9.98,4.18,14.00,15.78,1.78
Table_S9,1.00,6,131,0.0400,73.30,51.75,-21.55,8.30,1.48,-6.82,15.60,6.28,-9.32
Table_S9,1.00,6,147,0.2000,64.40,66.95,2.55,9.50,8.95,-0.55,12.70,15.27,2.57
Table_S9,1.00,6,162,0.1200,69.80,67.42,-2.38,9.80,7.71,-2.09,13.40,14.47,1.07
Table_S9,1.00,6,177,0.2800,63.20,67.25,4.05,8.70,8.59,-0.11,12.40,15.12,2.72
Table_S9,1.00,6,208,0.1800,69.70,67.67,-2.03,6.40,6.37,-0.03,13.20,13.50,0.30
Table_S9,1.00,6,223,0.1000,73.50,66.42,-7.08,8.90,4.52,-4.38,13.60,11.64,-1.96
Table_S9,1.00,6,239,0.2600,68.10,67.73,-0.37,8.50,5.99,-2.51,11.60,13.22,1.62
Table_S9,1.00,6,254,0.0600,56.00,43.72,-12.28,11.40,0.82,-10.58,9.70,4.52,-5.18
Table_S9,1.00,6,269,0.2200,64.40,66.20,1.80,11.00,4.18,-6.82,9.70,11.30,1.60
Table_S9,1.00,6,285,0.1400,68.20,62.04,-6.16,11.50,2.69,-8.81,9.80,9.10,-0.70
Table_S9,1.00,6,290,0.2900,60.10,66.43,6.33,16.30,4.25,-12.05,7.60,11.41,3.81
Table_S10,1.00,10,80,0.2900,52.70,65.46,12.76,10.90,10.99,0.09,11.70,16.14,4.44
Table_S10,1.00,10,85,0.1600,71.60,65.70,-5.90,8.90,10.66,1.76,15.10,16.00,0.90
Table_S10,1.00,10,101,0.0800,79.90,66.61,-13.29,8.50,9.05,0.55,17.60,15.16,-2.44
Table_S10,1.00,10,116,0.2400,60.90,65.95,5.05,7.40,10.56,3.16,14.50,16.09,1.59
Table_S10,1.00,10,131,0.0400,73.90,57.32,-16.58,6.90,2.14,-4.76,17.50,7.77,-9.73
Table_S10,1.00,10,147,0.2000,60.20,66.52,6.32,8.40,9.83,1.43,13.50,15.80,2.30
Table_S10,1.00,10,162,0.1200,76.70,67.05,-9.65,8.00,8.90,0.90,14.80,15.28,0.48
Table_S10,1.00,10,177,0.2800,60.10,66.76,6.66,11.80,9.62,-2.18,10.70,15.76,5.06
Table_S10,1.00,10,208,0.1800,64.90,67.59,2.69,11.50,7.95,-3.55,11.20,14.75,3.55
Table_S10,1.00,10,223,0.1000,70.60,67.75,-2.85,12.80,6.37,-6.43,11.90,13.53,1.63
Table_S10,1.00,10,239,0.2600,58.50,67.78,9.28,14.00,7.70,-6.30,9.80,14.64,4.84
Table_S10,1.00,10,254,0.0600,69.30,50.32,-18.98,15.60,1.22,-14.38,12.10,5.80,-6.30
Table_S10,1.00,10,269,0.2200,61.90,67.91,6.01,12.40,6.12,-6.28,9.70,13.39,3.69
Table_S10,1.00,10,285,0.1400,67.60,66.53,-1.07,11.40,4.33,-7.07,10.50,11.51,1.01
Table_S10,1.00,10,290,0.2900,61.80,68.02,6.22,10.90,6.22,-4.68,9.60,13.51,3.91
