x_m,c_H,c_OH,c_H2PO4,c_HPO4,c_PO4,c_AN,c_ADPN,c_PN,phi_l
6.36985151e-08,5.60899607e-14,1.78285024e+05,5.46789954e-10,6.14152092e-01,4.92723420e+03,4.47306876e+00,1.18698636e+01,1.29458921e+03,-1.96589704e-02
1.92594436e-07,5.62149860e-14,1.77888508e+05,5.49384407e-10,6.15693788e-01,4.92861822e+03,7.88812537e+00,1.18388317e+01,1.29120443e+03,-1.96613785e-02
3.24523411e-07,5.64074006e-14,1.77281702e+05,5.51435992e-10,6.15884921e-01,4.91333072e+03,1.13835418e+01,1.18070697e+01,1.28774001e+03,-1.96347758e-02
4.59556808e-07,5.65405115e-14,1.76864335e+05,5.54187103e-10,6.17500383e-01,4.91462076e+03,1.49612089e+01,1.17745602e+01,1.28419407e+03,-1.96370271e-02
5.97767680e-07,5.66997722e-14,1.76367552e+05,5.56805055e-10,6.18674769e-01,4.91013694e+03,1.86230621e+01,1.17412858e+01,1.28056468e+03,-1.96292131e-02
7.39230794e-07,5.68644026e-14,1.75856943e+05,5.59498351e-10,6.19867517e-01,4.90536029e+03,2.23710826e+01,1.17072284e+01,1.27684989e+03,-1.96208808e-02
8.84022681e-07,5.70172251e-14,1.75385596e+05,5.62440473e-10,6.21456932e-01,4.90475674e+03,2.62072977e+01,1.16723696e+01,1.27304769e+03,-1.96198302e-02
1.03222167e-06,5.72055127e-14,1.74808327e+05,5.65170766e-10,6.22418305e-01,4.89617562e+03,3.01337830e+01,1.16366906e+01,1.26915602e+03,-1.96048370e-02
1.18390793e-06,5.73847486e-14,1.74262330e+05,5.68134080e-10,6.23727522e-01,4.89114951e+03,3.41526624e+01,1.16001719e+01,1.26517278e+03,-1.95960444e-02
1.33916352e-06,5.75793959e-14,1.73673236e+05,5.71093877e-10,6.24857446e-01,4.88344565e+03,3.82661102e+01,1.15627940e+01,1.26109580e+03,-1.95825482e-02
1.49807244e-06,5.77671156e-14,1.73108868e+05,5.74277239e-10,6.26298642e-01,4.87880320e+03,4.24763516e+01,1.15245365e+01,1.25692289e+03,-1.95744064e-02
1.66072064e-06,5.79558373e-14,1.72545174e+05,5.77611241e-10,6.27883401e-01,4.87522126e+03,4.67856643e+01,1.14853788e+01,1.25265179e+03,-1.95681202e-02
1.82719613e-06,5.81385113e-14,1.72003028e+05,5.81172221e-10,6.29769305e-01,4.87450023e+03,5.11963795e+01,1.14452996e+01,1.24828019e+03,-1.95668573e-02
1.99758895e-06,5.83618384e-14,1.71344842e+05,5.84500836e-10,6.30952582e-01,4.86497117e+03,5.57108834e+01,1.14042774e+01,1.24380571e+03,-1.95501030e-02
2.17199129e-06,5.85992341e-14,1.70650695e+05,5.87870721e-10,6.32019445e-01,4.85345508e+03,6.03316182e+01,1.13622898e+01,1.23922595e+03,-1.95298104e-02
2.35049750e-06,5.88083531e-14,1.70043871e+05,5.91713259e-10,6.33888442e-01,4.85049799e+03,6.50610835e+01,1.13193142e+01,1.23453842e+03,-1.95245951e-02
