x_m,c_H,c_OH,c_H2PO4,c_HPO4,c_PO4,c_AN,c_ADPN,c_PN,phi_l
6.36985151e-08,2.24339526e-11,4.45752979e+02,1.18431773e-05,3.32584123e+01,6.67081157e+02,1.04916996e+03,1.35907147e+02,8.44062014e+01,-2.84495010e-03
1.92594436e-07,2.24799378e-11,4.44841134e+02,1.18831970e-05,3.33026468e+01,6.66645715e+02,1.04985360e+03,1.35551812e+02,8.41855191e+01,-2.84018004e-03
3.24523411e-07,2.25274469e-11,4.43902988e+02,1.19250042e-05,3.33493327e+01,6.66173873e+02,1.05055332e+03,1.35188116e+02,8.39596439e+01,-2.83499063e-03
4.59556808e-07,2.25762098e-11,4.42944191e+02,1.19680985e-05,3.33975575e+01,6.65696276e+02,1.05126951e+03,1.34815862e+02,8.37284536e+01,-2.82974820e-03
5.97767680e-07,2.26263791e-11,4.41962051e+02,1.20124400e-05,3.34469680e+01,6.65202919e+02,1.05200255e+03,1.34434849e+02,8.34918232e+01,-2.82432355e-03
7.39230794e-07,2.26779217e-11,4.40957554e+02,1.20581131e-05,3.34978306e+01,6.64700307e+02,1.05275284e+03,1.34044869e+02,8.32496247e+01,-2.81880084e-03
8.84022681e-07,2.27309554e-11,4.39928753e+02,1.21051254e-05,3.35499734e+01,6.64181750e+02,1.05352078e+03,1.33645714e+02,8.30017269e+01,-2.81309433e-03
1.03222167e-06,2.27855165e-11,4.38875320e+02,1.21535307e-05,3.36034727e+01,6.63647909e+02,1.05430680e+03,1.33237165e+02,8.27479959e+01,-2.80721296e-03
1.18390793e-06,2.28415498e-11,4.37798701e+02,1.22034349e-05,3.36586812e+01,6.63107551e+02,1.05511131e+03,1.32819003e+02,8.24882943e+01,-2.80127035e-03
1.33916352e-06,2.28992062e-11,4.36696395e+02,1.22548370e-05,3.37153512e+01,6.62551593e+02,1.05593475e+03,1.32391002e+02,8.22224817e+01,-2.79514983e-03
1.49807244e-06,2.29585361e-11,4.35567875e+02,1.23077935e-05,3.37735400e+01,6.61979945e+02,1.05677757e+03,1.31952929e+02,8.19504142e+01,-2.78885067e-03
1.66072064e-06,2.30196473e-11,4.34411553e+02,1.23623335e-05,3.38331444e+01,6.61387732e+02,1.05764022e+03,1.31504547e+02,8.16719447e+01,-2.78231025e-03
1.82719613e-06,2.30824275e-11,4.33230028e+02,1.24186079e-05,3.38947167e+01,6.60789243e+02,1.05852317e+03,1.31045615e+02,8.13869226e+01,-2.77571407e-03
1.99758895e-06,2.31471060e-11,4.32019480e+02,1.24765886e-05,3.39578138e+01,6.60169503e+02,1.05942690e+03,1.30575884e+02,8.10951936e+01,-2.76886873e-03
2.17199129e-06,2.32136401e-11,4.30781240e+02,1.25363975e-05,3.40228020e+01,6.59537152e+02,1.06035189e+03,1.30095099e+02,8.07965999e+01,-2.76188680e-03
2.35049750e-06,2.32821414e-11,4.29513783e+02,1.25980785e-05,3.40896039e+01,6.58887794e+02,1.06129865e+03,1.29603002e+02,8.04909799e+01,-2.75471184e-03
2.53320413e-06,2.33526073e-11,4.28217735e+02,1.26617415e-05,3.41584876e+01,6.58226989e+02,1.06226768e+03,1.29099324e+02,8.01781685e+01,-2.74741675e-03
2.72021005e-06,2.34252585e-11,4.26889658e+02,1.27273808e-05,3.42290788e+01,6.57541618e+02,1.06325952e+03,1.28583795e+02,7.98579962e+01,-2.73983150e-03
2.91161640e-06,2.35000379e-11,4.25531254e+02,1.27951467e-05,3.43018286e+01,6.56842335e+02,1.06427470e+03,1.28056134e+02,7.95302900e+01,-2.73209534e-03
3.10752674e-06,2.35770307e-11,4.24141644e+02,1.28651178e-05,3.43767822e+01,6.56127948e+02,1.06531377e+03,1.27516057e+02,7.91948725e+01,-2.72419352e-03
3.30804705e-06,2.36563830e-11,4.22718915e+02,1.29373456e-05,3.44538215e+01,6.55392517e+02,1.06637728e+03,1.26963272e+02,7.88515623e+01,-2.71604924e-03
3.51328580e-06,2.37381296e-11,4.21263204e+02,1.30119486e-05,3.45331668e+01,6.54639685e+02,1.06746582e+03,1.26397479e+02,7.85001737e+01,-2.70771073e-03
3.72335404e-06,2.38224034e-11,4.19772947e+02,1.30889986e-05,3.46147667e+01,6.53865240e+02,1.06857998e+03,1.25818372e+02,7.81405165e+01,-2.69912364e-03
3.93836540e-06,2.39092626e-11,4.18247968e+02,1.31686156e-05,3.46988036e+01,6.53071504e+02,1.06972035e+03,1.25225638e+02,7.77723962e+01,-2.69031907e-03
4.15843619e-06,2.39988375e-11,4.16686868e+02,1.32508874e-05,3.47852649e+01,6.52255159e+02,1.07088756e+03,1.24618957e+02,7.73956137e+01,-2.68125427e-03
4.38368547e-06,2.40911865e-11,4.15089578e+02,1.33359496e-05,3.48743654e+01,6.51419170e+02,1.07208223e+03,1.23998000e+02,7.70099651e+01,-2.67196891e-03
4.61423510e-06,2.41863936e-11,4.13455622e+02,1.34239325e-05,3.49662615e+01,6.50564700e+02,1.07330502e+03,1.23362431e+02,7.66152418e+01,-2.66247920e-03
4.85020980e-06,2.42847042e-11,4.11781850e+02,1.35148863e-05,3.50606638e+01,6.49680338e+02,1.07455658e+03,1.22711907e+02,7.62112302e+01,-2.65263578e-03
5.09173722e-06,2.43860413e-11,4.10070673e+02,1.36090496e-05,3.51582337e+01,6.48781036e+02,1.07583759e+03,1.22046075e+02,7.57977119e+01,-2.64263647e-03
5.33894803e-06,2.44906456e-11,4.08319182e+02,1.37064954e-05,3.52587364e+01,6.47856638e+02,1.07714874e+03,1.21364575e+02,7.53744630e+01,-2.63234839e-03
5.59197596e-06,2.45987093e-11,4.06525408e+02,1.38073342e-05,3.53621018e+01,6.46901487e+02,1.07849075e+03,1.20667039e+02,7.49412547e+01,-2.62169750e-03
5.85095790e-06,2.47101719e-11,4.04691654e+02,1.39118307e-05,3.54690102e+01,6.45930363e+02,1.07986433e+03,1.19953089e+02,7.44978525e+01,-2.61088041e-03
6.11603395e-06,2.48253982e-11,4.02813290e+02,1.40200231e-05,3.55789443e+01,6.44925025e+02,1.08127024e+03,1.19222339e+02,7.40440166e+01,-2.59965644e-03
6.38734751e-06,2.49443585e-11,4.00892262e+02,1.41321859e-05,3.56925481e+01,6.43898785e+02,1.08270922e+03,1.18474394e+02,7.35795015e+01,-2.58820319e-03
6.66504536e-06,2.50672899e-11,3.98926264e+02,1.42484575e-05,3.58097276e+01,6.42844636e+02,1.08418207e+03,1.17708849e+02,7.31040559e+01,-2.57642875e-03
6.94927771e-06,2.51944018e-11,3.96913583e+02,1.43690077e-05,3.59305014e+01,6.41758477e+02,1.08568958e+03,1.16925290e+02,7.26174225e+01,-2.56427952e-03
7.24019835e-06,2.53258100e-11,3.94854114e+02,1.44940768e-05,3.60551880e+01,6.40644062e+02,1.08723256e+03,1.16123293e+02,7.21193382e+01,-2.55180663e-03
7.53796465e-06,2.54617548e-11,3.92745917e+02,1.46238521e-05,3.61837856e+01,6.39496322e+02,1.08881185e+03,1.15302424e+02,7.16095335e+01,-2.53894345e-03
7.84273769e-06,2.56021890e-11,3.90591611e+02,1.47587052e-05,3.63171456e+01,6.38332546e+02,1.09042830e+03,1.14462240e+02,7.10877325e+01,-2.52592299e-03
8.15468235e-06,2.57476851e-11,3.88384439e+02,1.48986730e-05,3.64543993e+01,6.37124248e+02,1.09208278e+03,1.13602285e+02,7.05536530e+01,-2.51236478e-03
8.47396739e-06,2.58982859e-11,3.86125949e+02,1.50441204e-05,3.65962280e+01,6.35883678e+02,1.09377620e+03,1.12722094e+02,7.00070061e+01,-2.49843425e-03
8.80076553e-06,2.60542385e-11,3.83814718e+02,1.51953188e-05,3.67427771e+01,6.34608616e+02,1.09550947e+03,1.11821192e+02,6.94474960e+01,-2.48410294e-03
