x_m,c_H,c_OH,c_H2PO4,c_HPO4,c_PO4,c_AN,c_ADPN,c_PN,phi_l
6.66504536e-06,9.11786900e-11,1.09674545e+02,1.22525689e-04,8.46590800e+01,4.17822572e+02,1.31013246e+03,4.00563163e-01,1.43612636e-01,-4.01735818e-05
6.94927771e-06,9.11969260e-11,1.09652620e+02,1.22566520e-04,8.46703622e+01,4.17794716e+02,1.31013586e+03,3.98043121e-01,1.42640019e-01,-3.99056567e-05
7.24019835e-06,9.12156003e-11,1.09630177e+02,1.22608328e-04,8.46819082e+01,4.17766165e+02,1.31013933e+03,3.95461203e-01,1.41645053e-01,-3.96306712e-05
7.53796465e-06,9.12347153e-11,1.09607213e+02,1.22651149e-04,8.46937397e+01,4.17737015e+02,1.31014289e+03,3.92815658e-01,1.40627250e-01,-3.93507763e-05
7.84273769e-06,9.12542922e-11,1.09583705e+02,1.22694995e-04,8.47058445e+01,4.17707112e+02,1.31014654e+03,3.90104673e-01,1.39586111e-01,-3.90629621e-05
8.15468235e-06,9.12743325e-11,1.09559650e+02,1.22739902e-04,8.47182468e+01,4.17676566e+02,1.31015027e+03,3.87326367e-01,1.38521128e-01,-3.87697174e-05
8.47396739e-06,9.12948592e-11,1.09535022e+02,1.22785882e-04,8.47309323e+01,4.17645203e+02,1.31015408e+03,3.84478793e-01,1.37431781e-01,-3.84676335e-05
8.80076553e-06,9.13158727e-11,1.09509821e+02,1.22832976e-04,8.47439289e+01,4.17613162e+02,1.31015799e+03,3.81559930e-01,1.36317542e-01,-3.81597323e-05
9.13525357e-06,9.13373839e-11,1.09484035e+02,1.22881214e-04,8.47572462e+01,4.17580439e+02,1.31016199e+03,3.78567684e-01,1.35177871e-01,-3.78461500e-05
9.47761245e-06,9.13594194e-11,1.09457633e+02,1.22930603e-04,8.47708650e+01,4.17546820e+02,1.31016608e+03,3.75499885e-01,1.34012216e-01,-3.75227017e-05
9.82802739e-06,9.13819834e-11,1.09430611e+02,1.22981184e-04,8.47848085e+01,4.17512401e+02,1.31017027e+03,3.72354283e-01,1.32820015e-01,-3.71915307e-05
1.01866879e-05,9.14050831e-11,1.09402960e+02,1.23032995e-04,8.47990954e+01,4.17477243e+02,1.31017455e+03,3.69128547e-01,1.31600696e-01,-3.68541226e-05
1.05537882e-05,9.14287388e-11,1.09374659e+02,1.23086055e-04,8.48137205e+01,4.17441228e+02,1.31017894e+03,3.65820261e-01,1.30353671e-01,-3.65082644e-05
1.09295266e-05,9.14529647e-11,1.09345690e+02,1.23140396e-04,8.48286908e+01,4.17404327e+02,1.31018343e+03,3.62426924e-01,1.29078343e-01,-3.61535798e-05
1.13141066e-05,9.14777706e-11,1.09316043e+02,1.23196054e-04,8.48440227e+01,4.17366578e+02,1.31018803e+03,3.58945945e-01,1.27774102e-01,-3.57910736e-05
1.17077361e-05,9.15031741e-11,1.09285699e+02,1.23253058e-04,8.48597186e+01,4.17327914e+02,1.31019274e+03,3.55374644e-01,1.26440323e-01,-3.54196018e-05
1.21106281e-05,9.15291881e-11,1.09254642e+02,1.23311444e-04,8.48757907e+01,4.17288337e+02,1.31019755e+03,3.51710250e-01,1.25076369e-01,-3.50394376e-05
1.25230006e-05,9.15558290e-11,1.09222856e+02,1.23371244e-04,8.48922457e+01,4.17247807e+02,1.31020248e+03,3.47949899e-01,1.23681589e-01,-3.46500259e-05
1.29450766e-05,9.15831046e-11,1.09190331e+02,1.23432505e-04,8.49091068e+01,4.17206404e+02,1.31020753e+03,3.44090636e-01,1.22255317e-01,-3.42532235e-05
1.33770845e-05,9.16110383e-11,1.09157041e+02,1.23495251e-04,8.49263694e+01,4.17164001e+02,1.31021269e+03,3.40129411e-01,1.20796873e-01,-3.38466981e-05
1.38192580e-05,9.16396423e-11,1.09122973e+02,1.23559525e-04,8.49440512e+01,4.17120631e+02,1.31021798e+03,3.36063087e-01,1.19305559e-01,-3.34313762e-05
1.42718363e-05,9.16689411e-11,1.09088099e+02,1.23625357e-04,8.49621475e+01,4.17076162e+02,1.31022338e+03,3.31888436e-01,1.17780663e-01,-3.30048106e-05
1.47350643e-05,9.16989522e-11,1.09052400e+02,1.23692782e-04,8.49806676e+01,4.17030560e+02,1.31022892e+03,3.27602149e-01,1.16221457e-01,-3.25666156e-05
1.52091924e-05,9.17296788e-11,1.09015875e+02,1.23761863e-04,8.49996489e+01,4.16983998e+02,1.31023459e+03,3.23200832e-01,1.14627193e-01,-3.21205789e-05
1.56944773e-05,9.17611518e-11,1.08978487e+02,1.23832621e-04,8.50190781e+01,4.16936273e+02,1.31024039e+03,3.18681023e-01,1.12997109e-01,-3.16628289e-05
1.61911814e-05,9.17933885e-11,1.08940219e+02,1.23905102e-04,8.50389685e+01,4.16887372e+02,1.31024633e+03,3.14039195e-01,1.11330421e-01,-3.11934102e-05
1.66995735e-05,9.18263926e-11,1.08901067e+02,1.23979369e-04,8.50593596e+01,4.16837475e+02,1.31025240e+03,3.09271766e-01,1.09626330e-01,-3.07163219e-05
1.72199285e-05,9.18602052e-11,1.08860985e+02,1.24055438e-04,8.50802226e+01,4.16786258e+02,1.31025862e+03,3.04375117e-01,1.07884013e-01,-3.02251884e-05
1.77525281e-05,9.18948304e-11,1.08819970e+02,1.24133376e-04,8.51015993e+01,4.16733908e+02,1.31026499e+03,2.99345607e-01,1.06102633e-01,-2.97242086e-05
1.82976602e-05,9.19303010e-11,1.08777986e+02,1.24213214e-04,8.51234790e+01,4.16680228e+02,1.31027151e+03,2.94179595e-01,1.04281327e-01,-2.92096413e-05
1.88556199e-05,9.19666269e-11,1.08735023e+02,1.24295015e-04,8.51458945e+01,4.16625336e+02,1.31027818e+03,2.88873462e-01,1.02419217e-01,-2.86842394e-05
1.94267089e-05,9.20038405e-11,1.08691045e+02,1.24378814e-04,8.51688386e+01,4.16569053e+02,1.31028500e+03,2.83423643e-01,1.00515401e-01,-2.81446759e-05
2.00112363e-05,9.20419433e-11,1.08646053e+02,1.24464690e-04,8.51923630e+01,4.16511628e+02,1.31029199e+03,2.77826665e-01,9.85689555e-02,-2.75964379e-05
2.06095181e-05,9.20809830e-11,1.08599993e+02,1.24552662e-04,8.52164349e+01,4.16452690e+02,1.31029914e+03,2.72079182e-01,9.65789386e-02,-2.70322070e-05
2.12218782e-05,9.21209715e-11,1.08552854e+02,1.24642799e-04,8.52410890e+01,4.16392356e+02,1.31030646e+03,2.66178029e-01,9.45443849e-02,-2.64548180e-05
2.18486477e-05,9.21619272e-11,1.08504617e+02,1.24735165e-04,8.52663500e+01,4.16330668e+02,1.31031395e+03,2.60120277e-01,9.24643075e-02,-2.58654734e-05
2.24901657e-05,9.22038841e-11,1.08455245e+02,1.24829802e-04,8.52922150e+01,4.16267463e+02,1.31032162e+03,2.53903297e-01,9.03376972e-02,-2.52612267e-05
2.31467794e-05,9.22468602e-11,1.08404720e+02,1.24926781e-04,8.53187124e+01,4.16202802e+02,1.31032947e+03,2.47524838e-01,8.81635211e-02,-2.46437123e-05
2.38188438e-05,9.22908868e-11,1.08353009e+02,1.25026153e-04,8.53458475e+01,4.16136573e+02,1.31033750e+03,2.40983110e-01,8.59407214e-02,-2.40110653e-05
2.45067225e-05,9.23359871e-11,1.08300088e+02,1.25127985e-04,8.53736425e+01,4.16068785e+02,1.31034573e+03,2.34390810e-01,8.36682122e-02,-2.33638623e-05
2.52107878e-05,9.23821924e-11,1.08245924e+02,1.25232336e-04,8.54021063e+01,4.15999345e+02,1.31035414e+03,2.28124930e-01,8.13448756e-02,-2.27006341e-05
2.59314204e-05,9.24295285e-11,1.08190490e+02,1.25339273e-04,8.54312594e+01,4.15928242e+02,1.31036276e+03,2.21638894e-01,7.89695550e-02,-2.20215821e-05
2.66690103e-05,9.24780173e-11,1.08133765e+02,1.25448873e-04,8.54611318e+01,4.15855527e+02,1.31037157e+03,2.14921372e-01,7.65410460e-02,-2.13282291e-05
2.74239564e-05,9.25277045e-11,1.08075700e+02,1.25561185e-04,8.54917112e+01,4.15780943e+02,1.31038060e+03,2.07964059e-01,7.40580818e-02,-2.06157223e-05
2.81966671e-05,9.25785947e-11,1.08016293e+02,1.25676313e-04,8.55230634e+01,4.15704792e+02,1.31038983e+03,2.00762110e-01,7.15193138e-02,-1.98907802e-05
2.89875605e-05,9.26307390e-11,1.07955490e+02,1.25794304e-04,8.55551700e+01,4.15626763e+02,1.31039929e+03,1.93314439e-01,6.89232840e-02,-1.91474813e-05
2.97970645e-05,9.26841715e-11,1.07893256e+02,1.25915230e-04,8.55880462e+01,4.15546782e+02,1.31040896e+03,1.85623802e-01,6.62683864e-02,-1.83847962e-05
3.06256169e-05,9.27389119e-11,1.07829572e+02,1.26039188e-04,8.56217359e+01,4.15464982e+02,1.31041887e+03,1.77696625e-01,6.35528158e-02,-1.76059664e-05
3.14736660e-05,9.27950003e-11,1.07764398e+02,1.26166248e-04,8.56562477e+01,4.15381230e+02,1.31042900e+03,1.69542541e-01,6.07745000e-02,-1.68088022e-05
3.23416705e-05,9.28524811e-11,1.07697688e+02,1.26296479e-04,8.56915845e+01,4.15295350e+02,1.31043938e+03,1.61173598e-01,5.79310121e-02,-1.59902033e-05
3.32301001e-05,9.29113654e-11,1.07629435e+02,1.26429999e-04,8.57278127e+01,4.15207621e+02,1.31045000e+03,1.52603174e-01,5.50194603e-02,-1.51564932e-05
3.41394354e-05,9.29717159e-11,1.07559571e+02,1.26566860e-04,8.57649063e+01,4.15117645e+02,1.31046087e+03,1.43844663e-01,5.20363563e-02,-1.43000184e-05
3.50701682e-05,9.30335470e-11,1.07488088e+02,1.26707182e-04,8.58029306e+01,4.15025683e+02,1.31047199e+03,1.34910064e-01,4.89774665e-02,-1.34267474e-05
3.60228021e-05,9.30969177e-11,1.07414923e+02,1.26851032e-04,8.58418712e+01,4.14931409e+02,1.31048338e+03,1.25808648e-01,4.58376638e-02,-1.25305821e-05
3.69978525e-05,9.31618561e-11,1.07340051e+02,1.26998519e-04,8.58817736e+01,4.14834929e+02,1.31049504e+03,1.16545976e-01,4.26108188e-02,-1.16142973e-05
3.79958468e-05,9.32284083e-11,1.07263427e+02,1.27149734e-04,8.59226525e+01,4.14736118e+02,1.31050697e+03,1.07123478e-01,3.92898088e-02,-1.06759459e-05
3.90173249e-05,9.32966110e-11,1.07185016e+02,1.27304786e-04,8.59645429e+01,4.14634990e+02,1.31051918e+03,9.75387922e-02,3.58667973e-02,-9.71649414e-06
4.00628395e-05,9.33665142e-11,1.07104769e+02,1.27463769e-04,8.60074584e+01,4.14531401e+02,1.31053167e+03,8.77866842e-02,3.23340592e-02,-8.73361188e-06
4.11329561e-05,9.34381579e-11,1.07022648e+02,1.27626797e-04,8.60514335e+01,4.14425350e+02,1.31054447e+03,7.78597283e-02,2.86858350e-02,-7.72799191e-06
4.22282536e-05,9.35115870e-11,1.06938611e+02,1.27793980e-04,8.60964973e+01,4.14316790e+02,1.31055756e+03,6.77465700e-02,2.49220117e-02,-6.69933625e-06
4.33493246e-05,9.35868509e-11,1.06852611e+02,1.27965430e-04,8.61426734e+01,4.14205628e+02,1.31057096e+03,5.74235624e-02,2.10548357e-02,-5.64645478e-06
4.44967755e-05,9.36640019e-11,1.06764598e+02,1.28141257e-04,8.61899836e+01,4.14091750e+02,1.31058467e+03,4.68343705e-02,1.71202015e-02,-4.56775107e-06
4.56712272e-05,9.37430796e-11,1.06674537e+02,1.28321598e-04,8.62384763e+01,4.13975228e+02,1.31059871e+03,3.58619010e-02,1.31946786e-02,-3.46545050e-06
4.68733148e-05,9.38241435e-11,1.06582372e+02,1.28506565e-04,8.62881671e+01,4.13855887e+02,1.31061308e+03,2.43667127e-02,9.41666749e-03,-2.33674635e-06
4.81036889e-05,9.39072429e-11,1.06488057e+02,1.28696291e-04,8.63390934e+01,4.13733704e+02,1.31062779e+03,1.26646710e-02,5.28263270e-03,-1.18196317e-06
4.93630148e-05,9.39924341e-11,1.06391542e+02,1.28890906e-04,8.63912842e+01,4.13608587e+02,1.31064284e+03,1.00000000e-03,1.00000000e-03,0.00000000e+00
