x_m,c_H,c_OH,c_H2PO4,c_HPO4,c_PO4,c_AN,c_ADPN,c_PN,phi_l
6.36985151e-08,5.18456073e-14,1.92880372e+05,4.79973829e-10,5.83238436e-01,5.06228500e+03,6.62505876e+00,1.82365597e+01,1.28696634e+03,-1.98941366e-02
1.92594436e-07,5.19885285e-14,1.92350126e+05,4.81997071e-10,5.84086844e-01,5.05571301e+03,1.00344889e+01,1.81888818e+01,1.28360150e+03,-1.98830138e-02
3.24523411e-07,5.21236695e-14,1.91851420e+05,4.84193380e-10,5.85227081e-01,5.05244909e+03,1.35241464e+01,1.81400820e+01,1.28015747e+03,-1.98774857e-02
4.59556808e-07,5.22749225e-14,1.91296314e+05,4.86344558e-10,5.86126305e-01,5.04557108e+03,1.70959191e+01,1.80901338e+01,1.27663241e+03,-1.98658218e-02
5.97767680e-07,5.24305316e-14,1.90728564e+05,4.88563836e-10,5.87053398e-01,5.03855332e+03,2.07517392e+01,1.80390103e+01,1.27302439e+03,-1.98539047e-02
7.39230794e-07,5.25774312e-14,1.90195675e+05,4.90976720e-10,5.88304386e-01,5.03518272e+03,2.44935846e+01,1.79866839e+01,1.26933148e+03,-1.98481765e-02
8.84022681e-07,5.27448925e-14,1.89591817e+05,4.93314358e-10,5.89228703e-01,5.02708231e+03,2.83234793e+01,1.79331261e+01,1.26555167e+03,-1.98343907e-02
1.03222167e-06,5.28883207e-14,1.89077662e+05,4.95997786e-10,5.90827240e-01,5.02705048e+03,3.22434955e+01,1.78783081e+01,1.26168291e+03,-1.98343396e-02
1.18390793e-06,5.30722945e-14,1.88422229e+05,4.98426818e-10,5.91662558e-01,5.01670700e+03,3.62557536e+01,1.78222001e+01,1.25772312e+03,-1.98167032e-02
1.33916352e-06,5.32269573e-14,1.87874726e+05,5.01261860e-10,5.93298936e-01,5.01596436e+03,4.03624242e+01,1.77647719e+01,1.25367015e+03,-1.98154386e-02
1.49807244e-06,5.34042182e-14,1.87251126e+05,5.04019556e-10,5.94582845e-01,5.01013383e+03,4.45657290e+01,1.77059923e+01,1.24952182e+03,-1.98054812e-02
1.66072064e-06,5.35914278e-14,1.86597006e+05,5.06824615e-10,5.95803322e-01,5.00288023e+03,4.88679419e+01,1.76458296e+01,1.24527586e+03,-1.97930766e-02
1.82719613e-06,5.37723593e-14,1.85969151e+05,5.09835806e-10,5.97326511e-01,4.99879367e+03,5.32713902e+01,1.75842512e+01,1.24093000e+03,-1.97860817e-02
1.99758895e-06,5.39755360e-14,1.85269119e+05,5.12788901e-10,5.98524872e-01,4.98996790e+03,5.77784562e+01,1.75212238e+01,1.23648187e+03,-1.97709512e-02
2.17199129e-06,5.41672661e-14,1.84613342e+05,5.16009785e-10,6.00152431e-01,4.98582656e+03,6.23915780e+01,1.74567132e+01,1.23192907e+03,-1.97638444e-02
2.35049750e-06,5.43794832e-14,1.83892884e+05,5.19201045e-10,6.01507480e-01,4.97758254e+03,6.71132513e+01,1.73906847e+01,1.22726914e+03,-1.97496758e-02
2.53320413e-06,5.45974360e-14,1.83158784e+05,5.22510330e-10,6.02924848e-01,4.96939419e+03,7.19460304e+01,1.73231025e+01,1.22249956e+03,-1.97355797e-02
2.72021005e-06,5.47927476e-14,1.82505905e+05,5.26215704e-10,6.05036082e-01,4.96901960e+03,7.68925297e+01,1.72539300e+01,1.21761775e+03,-1.97349383e-02
2.91161640e-06,5.50155493e-14,1.81766794e+05,5.29843929e-10,6.06740602e-01,4.96283822e+03,8.19554252e+01,1.71831298e+01,1.21262106e+03,-1.97242823e-02
3.10752674e-06,5.52622124e-14,1.80955477e+05,5.33438233e-10,6.08129991e-01,4.95200036e+03,8.71374558e+01,1.71106636e+01,1.20750679e+03,-1.97055638e-02
3.30804705e-06,5.55030206e-14,1.80170374e+05,5.37293592e-10,6.09867642e-01,4.94460366e+03,9.24414249e+01,1.70364922e+01,1.20227218e+03,-1.96927666e-02
3.51328580e-06,5.57382623e-14,1.79409970e+05,5.41415668e-10,6.11952825e-01,4.94056972e+03,9.78702018e+01,1.69605754e+01,1.19691440e+03,-1.96857816e-02
3.72335404e-06,5.60115153e-14,1.78534716e+05,5.45391457e-10,6.13439247e-01,4.92840908e+03,1.03426723e+02,1.68828723e+01,1.19143054e+03,-1.96646808e-02
3.93836540e-06,5.62638722e-14,1.77733946e+05,5.49803770e-10,6.15628399e-01,4.92381289e+03,1.09113996e+02,1.68033407e+01,1.18581764e+03,-1.96566952e-02
4.15843619e-06,5.65471847e-14,1.76843463e+05,5.54157126e-10,6.17394113e-01,4.91319509e+03,1.14935095e+02,1.67219376e+01,1.18007266e+03,-1.96382125e-02
4.38368547e-06,5.68172042e-14,1.76003028e+05,5.58895620e-10,6.19714127e-01,4.90822033e+03,1.20893171e+02,1.66386191e+01,1.17419250e+03,-1.96295420e-02
4.61423510e-06,5.71190075e-14,1.75073070e+05,5.63588380e-10,6.21615632e-01,4.89726707e+03,1.26991447e+02,1.65533400e+01,1.16817397e+03,-1.96104142e-02
4.85020980e-06,5.74213242e-14,1.74151330e+05,5.68556168e-10,6.23793322e-01,4.88854966e+03,1.33233221e+02,1.64660542e+01,1.16201382e+03,-1.95951617e-02
5.09173722e-06,5.77285276e-14,1.73224581e+05,5.73768723e-10,6.26162333e-01,4.88100184e+03,1.39621870e+02,1.63767145e+01,1.15570871e+03,-1.95819345e-02
5.33894803e-06,5.80572470e-14,1.72243786e+05,5.79075212e-10,6.28375272e-01,4.87051810e+03,1.46160851e+02,1.62852725e+01,1.14925524e+03,-1.95635262e-02
5.59197596e-06,5.83874356e-14,1.71269724e+05,5.84690218e-10,6.30880315e-01,4.86228139e+03,1.52853701e+02,1.61916788e+01,1.14264991e+03,-1.95490371e-02
5.85095790e-06,5.87331306e-14,1.70261655e+05,5.90489245e-10,6.33387358e-01,4.85287107e+03,1.59704041e+02,1.60958827e+01,1.13588915e+03,-1.95324528e-02
6.11603395e-06,5.90869150e-14,1.69242209e+05,5.96563659e-10,6.36071633e-01,4.84425756e+03,1.66715576e+02,1.59978325e+01,1.12896930e+03,-1.95172453e-02
6.38734751e-06,5.94653560e-14,1.68165141e+05,6.02764787e-10,6.38593361e-01,4.83251142e+03,1.73892099e+02,1.58974750e+01,1.12188663e+03,-1.94964611e-02
6.66504536e-06,5.98442915e-14,1.67100316e+05,6.09356394e-10,6.41488968e-01,4.82368540e+03,1.81237494e+02,1.57947560e+01,1.11463729e+03,-1.94808127e-02
6.94927771e-06,6.02504297e-14,1.65973920e+05,6.16087798e-10,6.44203393e-01,4.81144330e+03,1.88755733e+02,1.56896199e+01,1.10721736e+03,-1.94590575e-02
7.24019835e-06,6.06567648e-14,1.64862073e+05,6.23256671e-10,6.47333737e-01,4.80243518e+03,1.96450884e+02,1.55820099e+01,1.09962284e+03,-1.94430163e-02
7.53796465e-06,6.10944268e-14,1.63681051e+05,6.30567622e-10,6.50235418e-01,4.78940475e+03,2.04327110e+02,1.54718677e+01,1.09184961e+03,-1.94197557e-02
7.84273769e-06,6.15392439e-14,1.62497934e+05,6.38295190e-10,6.53446393e-01,4.77826600e+03,2.12388671e+02,1.53591338e+01,1.08389347e+03,-1.93998233e-02
8.15468235e-06,6.19997111e-14,1.61291074e+05,6.46378506e-10,6.56807026e-01,4.76716997e+03,2.20639929e+02,1.52437471e+01,1.07575011e+03,-1.93799214e-02
8.47396739e-06,6.24860211e-14,1.60035794e+05,6.54741078e-10,6.60126652e-01,4.75397517e+03,2.29085348e+02,1.51256452e+01,1.06741513e+03,-1.93561933e-02
8.80076553e-06,6.29847538e-14,1.58768581e+05,6.63554826e-10,6.63715448e-01,4.74197219e+03,2.37729496e+02,1.50047643e+01,1.05888402e+03,-1.93345525e-02
9.13525357e-06,6.35034489e-14,1.57471762e+05,6.72774403e-10,6.67440716e-01,4.72963795e+03,2.46577050e+02,1.48810389e+01,1.05015217e+03,-1.93122573e-02
9.47761245e-06,6.40503946e-14,1.56127063e+05,6.82349204e-10,6.71159016e-01,4.71537386e+03,2.55632796e+02,1.47544021e+01,1.04121484e+03,-1.92864000e-02
9.82802739e-06,6.46235093e-14,1.54742447e+05,6.92341501e-10,6.74948096e-01,4.69994040e+03,2.64901632e+02,1.46247855e+01,1.03206721e+03,-1.92583341e-02
1.01866879e-05,6.52129514e-14,1.53343773e+05,7.02899452e-10,6.79047099e-01,4.68574397e+03,2.74388574e+02,1.44921188e+01,1.02270433e+03,-1.92324376e-02
1.05537882e-05,6.58223656e-14,1.51924045e+05,7.14030169e-10,6.83413612e-01,4.67221319e+03,2.84098753e+02,1.43563303e+01,1.01312113e+03,-1.92076833e-02
1.09295266e-05,6.64716603e-14,1.50440052e+05,7.25569315e-10,6.87674516e-01,4.65542053e+03,2.94037423e+02,1.42173467e+01,1.00331243e+03,-1.91768590e-02
1.13141066e-05,6.71312895e-14,1.48961834e+05,7.37893429e-10,6.92483138e-01,4.64191011e+03,3.04209960e+02,1.40750925e+01,9.93272913e+02,-1.91519817e-02
1.17077361e-05,6.78278671e-14,1.47432028e+05,7.50770567e-10,6.97332051e-01,4.62640852e+03,3.14621867e+02,1.39294910e+01,9.82997161e+02,-1.91233472e-02
1.21106281e-05,6.85629846e-14,1.45851294e+05,7.64249181e-10,7.02240409e-01,4.60902023e+03,3.25278776e+02,1.37804634e+01,9.72479610e+02,-1.90911121e-02
1.25230006e-05,6.93326982e-14,1.44232090e+05,7.78445131e-10,7.07343642e-01,4.59097434e+03,3.36186454e+02,1.36279289e+01,9.61714571e+02,-1.90575292e-02
1.29450766e-05,7.01278353e-14,1.42596730e+05,7.93539212e-10,7.12883409e-01,4.57446793e+03,3.47350801e+02,1.34718052e+01,9.50696219e+02,-1.90266973e-02
1.33770845e-05,7.09703118e-14,1.40903988e+05,8.09370454e-10,7.18474208e-01,4.55561466e+03,3.58777856e+02,1.33120078e+01,9.39418594e+02,-1.89913438e-02
1.38192580e-05,7.18499358e-14,1.39178969e+05,8.26149694e-10,7.24390775e-01,4.53689825e+03,3.70473801e+02,1.31484501e+01,9.27875594e+02,-1.89561028e-02
1.42718363e-05,7.27673861e-14,1.37424202e+05,8.43973163e-10,7.30688734e-01,4.51864423e+03,3.82444964e+02,1.29810437e+01,9.16060977e+02,-1.89215933e-02
1.47350643e-05,7.37405005e-14,1.35610688e+05,8.62750315e-10,7.37088431e-01,4.49806810e+03,3.94697820e+02,1.28096981e+01,9.03968349e+02,-1.88825248e-02
1.52091924e-05,7.47592730e-14,1.33762671e+05,8.82725740e-10,7.43877240e-01,4.47763526e+03,4.07238999e+02,1.26343206e+01,8.91591169e+02,-1.88435521e-02
1.56944773e-05,7.58288016e-14,1.31876013e+05,9.03980906e-10,7.51044404e-01,4.45701335e+03,4.20075285e+02,1.24548163e+01,8.78922742e+02,-1.88040388e-02
1.61911814e-05,7.69653880e-14,1.29928534e+05,9.26480502e-10,7.58370393e-01,4.43402787e+03,4.33213621e+02,1.22710880e+01,8.65956213e+02,-1.87597794e-02
1.66995735e-05,7.81584312e-14,1.27945250e+05,9.50527934e-10,7.66177864e-01,4.41129680e+03,4.46661116e+02,1.20830364e+01,8.52684569e+02,-1.87157849e-02
1.72199285e-05,7.94218124e-14,1.25909995e+05,9.76152175e-10,7.74316087e-01,4.38723604e+03,4.60425044e+02,1.18905598e+01,8.39100630e+02,-1.86689690e-02
1.77525281e-05,8.07496023e-14,1.23839619e+05,1.00364658e-09,7.83034623e-01,4.36368191e+03,4.74512852e+02,1.16935540e+01,8.25197046e+02,-1.86228913e-02
1.82976602e-05,8.21571508e-14,1.21717950e+05,1.03306973e-09,7.92181716e-01,4.33902305e+03,4.88932160e+02,1.14919125e+01,8.10966297e+02,-1.85743854e-02
1.88556199e-05,8.36539461e-14,1.19540087e+05,1.06458437e-09,8.01741199e-01,4.31280955e+03,5.03690769e+02,1.12855261e+01,7.96400684e+02,-1.85225179e-02
1.94267089e-05,8.52394362e-14,1.17316590e+05,1.09851611e-09,8.11907237e-01,4.28625847e+03,5.18796663e+02,1.10742833e+01,7.81492328e+02,-1.84696613e-02
2.00112363e-05,8.69400562e-14,1.15021780e+05,1.13488975e-09,8.22383342e-01,4.25663979e+03,5.34258014e+02,1.08580697e+01,7.66233162e+02,-1.84103084e-02
2.06095181e-05,8.87298834e-14,1.12701602e+05,1.17445523e-09,8.33886809e-01,4.22911704e+03,5.50083187e+02,1.06367683e+01,7.50614933e+02,-1.83547883e-02
2.12218782e-05,9.06476018e-14,1.10317314e+05,1.21717710e-09,8.45936966e-01,4.19946722e+03,5.66280742e+02,1.04102595e+01,7.34629190e+02,-1.82945711e-02
2.18486477e-05,9.27101001e-14,1.07863113e+05,1.26337854e-09,8.58513239e-01,4.16708595e+03,5.82859443e+02,1.01784208e+01,7.18267287e+02,-1.82283177e-02
2.24901657e-05,9.49004124e-14,1.05373620e+05,1.31392137e-09,8.72251704e-01,4.13605436e+03,5.99828257e+02,9.94112659e+00,7.01520372e+02,-1.81643450e-02
2.31467794e-05,9.72744827e-14,1.02801883e+05,1.36877286e-09,8.86488296e-01,4.10096996e+03,6.17196364e+02,9.69824864e+00,6.84379384e+02,-1.80914339e-02
2.38188438e-05,9.98154708e-14,1.00184870e+05,1.42902990e-09,9.01953203e-01,4.06629288e+03,6.34973161e+02,9.44965553e+00,6.66835052e+02,-1.80187574e-02
2.45067225e-05,1.02561142e-13,9.75028142e+04,1.49516695e-09,9.18432808e-01,4.02974022e+03,6.53168264e+02,9.19521276e+00,6.48877884e+02,-1.79414767e-02
2.52107878e-05,1.05537646e-13,9.47529185e+04,1.56800462e-09,9.36009989e-01,3.99103549e+03,6.71791517e+02,8.93478270e+00,6.30498165e+02,-1.78588789e-02
2.59314204e-05,1.08759217e-13,9.19462303e+04,1.64875939e-09,9.55062425e-01,3.95164750e+03,6.90852993e+02,8.66822445e+00,6.11685952e+02,-1.77739998e-02
2.66690103e-05,1.12275390e-13,8.90667134e+04,1.73839820e-09,9.75450509e-01,3.90960765e+03,7.10363006e+02,8.39539382e+00,5.92431069e+02,-1.76824682e-02
2.74239564e-05,1.16110749e-13,8.61246702e+04,1.83861312e-09,9.97604676e-01,3.86632678e+03,7.30332109e+02,8.11614320e+00,5.72723099e+02,-1.75872039e-02
2.81966671e-05,1.20325021e-13,8.31082341e+04,1.95099036e-09,1.02150319e+00,3.82028964e+03,7.50771106e+02,7.83032153e+00,5.52551380e+02,-1.74846969e-02
2.89875605e-05,1.24960749e-13,8.00251283e+04,2.07795135e-09,1.04761644e+00,3.77260374e+03,7.71691053e+02,7.53777418e+00,5.31905000e+02,-1.73772123e-02
2.97970645e-05,1.30102687e-13,7.68623636e+04,2.22196193e-09,1.07594705e+00,3.72149243e+03,7.93103267e+02,7.23834289e+00,5.10772789e+02,-1.72604894e-02
3.06256169e-05,1.35810101e-13,7.36322256e+04,2.38687147e-09,1.10722915e+00,3.66874852e+03,8.15019333e+02,6.93186568e+00,4.89143316e+02,-1.71383518e-02
3.14736660e-05,1.42200204e-13,7.03233870e+04,2.57681367e-09,1.14162467e+00,3.61273104e+03,8.37451107e+02,6.61817675e+00,4.67004880e+02,-1.70067002e-02
3.23416705e-05,1.49380276e-13,6.69432421e+04,2.79782351e-09,1.17996087e+00,3.55456821e+03,8.60410723e+02,6.29710640e+00,4.44345503e+02,-1.68678374e-02
3.32301001e-05,1.57545535e-13,6.34737127e+04,3.05671716e-09,1.22233347e+00,3.49137187e+03,8.83910602e+02,5.96848093e+00,4.21152928e+02,-1.67143616e-02
3.41394354e-05,1.66880067e-13,5.99232740e+04,3.36387006e-09,1.26991687e+00,3.42439084e+03,9.07963458e+02,5.63212257e+00,3.97414608e+02,-1.65486417e-02
3.50701682e-05,1.77629661e-13,5.62969040e+04,3.73326515e-09,1.32407900e+00,3.35436954e+03,9.32582301e+02,5.28784936e+00,3.73117701e+02,-1.63719134e-02
3.60228021e-05,1.90172470e-13,5.25838467e+04,4.18328316e-09,1.38583065e+00,3.27925365e+03,9.57780452e+02,4.93547504e+00,3.48249063e+02,-1.61781917e-02
3.69978525e-05,2.05006134e-13,4.87790282e+04,4.74053866e-09,1.45680487e+00,3.19776847e+03,9.83571540e+02,4.57480900e+00,3.22795241e+02,-1.59629776e-02
3.79958468e-05,2.22783386e-13,4.48866506e+04,5.44513496e-09,1.53980737e+00,3.11025557e+03,1.00996952e+03,4.20565612e+00,2.96742464e+02,-1.57256756e-02
3.90173249e-05,2.44467191e-13,4.09052846e+04,6.35762204e-09,1.63838012e+00,3.01582794e+03,1.03698867e+03,3.82781669e+00,2.70076639e+02,-1.54620522e-02
4.00628395e-05,2.71560013e-13,3.68242728e+04,7.57279782e-09,1.75683545e+00,2.91123807e+03,1.06464361e+03,3.44108631e+00,2.42783339e+02,-1.51602885e-02
4.11329561e-05,3.06266986e-13,3.26512503e+04,9.25375635e-09,1.90352427e+00,2.79685960e+03,1.09294930e+03,3.04525577e+00,2.14847801e+02,-1.48176889e-02
4.22282536e-05,3.52370086e-13,2.83792535e+04,1.16894426e-08,2.08994718e+00,2.66900055e+03,1.12192105e+03,2.64011094e+00,1.86254910e+02,-1.44178249e-02
4.33493246e-05,4.16552865e-13,2.40065568e+04,1.54483980e-08,2.33643582e+00,2.52403882e+03,1.15157453e+03,2.22543263e+00,1.56989200e+02,-1.39407952e-02
4.44967755e-05,5.12040258e-13,1.95297144e+04,2.17864611e-08,2.68054498e+00,2.35576031e+03,1.18192579e+03,1.80099652e+00,1.27034838e+02,-1.33517179e-02
4.56712272e-05,6.69006495e-13,1.49475380e+04,3.40147218e-08,3.20314840e+00,2.15455853e+03,1.21299125e+03,1.36657299e+00,9.63756186e+01,-1.25901253e-02
4.68733148e-05,9.75108921e-13,1.02552646e+04,6.37185578e-08,4.11673633e+00,1.89980541e+03,1.24478771e+03,9.21927038e-01,6.49949567e+01,-1.15182983e-02
4.81036889e-05,1.83724371e-12,5.44293749e+03,1.83265089e-07,6.27978651e+00,1.53714528e+03,1.27733237e+03,4.66818108e-01,3.28758757e+01,-9.72062820e-03
4.93630148e-05,9.39924341e-11,1.06391542e+02,1.28890906e-04,8.63912842e+01,4.13608587e+02,1.31064284e+03,1.00000000e-03,1.00000000e-03,0.00000000e+00
