x_m,c_H,c_OH,c_H2PO4,c_HPO4,c_PO4,c_AN,c_ADPN,c_PN,phi_l
6.36985151e-08,9.00980349e-11,1.10990212e+02,1.20115634e-04,8.39894071e+01,4.19485821e+02,1.30850712e+03,1.19271779e+00,5.91716689e-01,-5.62941972e-05
1.92594436e-07,9.01077985e-11,1.10978186e+02,1.20136692e-04,8.39950767e+01,4.19472602e+02,1.30851271e+03,1.18947162e+00,5.90172179e-01,-5.61734700e-05
3.24523411e-07,9.01178269e-11,1.10965836e+02,1.20158915e-04,8.40012666e+01,4.19457156e+02,1.30851842e+03,1.18615257e+00,5.88591301e-01,-5.60236811e-05
4.59556808e-07,9.01280902e-11,1.10953200e+02,1.20181726e-04,8.40076463e+01,4.19441270e+02,1.30852427e+03,1.18275901e+00,5.86973198e-01,-5.58698938e-05
5.97767680e-07,9.01385994e-11,1.10940264e+02,1.20205082e-04,8.40141762e+01,4.19424969e+02,1.30853026e+03,1.17928929e+00,5.85316994e-01,-5.57117541e-05
7.39230794e-07,9.01493583e-11,1.10927024e+02,1.20228995e-04,8.40208608e+01,4.19408280e+02,1.30853639e+03,1.17574172e+00,5.83621792e-01,-5.55498337e-05
8.84022681e-07,9.01603795e-11,1.10913464e+02,1.20253469e-04,8.40276917e+01,4.19391105e+02,1.30854266e+03,1.17211457e+00,5.81886671e-01,-5.53822308e-05
1.03222167e-06,9.01716557e-11,1.10899594e+02,1.20278537e-04,8.40346975e+01,4.19373622e+02,1.30854908e+03,1.16840607e+00,5.80110691e-01,-5.52126495e-05
1.18390793e-06,9.01831974e-11,1.10885401e+02,1.20304205e-04,8.40418742e+01,4.19355760e+02,1.30855565e+03,1.16461440e+00,5.78292891e-01,-5.50397948e-05
1.33916352e-06,9.01950160e-11,1.10870871e+02,1.20330483e-04,8.40492165e+01,4.19337443e+02,1.30856238e+03,1.16073773e+00,5.76432284e-01,-5.48621604e-05
1.49807244e-06,9.02071168e-11,1.10855998e+02,1.20357386e-04,8.40567307e+01,4.19318675e+02,1.30856926e+03,1.15677413e+00,5.74527862e-01,-5.46799959e-05
1.66072064e-06,9.02195078e-11,1.10840773e+02,1.20384929e-04,8.40644191e+01,4.19299434e+02,1.30857631e+03,1.15272168e+00,5.72578592e-01,-5.44929038e-05
1.82719613e-06,9.02321916e-11,1.10825192e+02,1.20413132e-04,8.40722939e+01,4.19279766e+02,1.30858352e+03,1.14857837e+00,5.70583419e-01,-5.43019931e-05
1.99758895e-06,9.02451740e-11,1.10809249e+02,1.20442014e-04,8.40803616e+01,4.19259679e+02,1.30859090e+03,1.14434217e+00,5.68541260e-01,-5.41074943e-05
2.17199129e-06,9.02584663e-11,1.10792931e+02,1.20471584e-04,8.40886193e+01,4.19239105e+02,1.30859846e+03,1.14001100e+00,5.66451008e-01,-5.39081753e-05
2.35049750e-06,9.02720794e-11,1.10776223e+02,1.20501857e-04,8.40970653e+01,4.19217986e+02,1.30860619e+03,1.13558270e+00,5.64311531e-01,-5.37029583e-05
2.53320413e-06,9.02860118e-11,1.10759129e+02,1.20532859e-04,8.41057213e+01,4.19196437e+02,1.30861411e+03,1.13105508e+00,5.62121668e-01,-5.34943269e-05
2.72021005e-06,9.03002785e-11,1.10741630e+02,1.20564601e-04,8.41145786e+01,4.19174347e+02,1.30862221e+03,1.12642591e+00,5.59880232e-01,-5.32801179e-05
2.91161640e-06,9.03148871e-11,1.10723717e+02,1.20597100e-04,8.41236430e+01,4.19151709e+02,1.30863050e+03,1.12169286e+00,5.57586009e-01,-5.30603370e-05
3.10752674e-06,9.03298390e-11,1.10705389e+02,1.20630384e-04,8.41329321e+01,4.19128605e+02,1.30863899e+03,1.11685359e+00,5.55237755e-01,-5.28367796e-05
