x_m,c_H,c_OH,c_H2PO4,c_HPO4,c_PO4,c_AN,c_ADPN,c_PN,phi_l
6.36985151e-08,6.30118627e-14,1.58700276e+05,6.63790394e-10,6.63665419e-01,4.73957338e+03,2.86772861e-01,1.34372851e-01,3.03347298e+02,-1.93210985e-02
1.92594436e-07,6.31633999e-14,1.58319534e+05,6.66823888e-10,6.65098855e-01,4.73841631e+03,1.08032905e+00,1.34024141e-01,3.02554181e+02,-1.93190106e-02
3.24523411e-07,6.33452679e-14,1.57864988e+05,6.69676868e-10,6.66026745e-01,4.73140369e+03,1.89257390e+00,1.33667226e-01,3.01742402e+02,-1.93063299e-02
4.59556808e-07,6.35273190e-14,1.57412593e+05,6.72672889e-10,6.67089257e-01,4.72537123e+03,2.72393170e+00,1.33301913e-01,3.00911521e+02,-1.92954071e-02
5.97767680e-07,6.37231412e-14,1.56928861e+05,6.75673529e-10,6.68005869e-01,4.71732302e+03,3.57485219e+00,1.32928003e-01,3.00061088e+02,-1.92808116e-02
7.39230794e-07,6.38909239e-14,1.56516754e+05,6.79127072e-10,6.69657018e-01,4.71656441e+03,4.44579572e+00,1.32545295e-01,2.99190644e+02,-1.92794378e-02
8.84022681e-07,6.40903002e-14,1.56029851e+05,6.82406084e-10,6.70797034e-01,4.70989625e+03,5.33723344e+00,1.32153582e-01,2.98299717e+02,-1.92673250e-02
1.03222167e-06,6.42801311e-14,1.55569067e+05,6.85954350e-10,6.72293651e-01,4.70646430e+03,6.24964759e+00,1.31752651e-01,2.97387826e+02,-1.92610861e-02
1.18390793e-06,6.44726117e-14,1.55104621e+05,6.89648000e-10,6.73895828e-01,4.70359606e+03,7.18353179e+00,1.31342286e-01,2.96454477e+02,-1.92558691e-02
1.33916352e-06,6.46773370e-14,1.54613663e+05,6.93391142e-10,6.75408790e-01,4.69923421e+03,8.13939123e+00,1.30922264e-01,2.95499165e+02,-1.92479274e-02
1.49807244e-06,6.48898198e-14,1.54107378e+05,6.97238832e-10,6.76932784e-01,4.69441514e+03,9.11774302e+00,1.30492360e-01,2.94521374e+02,-1.92391444e-02
1.66072064e-06,6.51166469e-14,1.53570561e+05,7.01127778e-10,6.78337294e-01,4.68776874e+03,1.01191164e+01,1.30052339e-01,2.93520574e+02,-1.92270148e-02
1.82719613e-06,6.53421561e-14,1.53040557e+05,7.05234111e-10,6.79955355e-01,4.68273359e+03,1.11440532e+01,1.29601964e-01,2.92496225e+02,-1.92178154e-02
1.99758895e-06,6.55804069e-14,1.52484568e+05,7.09414285e-10,6.81500802e-01,4.67632597e+03,1.21931077e+01,1.29140991e-01,2.91447772e+02,-1.92060930e-02
