row_idx,set,gap_mm,Q_total_mL_min,j_mA_cm2,phi_AN,We_aq,We_org,FE_ADN_obs,FE_PN_obs,FE_TCH_obs,FE_ADN_pred,FE_PN_pred,FE_HER_pred,FE_TCH_pred,V_cathode_pred,converged
151,core,1.00,10.0,147,0.2000,0.1100,5.4000e-03,60.20,8.40,13.50,62.32,9.49,15.38,12.81,-1.8785,1
152,core,1.00,10.0,162,0.1200,0.1300,1.9000e-03,76.70,8.00,14.80,60.98,9.99,16.55,12.47,-1.8898,1
153,core,1.00,10.0,177,0.2800,0.0860,1.1000e-02,60.10,11.80,10.70,62.16,9.75,15.39,12.71,-1.8900,1
56,extended,0.50,2.0,80,0.2900,0.0067,9.0000e-04,51.00,1.50,10.90,63.28,8.56,14.92,13.24,-1.8371,1
57,extended,0.50,2.0,85,0.1600,0.0093,2.7000e-04,60.70,2.00,13.50,62.74,8.77,15.39,13.10,-1.8433,1
58,extended,0.50,2.0,101,0.0800,0.0110,6.9000e-05,71.50,3.00,16.60,59.84,9.75,18.03,12.38,-1.8651,1
59,extended,0.50,2.0,116,0.2400,0.0076,6.2000e-04,60.90,2.20,13.70,62.69,9.12,15.22,12.97,-1.8624,1
60,extended,0.50,2.0,131,0.0400,0.0120,1.7000e-05,70.60,10.50,8.60,38.11,13.72,40.48,7.69,-1.9351,1
61,extended,0.50,2.0,147,0.2000,0.0085,4.3000e-04,65.30,2.80,14.70,61.50,9.73,16.14,12.62,-1.8814,1
62,extended,0.50,2.0,162,0.1200,0.0100,1.5000e-04,69.70,3.70,16.10,59.82,10.32,17.65,12.22,-1.8937,1
63,extended,0.50,2.0,177,0.2800,0.0069,8.4000e-04,67.70,2.40,14.10,61.20,10.03,16.27,12.49,-1.8934,1
65,extended,0.50,2.0,208,0.1800,0.0089,3.5000e-04,70.40,4.30,14.30,58.11,11.09,19.03,11.77,-1.9142,1
66,extended,0.50,2.0,223,0.1000,0.0110,1.1000e-04,75.50,8.30,16.00,54.89,12.00,22.06,11.06,-1.9286,1
67,extended,0.50,2.0,239,0.2600,0.0072,7.2000e-04,74.30,4.40,12.60,57.73,11.38,19.26,11.64,-1.9232,1
68,extended,0.50,2.0,254,0.0600,0.0120,3.9000e-05,70.60,13.10,10.70,33.32,15.18,44.92,6.59,-1.9840,1
69,extended,0.50,2.0,269,0.2200,0.0080,5.2000e-04,75.00,6.20,12.20,54.53,12.35,22.19,10.92,-1.9400,1
70,extended,0.50,2.0,285,0.1400,0.0098,2.1000e-04,73.00,9.20,12.40,50.24,13.38,26.37,10.01,-1.9554,1
72,extended,0.50,2.0,290,0.2900,0.0067,9.0000e-04,73.10,4.50,10.50,54.82,12.39,21.83,10.96,-1.9430,1
74,extended,0.50,6.0,80,0.2900,0.0600,8.1000e-03,60.40,5.50,12.10,64.12,8.31,14.13,13.43,-1.8340,1
75,extended,0.50,6.0,85,0.1600,0.0840,2.5000e-03,61.00,9.50,12.80,63.85,8.45,14.34,13.35,-1.8391,1
76,extended,0.50,6.0,101,0.0800,0.1000,6.2000e-04,65.10,10.50,13.90,62.07,9.15,15.90,12.88,-1.8573,1
77,extended,0.50,6.0,116,0.2400,0.0690,5.6000e-03,58.80,7.60,12.70,64.16,8.68,13.86,13.31,-1.8568,1
78,extended,0.50,6.0,131,0.0400,0.1100,1.5000e-04,65.80,8.60,14.60,46.08,12.87,31.71,9.35,-1.9196,1
79,extended,0.50,6.0,147,0.2000,0.0760,3.9000e-03,58.40,8.50,12.50,63.75,9.05,14.07,13.13,-1.8731,1
80,extended,0.50,6.0,162,0.1200,0.0920,1.4000e-03,63.10,9.90,12.80,62.96,9.40,14.72,12.92,-1.8825,1
81,extended,0.50,6.0,177,0.2800,0.0620,7.6000e-03,62.00,4.60,12.40,63.81,9.23,13.88,13.07,-1.8839,1
83,extended,0.50,6.0,208,0.1800,0.0800,3.1000e-03,60.90,10.50,12.80,62.42,9.85,15.02,12.71,-1.8997,1
84,extended,0.50,6.0,223,0.1000,0.0960,9.6000e-04,65.00,10.20,14.00,60.92,10.39,16.34,12.35,-1.9098,1
85,extended,0.50,6.0,239,0.2600,0.0650,6.5000e-03,66.30,5.20,13.60,62.42,10.01,14.91,12.66,-1.9077,1
86,extended,0.50,6.0,254,0.0600,0.1100,3.5000e-04,62.10,10.10,14.00,45.04,14.10,31.89,8.97,-1.9624,1
87,extended,0.50,6.0,269,0.2200,0.0720,4.7000e-03,65.30,5.90,13.50,61.03,10.58,16.07,12.31,-1.9202,1
88,extended,0.50,6.0,285,0.1400,0.0880,1.9000e-03,69.20,5.90,14.20,58.94,11.27,17.94,11.84,-1.9314,1
90,extended,0.50,6.0,290,0.2900,0.0600,8.1000e-03,63.40,7.70,12.10,61.28,10.60,15.78,12.34,-1.9234,1
92,extended,0.50,10.0,80,0.2900,0.1700,2.3000e-02,68.10,3.40,14.80,64.40,8.23,13.87,13.50,-1.8330,1
93,extended,0.50,10.0,85,0.1600,0.2300,6.9000e-03,65.50,11.70,12.30,64.22,8.35,14.01,13.43,-1.8377,1
94,extended,0.50,10.0,101,0.0800,0.2800,1.7000e-03,74.70,10.70,14.80,62.75,8.95,15.26,13.04,-1.8547,1
95,extended,0.50,10.0,116,0.2400,0.1900,1.5000e-02,58.60,14.10,11.50,64.63,8.54,13.43,13.41,-1.8550,1
96,extended,0.50,10.0,131,0.0400,0.3000,4.3000e-04,53.60,18.20,12.50,48.80,12.44,28.84,9.92,-1.9135,1
97,extended,0.50,10.0,147,0.2000,0.2100,1.1000e-02,47.30,18.90,10.60,64.43,8.84,13.45,13.28,-1.8704,1
98,extended,0.50,10.0,162,0.1200,0.2600,3.9000e-03,56.60,15.60,11.60,63.88,9.12,13.88,13.12,-1.8789,1
99,extended,0.50,10.0,177,0.2800,0.1700,2.1000e-02,61.60,1.90,14.70,64.58,8.98,13.19,13.25,-1.8809,1
101,extended,0.50,10.0,208,0.1800,0.2200,8.7000e-03,48.90,17.70,10.90,63.63,9.47,13.93,12.98,-1.8951,1
102,extended,0.50,10.0,223,0.1000,0.2700,2.7000e-03,50.40,17.70,10.70,62.57,9.88,14.83,12.72,-1.9038,1
103,extended,0.50,10.0,239,0.2600,0.1800,1.8000e-02,65.80,3.50,14.10,63.72,9.59,13.74,12.95,-1.9028,1
104,extended,0.50,10.0,254,0.0600,0.2900,9.6000e-04,47.10,18.90,10.80,49.70,13.31,27.07,9.93,-1.9520,1
105,extended,0.50,10.0,269,0.2200,0.2000,1.3000e-02,49.90,15.90,10.80,62.78,10.03,14.49,12.70,-1.9139,1
106,extended,0.50,10.0,285,0.1400,0.2400,5.3000e-03,49.40,18.80,10.10,61.33,10.56,15.75,12.36,-1.9233,1
108,extended,0.50,10.0,290,0.2900,0.1700,2.3000e-02,63.80,6.20,12.80,63.02,10.04,14.22,12.72,-1.9171,1
110,extended,1.00,2.0,80,0.2900,0.0033,4.5000e-04,61.50,2.20,13.00,61.60,9.02,16.52,12.86,-1.8430,1
111,extended,1.00,2.0,85,0.1600,0.0047,1.4000e-04,70.50,2.60,15.10,60.44,9.40,17.59,12.58,-1.8514,1
112,extended,1.00,2.0,101,0.0800,0.0056,3.4000e-05,74.60,3.30,16.70,54.82,10.93,22.96,11.28,-1.8803,1
113,extended,1.00,2.0,116,0.2400,0.0038,3.1000e-04,66.50,2.90,14.20,59.49,10.00,18.25,12.26,-1.8732,1
114,extended,1.00,2.0,131,0.0400,0.0061,8.6000e-06,67.40,13.20,7.40,26.93,13.90,53.76,5.41,-1.9529,1
115,extended,1.00,2.0,147,0.2000,0.0042,2.1000e-04,70.70,3.50,13.30,56.23,11.11,21.19,11.47,-1.8981,1
116,extended,1.00,2.0,162,0.1200,0.0051,7.7000e-05,69.40,7.40,13.40,52.19,12.13,25.10,10.58,-1.9156,1
117,extended,1.00,2.0,177,0.2800,0.0034,4.2000e-04,69.80,5.10,11.40,54.90,11.67,22.30,11.13,-1.9124,1
119,extended,1.00,2.0,208,0.1800,0.0044,1.7000e-04,71.40,6.90,11.50,47.74,13.34,29.35,9.57,-1.9409,1
120,extended,1.00,2.0,223,0.1000,0.0054,5.4000e-05,74.40,8.00,10.40,41.84,14.30,35.52,8.34,-1.9582,1
121,extended,1.00,2.0,239,0.2600,0.0036,3.6000e-04,74.20,6.50,9.50,46.51,13.77,30.43,9.28,-1.9510,1
122,extended,1.00,2.0,254,0.0600,0.0058,1.9000e-05,62.40,11.50,6.60,21.25,14.64,59.92,4.18,-2.0011,1
123,extended,1.00,2.0,269,0.2200,0.0040,2.6000e-04,74.80,7.70,8.70,40.79,14.75,36.37,8.09,-1.9701,1
124,extended,1.00,2.0,285,0.1400,0.0049,1.1000e-04,73.80,7.80,8.80,35.13,15.32,42.62,6.93,-1.9846,1
126,extended,1.00,2.0,290,0.2900,0.0033,4.5000e-04,72.00,6.10,7.90,41.03,14.86,35.99,8.12,-1.9730,1
128,extended,1.00,6.0,80,0.2900,0.0300,4.1000e-03,59.00,8.90,12.70,63.10,8.61,15.10,13.20,-1.8378,1
129,extended,1.00,6.0,85,0.1600,0.0420,1.2000e-03,64.60,12.00,13.20,62.49,8.84,15.62,13.04,-1.8442,1
130,extended,1.00,6.0,101,0.0800,0.0500,3.1000e-04,77.40,8.00,17.10,59.33,9.88,18.52,12.27,-1.8668,1
131,extended,1.00,6.0,116,0.2400,0.0340,2.8000e-03,64.30,5.80,14.00,62.36,9.22,15.53,12.90,-1.8636,1
132,extended,1.00,6.0,131,0.0400,0.0550,7.7000e-05,73.30,8.30,15.60,36.56,13.82,42.25,7.37,-1.9378,1
133,extended,1.00,6.0,147,0.2000,0.0380,1.9000e-03,64.40,9.50,12.70,60.98,9.88,16.64,12.51,-1.8833,1
134,extended,1.00,6.0,162,0.1200,0.0460,6.9000e-04,69.80,9.80,13.40,59.06,10.52,18.36,12.05,-1.8962,1
135,extended,1.00,6.0,177,0.2800,0.0310,3.8000e-03,63.20,8.70,12.40,60.58,10.21,16.85,12.36,-1.8955,1
137,extended,1.00,6.0,208,0.1800,0.0400,1.6000e-03,69.70,6.40,13.20,57.06,11.37,20.04,11.54,-1.9174,1
138,extended,1.00,6.0,223,0.1000,0.0480,4.8000e-04,73.50,8.90,13.60,53.42,12.33,23.50,10.75,-1.9326,1
139,extended,1.00,6.0,239,0.2600,0.0330,3.3000e-03,68.10,8.50,11.60,56.57,11.68,20.36,11.39,-1.9266,1
140,extended,1.00,6.0,254,0.0600,0.0530,1.7000e-04,56.00,11.40,9.70,31.40,15.21,47.19,6.20,-1.9870,1
141,extended,1.00,6.0,269,0.2200,0.0360,2.3000e-03,64.40,11.00,9.70,52.96,12.71,23.73,10.59,-1.9442,1
142,extended,1.00,6.0,285,0.1400,0.0440,9.5000e-04,68.20,11.50,9.80,48.27,13.76,28.37,9.60,-1.9599,1
