x_m,c_H,c_OH,c_H2PO4,c_HPO4,c_PO4,c_AN,c_ADPN,c_PN,phi_l
6.36985151e-08,5.34783682e-14,1.86991495e+05,5.06148407e-10,5.96266310e-01,5.01735168e+03,1.54630412e+00,3.09808326e+00,1.30506225e+03,-1.98163458e-02
1.92594436e-07,5.36777855e-14,1.86296806e+05,5.07789600e-10,5.95977358e-01,4.99629052e+03,4.96892925e+00,3.08998575e+00,1.30165009e+03,-1.97803232e-02
3.24523411e-07,5.37922403e-14,1.85900419e+05,5.10342128e-10,5.97698738e-01,5.00006006e+03,8.47217810e+00,3.08169771e+00,1.29815764e+03,-1.97867849e-02
4.59556808e-07,5.39470801e-14,1.85366844e+05,5.12621398e-10,5.98644968e-01,4.99360177e+03,1.20578620e+01,3.07321464e+00,1.29458301e+03,-1.97757187e-02
5.97767680e-07,5.41239340e-14,1.84761145e+05,5.14806339e-10,5.99232114e-01,4.98216651e+03,1.57279207e+01,3.06453195e+00,1.29092426e+03,-1.97560873e-02
7.39230794e-07,5.42509270e-14,1.84328648e+05,5.17584147e-10,6.01055190e-01,4.98562606e+03,1.94843396e+01,3.05564495e+00,1.28717942e+03,-1.97620351e-02
8.84022681e-07,5.44116091e-14,1.83784309e+05,5.20163057e-10,6.02266192e-01,4.98091842e+03,2.33291510e+01,3.04654883e+00,1.28334646e+03,-1.97539477e-02
1.03222167e-06,5.45878239e-14,1.83191036e+05,5.22721276e-10,6.03274468e-01,4.97315135e+03,2.72644346e+01,3.03723867e+00,1.27942331e+03,-1.97405858e-02
1.18390793e-06,5.47449834e-14,1.82665139e+05,5.25594438e-10,6.04849020e-01,4.97181735e+03,3.12923195e+01,3.02770943e+00,1.27540784e+03,-1.97382915e-02
1.33916352e-06,5.49415168e-14,1.82011721e+05,5.28227475e-10,6.05704628e-01,4.96104036e+03,3.54149847e+01,3.01795596e+00,1.27129788e+03,-1.97197108e-02
1.49807244e-06,5.51196304e-14,1.81423568e+05,5.31181076e-10,6.07123226e-01,4.95659077e+03,3.96346603e+01,3.00797298e+00,1.26709122e+03,-1.97120296e-02
1.66072064e-06,5.53034847e-14,1.80820432e+05,5.34227936e-10,6.08575755e-01,4.95193189e+03,4.39536293e+01,2.99775509e+00,1.26278556e+03,-1.97039796e-02
1.82719613e-06,5.55072213e-14,1.80156739e+05,5.37237606e-10,6.09757944e-01,4.94334013e+03,4.83742280e+01,2.98729676e+00,1.25837859e+03,-1.96891112e-02
1.99758895e-06,5.57010462e-14,1.79529842e+05,5.40504301e-10,6.11330905e-01,4.93884632e+03,5.28988479e+01,2.97659234e+00,1.25386792e+03,-1.96813261e-02
2.17199129e-06,5.59059984e-14,1.78871683e+05,5.43830430e-10,6.12837944e-01,4.93287093e+03,5.75299367e+01,2.96563603e+00,1.24925110e+03,-1.96709621e-02
2.35049750e-06,5.61166536e-14,1.78200220e+05,5.47275511e-10,6.14405082e-01,4.92692042e+03,6.22699998e+01,2.95442191e+00,1.24452565e+03,-1.96606290e-02
2.53320413e-06,5.63365091e-14,1.77504786e+05,5.50812636e-10,6.15962839e-01,4.92013584e+03,6.71216014e+01,2.94294391e+00,1.23968901e+03,-1.96488318e-02
2.72021005e-06,5.65681822e-14,1.76777821e+05,5.54423874e-10,6.17462020e-01,4.91191157e+03,7.20873662e+01,2.93119582e+00,1.23473855e+03,-1.96345086e-02
2.91161640e-06,5.67758791e-14,1.76131135e+05,5.58467267e-10,6.19689882e-01,4.91160069e+03,7.71699805e+01,2.91917129e+00,1.22967160e+03,-1.96339710e-02
3.10752674e-06,5.70390131e-14,1.75318601e+05,5.62171627e-10,6.20922604e-01,4.89866771e+03,8.23721939e+01,2.90686380e+00,1.22448542e+03,-1.96113950e-02
3.30804705e-06,5.72915865e-14,1.74545699e+05,5.66196077e-10,6.22610666e-01,4.89033061e+03,8.76968207e+01,2.89426671e+00,1.21917721e+03,-1.95968118e-02
3.51328580e-06,5.75355272e-14,1.73805655e+05,5.70530331e-10,6.24716808e-01,4.88606913e+03,9.31467414e+01,2.88137320e+00,1.21374409e+03,-1.95893506e-02
3.72335404e-06,5.78028675e-14,1.73001798e+05,5.74867070e-10,6.26554131e-01,4.87777460e+03,9.87249043e+01,2.86817628e+00,1.20818312e+03,-1.95748048e-02
3.93836540e-06,5.80715012e-14,1.72201507e+05,5.79436330e-10,6.28612797e-01,4.87116318e+03,1.04434327e+02,2.85466884e+00,1.20249130e+03,-1.95631941e-02
4.15843619e-06,5.83559778e-14,1.71362050e+05,5.84104168e-10,6.30587713e-01,4.86264615e+03,1.10278098e+02,2.84084354e+00,1.19666554e+03,-1.95482122e-02
4.38368547e-06,5.86482978e-14,1.70507932e+05,5.88962292e-10,6.32663279e-01,4.85433484e+03,1.16259380e+02,2.82669293e+00,1.19070270e+03,-1.95335672e-02
4.61423510e-06,5.89434918e-14,1.69654014e+05,5.94072755e-10,6.34957014e-01,4.84753527e+03,1.22381407e+02,2.81220933e+00,1.18459954e+03,-1.95215685e-02
4.85020980e-06,5.92567394e-14,1.68757176e+05,5.99295965e-10,6.37153616e-01,4.83859102e+03,1.28647491e+02,2.79738492e+00,1.17835277e+03,-1.95057580e-02
5.09173722e-06,5.95656890e-14,1.67881882e+05,6.04871401e-10,6.39745781e-01,4.83307767e+03,1.35061023e+02,2.78221168e+00,1.17195901e+03,-1.94960001e-02
5.33894803e-06,5.99120263e-14,1.66911397e+05,6.10391599e-10,6.41852282e-01,4.82096074e+03,1.41625472e+02,2.76668140e+00,1.16541480e+03,-1.94745084e-02
5.59197596e-06,6.02566217e-14,1.65956864e+05,6.16270608e-10,6.44328328e-01,4.81188190e+03,1.48344389e+02,2.75078567e+00,1.15871659e+03,-1.94583717e-02
5.85095790e-06,6.06204395e-14,1.64960863e+05,6.22311094e-10,6.46738943e-01,4.80089763e+03,1.55221408e+02,2.73451590e+00,1.15186077e+03,-1.94388063e-02
6.11603395e-06,6.09839587e-14,1.63977548e+05,6.28730870e-10,6.49515802e-01,4.79277038e+03,1.62260252e+02,2.71786329e+00,1.14484363e+03,-1.94243031e-02
6.38734751e-06,6.13673311e-14,1.62953151e+05,6.35341544e-10,6.52244713e-01,4.78283991e+03,1.69464726e+02,2.70081882e+00,1.13766136e+03,-1.94065473e-02
6.66504536e-06,6.17716107e-14,1.61886664e+05,6.42152898e-10,6.54922741e-01,4.77104660e+03,1.76838729e+02,2.68337328e+00,1.13031009e+03,-1.93854117e-02
6.94927771e-06,6.21766967e-14,1.60831960e+05,6.49395129e-10,6.57993997e-01,4.76219089e+03,1.84386250e+02,2.66551723e+00,1.12278583e+03,-1.93695085e-02
7.24019835e-06,6.26087583e-14,1.59722063e+05,6.56818799e-10,6.60923255e-01,4.75038114e+03,1.92111372e+02,2.64724101e+00,1.11508452e+03,-1.93482520e-02
7.53796465e-06,6.30570060e-14,1.58586660e+05,6.64562138e-10,6.63961347e-01,4.73829357e+03,2.00018274e+02,2.62853473e+00,1.10720200e+03,-1.93264407e-02
7.84273769e-06,6.35092101e-14,1.57457477e+05,6.72780249e-10,6.67385968e-01,4.72882098e+03,2.08111233e+02,2.60938827e+00,1.09913398e+03,-1.93093112e-02
