x_m,c_H,c_OH,c_H2PO4,c_HPO4,c_PO4,c_AN,c_ADPN,c_PN,phi_l
6.66504536e-06,5.47049084e-14,1.82798953e+05,5.24480265e-10,6.04008994e-01,4.96854953e+03,1.77021257e+02,3.04872510e+00,1.12965350e+03,-1.97383744e-02
6.94927771e-06,5.50641975e-14,1.81606206e+05,5.30388666e-10,6.06827803e-01,4.95916627e+03,1.84567563e+02,3.02843697e+00,1.12213362e+03,-1.97221924e-02
7.24019835e-06,5.54445072e-14,1.80360517e+05,5.36472733e-10,6.09578547e-01,4.94747559e+03,1.92291441e+02,3.00767144e+00,1.11443678e+03,-1.97019867e-02
7.53796465e-06,5.58365132e-14,1.79094278e+05,5.42842986e-10,6.12486457e-01,4.93617688e+03,2.00197070e+02,2.98641728e+00,1.10655883e+03,-1.96824135e-02
7.84273769e-06,5.62335214e-14,1.77829874e+05,5.49585946e-10,6.15716636e-01,4.92717651e+03,2.08288726e+02,2.96466298e+00,1.09849551e+03,-1.96667916e-02
8.15468235e-06,5.66679438e-14,1.76466611e+05,5.56409385e-10,6.18582375e-01,4.91216108e+03,2.16570788e+02,2.94239678e+00,1.09024244e+03,-1.96406607e-02
8.47396739e-06,5.71128814e-14,1.75091849e+05,5.63602532e-10,6.21697919e-01,4.89844071e+03,2.25047734e+02,2.91960664e+00,1.08179518e+03,-1.96167146e-02
8.80076553e-06,5.75692051e-14,1.73703979e+05,5.71183732e-10,6.25066388e-01,4.88594334e+03,2.33724152e+02,2.89628022e+00,1.07314914e+03,-1.95948457e-02
9.13525357e-06,5.80464573e-14,1.72275802e+05,5.79087795e-10,6.28505731e-01,4.87243479e+03,2.42604735e+02,2.87240491e+00,1.06429965e+03,-1.95711440e-02
9.47761245e-06,5.85457068e-14,1.70806717e+05,5.87335895e-10,6.32021772e-01,4.85791038e+03,2.51694287e+02,2.84796778e+00,1.05524192e+03,-1.95455860e-02
9.82802739e-06,5.90580551e-14,1.69324912e+05,5.96051162e-10,6.35835757e-01,4.84482751e+03,2.60997726e+02,2.82295563e+00,1.04597105e+03,-1.95225005e-02
1.01866879e-05,5.95974635e-14,1.67792376e+05,6.05130072e-10,6.39678139e-01,4.82999016e+03,2.70520084e+02,2.79735491e+00,1.03648204e+03,-1.94962426e-02
1.05537882e-05,6.01595519e-14,1.66224642e+05,6.14657290e-10,6.43678486e-01,4.81478516e+03,2.80266513e+02,2.77115178e+00,1.02676973e+03,-1.94692504e-02
1.09295266e-05,6.07429765e-14,1.64628087e+05,6.24690026e-10,6.47901600e-01,4.79982603e+03,2.90242285e+02,2.74433207e+00,1.01682889e+03,-1.94426120e-02
1.13141066e-05,6.13563957e-14,1.62982194e+05,6.35186991e-10,6.52202268e-01,4.78338104e+03,3.00452797e+02,2.71688126e+00,1.00665413e+03,-1.94132310e-02
1.17077361e-05,6.19991705e-14,1.61292481e+05,6.46206718e-10,6.56638192e-01,4.76598612e+03,3.10903573e+02,2.68878451e+00,9.96239940e+02,-1.93820425e-02
1.21106281e-05,6.26644327e-14,1.59580157e+05,6.57876845e-10,6.61399768e-01,4.74958254e+03,3.21600267e+02,2.66002661e+00,9.85580698e+02,-1.93525281e-02
1.25230006e-05,6.33590624e-14,1.57830618e+05,6.70186749e-10,6.66388731e-01,4.73294454e+03,3.32548665e+02,2.63059201e+00,9.74670633e+02,-1.93224881e-02
1.29450766e-05,6.40893039e-14,1.56032277e+05,6.83138168e-10,6.71527104e-01,4.71509562e+03,3.43754689e+02,2.60046478e+00,9.63503844e+02,-1.92901437e-02
1.33770845e-05,6.48563274e-14,1.54186961e+05,6.96792976e-10,6.76849264e-01,4.69625988e+03,3.55224403e+02,2.56962863e+00,9.52074288e+02,-1.92558778e-02
1.38192580e-05,6.56675870e-14,1.52282130e+05,7.11153377e-10,6.82264490e-01,4.67535102e+03,3.66964011e+02,2.53806687e+00,9.40375783e+02,-1.92176782e-02
1.42718363e-05,6.65070914e-14,1.50359906e+05,7.26481651e-10,6.88172390e-01,4.65630910e+03,3.78979864e+02,2.50576243e+00,9.28402001e+02,-1.91827426e-02
