V,eps_org,delta_um,j1,j2,j3,j_total,FE_ADPN,FE_PN,FE_HER,pH_bulk,phi_span,max_eneutr,Na_dev,iface_var,max_Rbuf_surf,max_Rbuf_bulk,AN_depletion,c_AN_surface,c_AN_bulk,phi_l_surface
-1.00000000e+00,0.2500,50.0000,5.00546018e-06,3.81908787e-06,1.41071040e-04,1.49895588e-04,3.339298,2.547832,94.112870,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,1.31064284e+03,1.31064284e+03,0.00000000e+00
-1.05000000e+00,0.2500,50.0000,1.32443748e-05,1.01052509e-05,3.07261276e-04,3.30610902e-04,4.006031,3.056539,92.937430,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,1.31064284e+03,1.31064284e+03,0.00000000e+00
-1.12000000e+00,0.2500,50.0000,5.17194496e-05,3.94611316e-05,9.13704524e-04,1.00488511e-03,5.146802,3.926930,90.926268,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,1.31064284e+03,1.31064284e+03,0.00000000e+00
-1.21800000e+00,0.2500,50.0000,3.48277405e-04,2.65730215e-04,4.20167928e-03,4.81568690e-03,7.232144,5.518013,87.249843,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,1.31064284e+03,1.31064284e+03,0.00000000e+00
-1.35520000e+00,0.2500,50.0000,5.02927365e-03,3.83725717e-03,3.55702464e-02,4.44367772e-02,11.317818,8.635318,80.046863,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,1.31064284e+03,1.31064284e+03,0.00000000e+00
-1.54728000e+00,0.2500,50.0000,2.11297762e-01,1.61219733e-01,7.07637495e-01,1.08015499e+00,19.561800,14.925611,65.512589,13.026907,8.28220302e-07,2.27373675e-13,1.69567118e-04,9.94675436e-11,3.16238237e+00,3.72574349e-09,0.999982,1.31061972e+03,1.31064284e+03,-8.28220302e-07
-1.74728000e+00,0.2500,50.0000,1.03115837e+01,7.88115518e+00,1.59126000e+01,3.41053388e+01,30.234515,23.108274,46.657211,13.026907,5.25241074e-05,2.27373675e-13,1.07005553e-02,5.54227888e-15,1.89626337e+02,3.72574349e-09,0.998277,1.30838481e+03,1.31064284e+03,-5.25241074e-05
-1.94728000e+00,0.2500,50.0000,4.23847200e+02,3.48594051e+02,3.49785768e+02,1.12222702e+03,37.768401,31.062703,31.168896,13.026907,1.56387627e-03,2.27373675e-13,3.26213471e-01,2.29768769e-08,1.90275952e+03,3.72574349e-09,0.927695,1.21587617e+03,1.31064284e+03,-1.56387627e-03
-2.00728000e+00,0.2500,50.0000,1.02729546e+03,9.58326863e+02,8.68806780e+02,2.85442910e+03,35.989524,33.573329,30.437147,13.026907,3.12611007e-03,4.54747351e-13,7.36864790e-01,2.54732523e-10,1.72590405e+03,3.72574349e-09,0.817895,1.07196771e+03,1.31064284e+03,-3.12611007e-03
-2.07328000e+00,0.2500,50.0000,1.98549737e+03,2.48407748e+03,2.35410812e+03,6.82368297e+03,29.097151,36.403765,34.499084,13.026907,5.10042705e-03,4.54747351e-13,1.49002010e+00,2.03226592e-09,1.21734540e+03,3.72574349e-09,0.609845,7.99289627e+02,1.31064284e+03,-5.10042705e-03
-2.14588000e+00,0.2500,50.0000,2.57285781e+03,5.61622202e+03,7.05725541e+03,1.52463352e+04,16.875254,36.836538,46.288208,13.026907,7.18108415e-03,9.09494702e-13,2.79076964e+00,7.53958238e-09,7.82391793e+02,3.72574349e-09,0.349532,4.58111842e+02,1.31064284e+03,-7.18108415e-03
-2.22574000e+00,0.2500,50.0000,1.92764598e+03,1.03351686e+04,2.35908681e+04,3.58536827e+04,5.376424,28.825961,65.797615,13.026907,9.52634662e-03,1.81898940e-12,5.48280676e+00,2.65215627e-12,4.61409712e+02,3.72574349e-09,0.142307,1.86513259e+02,1.31064284e+03,-9.52634662e-03
-2.31358600e+00,0.2500,50.0000,7.24252600e+02,1.44643274e+04,8.83939979e+04,1.03582578e+05,0.699203,13.964054,85.336743,13.026907,1.25261726e-02,3.63797881e-12,1.32214720e+01,9.16156040e-13,2.31780859e+02,3.72574349e-09,0.038204,5.00716403e+01,1.31064284e+03,-1.25261726e-02
-2.41021660e+00,0.2500,50.0000,1.48031289e+02,1.61330209e+04,3.74903880e+05,3.91184932e+05,0.037842,4.124142,95.838017,13.026907,1.63509588e-02,1.81898940e-12,4.31492460e+01,3.10951265e-12,9.61209409e+01,3.72574349e-09,0.007001,9.17567078e+00,1.31064284e+03,-1.63509588e-02
-2.50000000e+00,0.2500,50.0000,2.89314105e+01,1.64657773e+04,1.42986005e+06,1.44635476e+06,0.002000,1.138433,98.859567,13.026907,2.01501449e-02,1.81898940e-12,1.48095852e+02,1.01536557e-11,4.01763680e+01,3.72574349e-09,0.001341,1.75706314e+00,1.31064284e+03,-2.01501449e-02
