x_m,c_H,c_OH,c_H2PO4,c_HPO4,c_PO4,c_AN,c_ADPN,c_PN,phi_l
6.36985151e-08,9.09691189e-11,1.09927050e+02,1.22057675e-04,8.45298232e+01,4.18140895e+02,1.30787856e+03,1.54397478e+00,7.80261589e-01,-4.32456857e-05
1.92594436e-07,9.09767698e-11,1.09917814e+02,1.22074142e-04,8.45341722e+01,4.18131077e+02,1.30788579e+03,1.54015470e+00,7.78234979e-01,-4.31587194e-05
3.24523411e-07,9.09846185e-11,1.09908341e+02,1.22091658e-04,8.45390177e+01,4.18119401e+02,1.30789319e+03,1.53624516e+00,7.76160441e-01,-4.30487296e-05
4.59556808e-07,9.09926707e-11,1.09898624e+02,1.22109633e-04,8.45439888e+01,4.18107057e+02,1.30790076e+03,1.53224401e+00,7.74036838e-01,-4.29294150e-05
5.97767680e-07,9.10009116e-11,1.09888680e+02,1.22128044e-04,8.45490852e+01,4.18094432e+02,1.30790851e+03,1.52814904e+00,7.71863008e-01,-4.28076070e-05
7.39230794e-07,9.10093453e-11,1.09878506e+02,1.22146896e-04,8.45543067e+01,4.18081538e+02,1.30791644e+03,1.52395798e+00,7.69637760e-01,-4.26835346e-05
8.84022681e-07,9.10179821e-11,1.09868087e+02,1.22166192e-04,8.45596453e+01,4.18068292e+02,1.30792456e+03,1.51966851e+00,7.67359876e-01,-4.25555587e-05
1.03222167e-06,9.10268197e-11,1.09857429e+02,1.22185951e-04,8.45651171e+01,4.18054784e+02,1.30793287e+03,1.51527824e+00,7.65028107e-01,-4.24255951e-05
1.18390793e-06,9.10358697e-11,1.09846515e+02,1.22206176e-04,8.45707126e+01,4.18040914e+02,1.30794137e+03,1.51078472e+00,7.62641178e-01,-4.22916970e-05
1.33916352e-06,9.10451322e-11,1.09835348e+02,1.22226884e-04,8.45764441e+01,4.18026742e+02,1.30795008e+03,1.50618542e+00,7.60197779e-01,-4.21551698e-05
1.49807244e-06,9.10546104e-11,1.09823922e+02,1.22248090e-04,8.45823183e+01,4.18012287e+02,1.30795899e+03,1.50147774e+00,7.57696574e-01,-4.20164731e-05
1.66072064e-06,9.10643174e-11,1.09812223e+02,1.22269795e-04,8.45883237e+01,4.17997433e+02,1.30796811e+03,1.49665903e+00,7.55136193e-01,-4.18733225e-05
1.82719613e-06,9.10742560e-11,1.09800247e+02,1.22292015e-04,8.45944687e+01,4.17982209e+02,1.30797744e+03,1.49172654e+00,7.52515232e-01,-4.17263999e-05
1.99758895e-06,9.10844276e-11,1.09787992e+02,1.22314767e-04,8.46007639e+01,4.17966659e+02,1.30798699e+03,1.48667746e+00,7.49832258e-01,-4.15767172e-05
2.17199129e-06,9.10948408e-11,1.09775449e+02,1.22338060e-04,8.46072079e+01,4.17950740e+02,1.30799677e+03,1.48150888e+00,7.47085800e-01,-4.14234411e-05
2.35049750e-06,9.11055023e-11,1.09762609e+02,1.22361907e-04,8.46138020e+01,4.17934425e+02,1.30800678e+03,1.47621782e+00,7.44274356e-01,-4.12661698e-05
2.53320413e-06,9.11164126e-11,1.09749473e+02,1.22386328e-04,8.46205604e+01,4.17917785e+02,1.30801703e+03,1.47080121e+00,7.41396385e-01,-4.11063986e-05
2.72021005e-06,9.11275907e-11,1.09736017e+02,1.22411318e-04,8.46274624e+01,4.17900628e+02,1.30802751e+03,1.46525588e+00,7.38450313e-01,-4.09403479e-05
2.91161640e-06,9.11390262e-11,1.09722254e+02,1.22436916e-04,8.46345429e+01,4.17883177e+02,1.30803824e+03,1.45957858e+00,7.35434526e-01,-4.07726329e-05
3.10752674e-06,9.11507344e-11,1.09708167e+02,1.22463122e-04,8.46417893e+01,4.17865298e+02,1.30804923e+03,1.45376596e+00,7.32347375e-01,-4.06006644e-05
3.30804705e-06,9.11627226e-11,1.09693745e+02,1.22489951e-04,8.46492039e+01,4.17846970e+02,1.30806047e+03,1.44781456e+00,7.29187168e-01,-4.04240764e-05
3.51328580e-06,9.11749940e-11,1.09678988e+02,1.22517423e-04,8.46567976e+01,4.17828233e+02,1.30807198e+03,1.44172081e+00,7.25952178e-01,-4.02438329e-05
3.72335404e-06,9.11875591e-11,1.09663880e+02,1.22545547e-04,8.46645676e+01,4.17809024e+02,1.30808376e+03,1.43548104e+00,7.22640635e-01,-4.00587356e-05
3.93836540e-06,9.12004209e-11,1.09648420e+02,1.22574347e-04,8.46725259e+01,4.17789390e+02,1.30809581e+03,1.42909147e+00,7.19250726e-01,-3.98698668e-05
4.15843619e-06,9.12135923e-11,1.09632592e+02,1.22603829e-04,8.46806660e+01,4.17769240e+02,1.30810815e+03,1.42254818e+00,7.15780599e-01,-3.96754831e-05
4.38368547e-06,9.12270698e-11,1.09616401e+02,1.22634025e-04,8.46890130e+01,4.17748715e+02,1.30812078e+03,1.41584716e+00,7.12228354e-01,-3.94785769e-05
4.61423510e-06,9.12408744e-11,1.09599821e+02,1.22664935e-04,8.46975463e+01,4.17727616e+02,1.30813371e+03,1.40898423e+00,7.08592052e-01,-3.92752131e-05
4.85020980e-06,9.12550058e-11,1.09582854e+02,1.22696586e-04,8.47062855e+01,4.17706042e+02,1.30814694e+03,1.40195510e+00,7.04869703e-01,-3.90675616e-05
5.09173722e-06,9.12694752e-11,1.09565486e+02,1.22728993e-04,8.47152294e+01,4.17683937e+02,1.30816048e+03,1.39475533e+00,7.01059273e-01,-3.88545579e-05
5.33894803e-06,9.12842844e-11,1.09547716e+02,1.22762182e-04,8.47243950e+01,4.17661377e+02,1.30817434e+03,1.38738035e+00,6.97158681e-01,-3.86379322e-05
5.59197596e-06,9.12994514e-11,1.09529522e+02,1.22796159e-04,8.47337691e+01,4.17638215e+02,1.30818853e+03,1.37982542e+00,6.93165795e-01,-3.84147843e-05
5.85095790e-06,9.13149749e-11,1.09510907e+02,1.22830956e-04,8.47433755e+01,4.17614575e+02,1.30820305e+03,1.37208565e+00,6.89078435e-01,-3.81877951e-05
6.11603395e-06,9.13308760e-11,1.09491845e+02,1.22866577e-04,8.47531962e+01,4.17590272e+02,1.30821791e+03,1.36415599e+00,6.84894369e-01,-3.79533323e-05
6.38734751e-06,9.13471483e-11,1.09472345e+02,1.22903064e-04,8.47632655e+01,4.17565504e+02,1.30823313e+03,1.35603119e+00,6.80611311e-01,-3.77156003e-05
6.66504536e-06,9.13638133e-11,1.09452381e+02,1.22940419e-04,8.47735661e+01,4.17540089e+02,1.30824870e+03,1.34770587e+00,6.76226926e-01,-3.74710057e-05
6.94927771e-06,9.13808720e-11,1.09431953e+02,1.22978676e-04,8.47841190e+01,4.17514127e+02,1.30826463e+03,1.33917443e+00,6.71738818e-01,-3.72217512e-05
7.24019835e-06,9.13983430e-11,1.09411039e+02,1.23017844e-04,8.47949141e+01,4.17487484e+02,1.30828095e+03,1.33043108e+00,6.67144539e-01,-3.69652311e-05
