x_m,c_H,c_OH,c_H2PO4,c_HPO4,c_PO4,c_AN,c_ADPN,c_PN,phi_l
6.36985151e-08,9.07620818e-11,1.10177779e+02,1.21595145e-04,8.44015736e+01,4.18458753e+02,1.30809293e+03,1.43118672e+00,7.19975822e-01,-4.63126394e-05
1.92594436e-07,9.07702348e-11,1.10167892e+02,1.21612726e-04,8.44062505e+01,4.18448228e+02,1.30809960e+03,1.42765110e+00,7.18101307e-01,-4.62197637e-05
3.24523411e-07,9.07786166e-11,1.10157730e+02,1.21631367e-04,8.44114028e+01,4.18435544e+02,1.30810642e+03,1.42403123e+00,7.16182546e-01,-4.60981080e-05
4.59556808e-07,9.07872003e-11,1.10147324e+02,1.21650509e-04,8.44167126e+01,4.18422373e+02,1.30811341e+03,1.42032505e+00,7.14218494e-01,-4.59709502e-05
5.97767680e-07,9.07959846e-11,1.10136677e+02,1.21670116e-04,8.44221570e+01,4.18408913e+02,1.30812055e+03,1.41653042e+00,7.12208080e-01,-4.58413733e-05
7.39230794e-07,9.08049769e-11,1.10125780e+02,1.21690189e-04,8.44277304e+01,4.18395133e+02,1.30812787e+03,1.41264515e+00,7.10150208e-01,-4.57087124e-05
8.84022681e-07,9.08141895e-11,1.10114617e+02,1.21710731e-04,8.44334223e+01,4.18380927e+02,1.30813536e+03,1.40866700e+00,7.08043756e-01,-4.55708646e-05
1.03222167e-06,9.08236095e-11,1.10103205e+02,1.21731775e-04,8.44392689e+01,4.18366534e+02,1.30814303e+03,1.40459365e+00,7.05887578e-01,-4.54327883e-05
1.18390793e-06,9.08332614e-11,1.10091514e+02,1.21753308e-04,8.44452379e+01,4.18351682e+02,1.30815087e+03,1.40042273e+00,7.03680497e-01,-4.52890265e-05
1.33916352e-06,9.08431347e-11,1.10079557e+02,1.21775363e-04,8.44513618e+01,4.18336580e+02,1.30815890e+03,1.39615180e+00,7.01421310e-01,-4.51439418e-05
1.49807244e-06,9.08532481e-11,1.10067311e+02,1.21797936e-04,8.44576196e+01,4.18321038e+02,1.30816712e+03,1.39177835e+00,6.99108787e-01,-4.49937158e-05
1.66072064e-06,9.08636029e-11,1.10054776e+02,1.21821044e-04,8.44640226e+01,4.18305107e+02,1.30817553e+03,1.38729980e+00,6.96741667e-01,-4.48395072e-05
1.82719613e-06,9.08741970e-11,1.10041953e+02,1.21844711e-04,8.44705891e+01,4.18288886e+02,1.30818414e+03,1.38271350e+00,6.94318660e-01,-4.46834383e-05
1.99758895e-06,9.08850467e-11,1.10028824e+02,1.21868936e-04,8.44773033e+01,4.18272224e+02,1.30819296e+03,1.37801673e+00,6.91838444e-01,-4.45224939e-05
2.17199129e-06,9.08961503e-11,1.10015391e+02,1.21893743e-04,8.44841833e+01,4.18255218e+02,1.30820198e+03,1.37320667e+00,6.89299669e-01,-4.43587662e-05
2.35049750e-06,9.09075212e-11,1.10001637e+02,1.21919137e-04,8.44912196e+01,4.18237759e+02,1.30821121e+03,1.36828045e+00,6.86700951e-01,-4.41901301e-05
2.53320413e-06,9.09191586e-11,1.09987564e+02,1.21945141e-04,8.44984290e+01,4.18219935e+02,1.30822066e+03,1.36323509e+00,6.84040874e-01,-4.40184910e-05
2.72021005e-06,9.09310754e-11,1.09973156e+02,1.21971762e-04,8.45058039e+01,4.18201649e+02,1.30823033e+03,1.35806753e+00,6.81317987e-01,-4.38419608e-05
2.91161640e-06,9.09432713e-11,1.09958415e+02,1.21999023e-04,8.45133612e+01,4.18182986e+02,1.30824023e+03,1.35277463e+00,6.78530807e-01,-4.36623981e-05
3.10752674e-06,9.09557615e-11,1.09943322e+02,1.22026929e-04,8.45210896e+01,4.18163821e+02,1.30825036e+03,1.34735316e+00,6.75677816e-01,-4.34773524e-05
3.30804705e-06,9.09685458e-11,1.09927878e+02,1.22055505e-04,8.45290066e+01,4.18144242e+02,1.30826073e+03,1.34179977e+00,6.72757457e-01,-4.32887420e-05
3.51328580e-06,9.09816358e-11,1.09912068e+02,1.22084761e-04,8.45371082e+01,4.18124176e+02,1.30827135e+03,1.33611104e+00,6.69768141e-01,-4.30951877e-05
3.72335404e-06,9.09950365e-11,1.09895887e+02,1.22114718e-04,8.45454034e+01,4.18103645e+02,1.30828221e+03,1.33028342e+00,6.66708238e-01,-4.28972477e-05
3.93836540e-06,9.10087541e-11,1.09879329e+02,1.22145393e-04,8.45538993e+01,4.18082657e+02,1.30829334e+03,1.32431328e+00,6.63576080e-01,-4.26952197e-05
4.15843619e-06,9.10228036e-11,1.09862375e+02,1.22176794e-04,8.45625866e+01,4.18061095e+02,1.30830472e+03,1.31819685e+00,6.60369961e-01,-4.24868514e-05
4.38368547e-06,9.10371796e-11,1.09845032e+02,1.22208958e-04,8.45714955e+01,4.18039136e+02,1.30831637e+03,1.31193027e+00,6.57088134e-01,-4.22758695e-05
4.61423510e-06,9.10519072e-11,1.09827270e+02,1.22241879e-04,8.45805987e+01,4.18016529e+02,1.30832829e+03,1.30550955e+00,6.53728810e-01,-4.20572796e-05
4.85020980e-06,9.10669775e-11,1.09809100e+02,1.22275599e-04,8.45899335e+01,4.17993502e+02,1.30834050e+03,1.29893057e+00,6.50290159e-01,-4.18358571e-05
5.09173722e-06,9.10824113e-11,1.09790499e+02,1.22310121e-04,8.45994821e+01,4.17969869e+02,1.30835299e+03,1.29218911e+00,6.46770306e-01,-4.16079782e-05
5.33894803e-06,9.10982110e-11,1.09771462e+02,1.22345473e-04,8.46092614e+01,4.17945704e+02,1.30836578e+03,1.28528079e+00,6.43167335e-01,-4.13752748e-05
5.59197596e-06,9.11143871e-11,1.09751979e+02,1.22381673e-04,8.46192741e+01,4.17920974e+02,1.30837886e+03,1.27820111e+00,6.39479280e-01,-4.11372144e-05
5.85095790e-06,9.11309480e-11,1.09732039e+02,1.22418742e-04,8.46295269e+01,4.17895673e+02,1.30839226e+03,1.27094542e+00,6.35704132e-01,-4.08938284e-05
6.11603395e-06,9.11479095e-11,1.09711624e+02,1.22456694e-04,8.46400138e+01,4.17869701e+02,1.30840597e+03,1.26350893e+00,6.31839832e-01,-4.06432076e-05
6.38734751e-06,9.11652714e-11,1.09690735e+02,1.22495563e-04,8.46507586e+01,4.17843175e+02,1.30842000e+03,1.25588669e+00,6.27884274e-01,-4.03879190e-05
6.66504536e-06,9.11830468e-11,1.09669356e+02,1.22535367e-04,8.46617614e+01,4.17816037e+02,1.30843436e+03,1.24807362e+00,6.23835301e-01,-4.01269452e-05
6.94927771e-06,9.12012526e-11,1.09647468e+02,1.22576120e-04,8.46730156e+01,4.17788179e+02,1.30844906e+03,1.24006445e+00,6.19690704e-01,-3.98582040e-05
7.24019835e-06,9.12198921e-11,1.09625067e+02,1.22617854e-04,8.46845404e+01,4.17759680e+02,1.30846411e+03,1.23185376e+00,6.15448223e-01,-3.95835030e-05
7.53796465e-06,9.12389745e-11,1.09602144e+02,1.22660596e-04,8.46963451e+01,4.17730545e+02,1.30847951e+03,1.22343597e+00,6.11105540e-01,-3.93031245e-05
7.84273769e-06,9.12585089e-11,1.09578687e+02,1.22704372e-04,8.47084393e+01,4.17700780e+02,1.30849528e+03,1.21480530e+00,6.06660286e-01,-3.90173598e-05
8.15468235e-06,9.12785157e-11,1.09554673e+02,1.22749195e-04,8.47208126e+01,4.17670242e+02,1.30851141e+03,1.20595583e+00,6.02110032e-01,-3.87234494e-05
8.47396739e-06,9.12989995e-11,1.09530098e+02,1.22795101e-04,8.47334845e+01,4.17639007e+02,1.30852792e+03,1.19688141e+00,5.97452292e-01,-3.84231401e-05
8.80076553e-06,9.13199749e-11,1.09504944e+02,1.22842112e-04,8.47464570e+01,4.17607019e+02,1.30854483e+03,1.18757575e+00,5.92684519e-01,-3.81154810e-05
