V,eps_org,delta_um,j1,j2,j3,j_total,FE_ADPN,FE_PN,FE_HER,pH_bulk,phi_span,max_eneutr,Na_dev,iface_var,max_Rbuf_surf,max_Rbuf_bulk,AN_depletion,c_AN_surface,c_AN_bulk,phi_l_surface
-1.00000000e+00,0.1500,50.0000,5.00546018e-06,3.81908787e-06,1.41071040e-04,1.49895588e-04,3.339298,2.547832,94.112870,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,1.31064284e+03,1.31064284e+03,0.00000000e+00
-1.05000000e+00,0.1500,50.0000,1.32443748e-05,1.01052509e-05,3.07261276e-04,3.30610902e-04,4.006031,3.056539,92.937430,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,1.31064284e+03,1.31064284e+03,0.00000000e+00
-1.12000000e+00,0.1500,50.0000,5.17194496e-05,3.94611316e-05,9.13704524e-04,1.00488511e-03,5.146802,3.926930,90.926268,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,1.31064284e+03,1.31064284e+03,0.00000000e+00
-1.21800000e+00,0.1500,50.0000,3.48277405e-04,2.65730215e-04,4.20167928e-03,4.81568690e-03,7.232144,5.518013,87.249843,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,1.31064284e+03,1.31064284e+03,0.00000000e+00
-1.35520000e+00,0.1500,50.0000,5.02927365e-03,3.83725717e-03,3.55702464e-02,4.44367772e-02,11.317818,8.635318,80.046863,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,1.31064284e+03,1.31064284e+03,0.00000000e+00
-1.54728000e+00,0.1500,50.0000,2.11297197e-01,1.61219671e-01,7.07638569e-01,1.08015544e+00,19.561740,14.925599,65.512661,13.026907,7.30673905e-07,2.27373675e-13,1.49601168e-04,8.77668999e-11,3.12772017e+00,3.72574349e-09,0.999980,1.31061672e+03,1.31064284e+03,-7.30673905e-07
-1.74728000e+00,0.1500,50.0000,1.03082296e+01,7.88034957e+00,1.59141389e+01,3.41027180e+01,30.227003,23.107688,46.665309,13.026907,4.63126394e-05,2.27373675e-13,9.44559676e-03,1.18714696e-08,1.89048294e+02,3.72574349e-09,0.998054,1.30809293e+03,1.31064284e+03,-4.63126394e-05
-1.94728000e+00,0.1500,50.0000,4.17568451e+02,3.46558439e+02,3.50685541e+02,1.11481243e+03,37.456386,31.086704,31.456910,13.026907,1.39886230e-03,2.27373675e-13,2.89093804e-01,1.92094713e-08,2.10796154e+03,3.72574349e-09,0.919320,1.20490054e+03,1.31064284e+03,-1.39886230e-03
-2.00728000e+00,0.1500,50.0000,9.89463882e+02,9.43092081e+02,8.72618139e+02,2.80517410e+03,35.272815,33.619734,31.107450,13.026907,2.84495010e-03,4.54747351e-13,6.53627163e-01,1.05623035e-10,2.02128084e+03,3.72574349e-09,0.800500,1.04916996e+03,1.31064284e+03,-2.84495010e-03
-2.07328000e+00,0.1500,50.0000,1.83995122e+03,2.40023971e+03,2.36820872e+03,6.60839965e+03,27.842614,36.321044,35.836342,13.026907,4.71684221e-03,4.54747351e-13,1.31593050e+00,1.07182183e-09,1.48511096e+03,3.72574349e-09,0.584881,7.66569777e+02,1.31064284e+03,-4.71684221e-03
-2.14588000e+00,0.1500,50.0000,2.27487968e+03,5.30337415e+03,7.10517074e+03,1.46834246e+04,15.492841,36.118101,48.389057,13.026907,6.74645764e-03,9.09494702e-13,2.45824834e+00,6.05859624e-09,9.74298865e+02,3.72574349e-09,0.327282,4.28949498e+02,1.31064284e+03,-6.74645764e-03
-2.22574000e+00,0.1500,50.0000,1.61818442e+03,9.50854259e+03,2.37474812e+04,3.48742082e+04,4.640061,27.265257,68.094682,13.026907,9.10134130e-03,1.81898940e-12,4.85114818e+00,3.06671355e-12,5.75898394e+02,3.72574349e-09,0.129846,1.70182171e+02,1.31064284e+03,-9.10134130e-03
-2.31358600e+00,0.1500,50.0000,5.79645740e+02,1.29887299e+04,8.89271178e+04,1.02495493e+05,0.565533,12.672489,86.761978,13.026907,1.21399449e-02,3.63797881e-12,1.17764961e+01,6.47482068e-13,2.87121232e+02,3.72574349e-09,0.034050,4.46268220e+01,1.31064284e+03,-1.21399449e-02
-2.41021660e+00,0.1500,50.0000,1.15888146e+02,1.43245508e+04,3.77012753e+05,3.91453192e+05,0.029605,3.659327,96.311069,13.026907,1.59906626e-02,3.63797881e-12,3.84903675e+01,2.54463117e-12,1.18329373e+02,3.72574349e-09,0.006173,8.09017664e+00,1.31064284e+03,-1.59906626e-02
-2.50000000e+00,0.1500,50.0000,2.25530810e+01,1.45851523e+04,1.43731011e+06,1.45191782e+06,0.001553,1.004544,98.993903,13.026907,1.98163458e-02,1.81898940e-12,1.31924173e+02,1.68682845e-11,4.93834013e+01,3.72574349e-09,0.001180,1.54630412e+00,1.31064284e+03,-1.98163458e-02
