x_m,c_H,c_OH,c_H2PO4,c_HPO4,c_PO4,c_AN,c_ADPN,c_PN,phi_l
6.36985151e-08,3.46981948e-11,2.88199441e+02,2.44944687e-05,4.44733093e+01,5.76716402e+02,6.18570525e+02,5.97585535e+01,6.30179993e+01,-1.82229360e-03
1.92594436e-07,3.47570595e-11,2.87711339e+02,2.45624977e-05,4.45215199e+01,5.76417173e+02,6.18939039e+02,5.96023139e+01,6.28532376e+01,-1.81885886e-03
3.24523411e-07,3.48179405e-11,2.87208260e+02,2.46341714e-05,4.45733650e+01,5.76082400e+02,6.19316224e+02,5.94423979e+01,6.26845989e+01,-1.81498111e-03
4.59556808e-07,3.48805008e-11,2.86693135e+02,2.47079633e-05,4.46267006e+01,5.75737421e+02,6.19702286e+02,5.92787188e+01,6.25119920e+01,-1.81098174e-03
5.97767680e-07,3.49447043e-11,2.86166396e+02,2.47838967e-05,4.46816048e+01,5.75386661e+02,6.20097431e+02,5.91111882e+01,6.23353235e+01,-1.80692404e-03
7.39230794e-07,3.50107948e-11,2.85626195e+02,2.48618989e-05,4.47376192e+01,5.75020456e+02,6.20501875e+02,5.89397154e+01,6.21544978e+01,-1.80266465e-03
8.84022681e-07,3.50786333e-11,2.85073823e+02,2.49421782e-05,4.47952802e+01,5.74648117e+02,6.20915836e+02,5.87642077e+01,6.19694171e+01,-1.79834288e-03
1.03222167e-06,3.51482831e-11,2.84508921e+02,2.50248040e-05,4.48546127e+01,5.74269023e+02,6.21339537e+02,5.85845702e+01,6.17799812e+01,-1.79395027e-03
1.18390793e-06,3.52198884e-11,2.83930488e+02,2.51097922e-05,4.49154428e+01,5.73878698e+02,6.21773209e+02,5.84007056e+01,6.15860878e+01,-1.78942083e-03
1.33916352e-06,3.52934430e-11,2.83338752e+02,2.51972710e-05,4.49779878e+01,5.73480146e+02,6.22217086e+02,5.82125144e+01,6.13876318e+01,-1.78480021e-03
1.49807244e-06,3.53690589e-11,2.82732998e+02,2.52872891e-05,4.50421706e+01,5.73070693e+02,6.22671407e+02,5.80198949e+01,6.11845059e+01,-1.78004922e-03
1.66072064e-06,3.54467966e-11,2.82112942e+02,2.53799372e-05,4.51080541e+01,5.72650297e+02,6.23136419e+02,5.78227429e+01,6.09766003e+01,-1.77516811e-03
1.82719613e-06,3.55267331e-11,2.81478178e+02,2.54752998e-05,4.51756669e+01,5.72218230e+02,6.23612374e+02,5.76209517e+01,6.07638024e+01,-1.77014678e-03
1.99758895e-06,3.56088315e-11,2.80829212e+02,2.55735484e-05,4.52453354e+01,5.71779366e+02,6.24099528e+02,5.74144122e+01,6.05459972e+01,-1.76505908e-03
2.17199129e-06,3.56933079e-11,2.80164565e+02,2.56746794e-05,4.53167517e+01,5.71326493e+02,6.24598145e+02,5.72030126e+01,6.03230668e+01,-1.75979797e-03
2.35049750e-06,3.57801266e-11,2.79484760e+02,2.57788762e-05,4.53902578e+01,5.70864668e+02,6.25108495e+02,5.69866385e+01,6.00948907e+01,-1.75444013e-03
2.53320413e-06,3.58694726e-11,2.78788600e+02,2.58861704e-05,4.54656448e+01,5.70388486e+02,6.25630854e+02,5.67651729e+01,5.98613453e+01,-1.74890550e-03
2.72021005e-06,3.59612648e-11,2.78076985e+02,2.59967922e-05,4.55433892e+01,5.69905402e+02,6.26165505e+02,5.65384960e+01,5.96223043e+01,-1.74330700e-03
2.91161640e-06,3.60558078e-11,2.77347831e+02,2.61107009e-05,4.56230002e+01,5.69404632e+02,6.26712737e+02,5.63064851e+01,5.93776385e+01,-1.73748365e-03
3.10752674e-06,3.61529943e-11,2.76602264e+02,2.62281614e-05,4.57050424e+01,5.68895144e+02,6.27272845e+02,5.60690149e+01,5.91272155e+01,-1.73157135e-03
3.30804705e-06,3.62530478e-11,2.75838879e+02,2.63492074e-05,4.57892546e+01,5.68370373e+02,6.27846134e+02,5.58259566e+01,5.88708997e+01,-1.72547242e-03
3.51328580e-06,3.63560453e-11,2.75057421e+02,2.64739877e-05,4.58757595e+01,5.67830887e+02,6.28432913e+02,5.55771790e+01,5.86085526e+01,-1.71919652e-03
3.72335404e-06,3.64619928e-11,2.74258187e+02,2.66027115e-05,4.59648708e+01,5.67280718e+02,6.29033499e+02,5.53225474e+01,5.83400321e+01,-1.71280561e-03
3.93836540e-06,3.65711026e-11,2.73439939e+02,2.67354481e-05,4.60563964e+01,5.66714440e+02,6.29648218e+02,5.50619241e+01,5.80651931e+01,-1.70621910e-03
4.15843619e-06,3.66833448e-11,2.72603278e+02,2.68724534e-05,4.61507677e+01,5.66138095e+02,6.30277401e+02,5.47951680e+01,5.77838869e+01,-1.69952953e-03
4.38368547e-06,3.67990671e-11,2.71746021e+02,2.70137183e-05,4.62474825e+01,5.65540438e+02,6.30921390e+02,5.45221349e+01,5.74959612e+01,-1.69256817e-03
4.61423510e-06,3.69182021e-11,2.70869096e+02,2.71595493e-05,4.63470989e+01,5.64929672e+02,6.31580533e+02,5.42426770e+01,5.72012604e+01,-1.68546043e-03
4.85020980e-06,3.70408277e-11,2.69972370e+02,2.73101586e-05,4.64498247e+01,5.64307431e+02,6.32255185e+02,5.39566432e+01,5.68996249e+01,-1.67823262e-03
5.09173722e-06,3.71673033e-11,2.69053688e+02,2.74655642e-05,4.65551802e+01,5.63662746e+02,6.32945714e+02,5.36638787e+01,5.65908917e+01,-1.67071977e-03
5.33894803e-06,3.72975115e-11,2.68114404e+02,2.76261493e-05,4.66639005e+01,5.63006685e+02,6.33652491e+02,5.33642252e+01,5.62748936e+01,-1.66309146e-03
5.59197596e-06,3.74318006e-11,2.67152525e+02,2.77919676e-05,4.67755729e+01,5.62329368e+02,6.34375899e+02,5.30575205e+01,5.59514598e+01,-1.65519906e-03
5.85095790e-06,3.75699996e-11,2.66169820e+02,2.79634732e-05,4.68911042e+01,5.61644664e+02,6.35116329e+02,5.27435988e+01,5.56204152e+01,-1.64725546e-03
6.11603395e-06,3.77127450e-11,2.65162348e+02,2.81405367e-05,4.70094066e+01,5.60930416e+02,6.35874183e+02,5.24222901e+01,5.52815809e+01,-1.63892468e-03
6.38734751e-06,3.78598788e-11,2.64131855e+02,2.83236380e-05,4.71314014e+01,5.60200507e+02,6.36649870e+02,5.20934208e+01,5.49347734e+01,-1.63042006e-03
6.66504536e-06,3.80115435e-11,2.63077978e+02,2.85130514e-05,4.72572809e+01,5.59455549e+02,6.37443810e+02,5.17568128e+01,5.45798052e+01,-1.62175299e-03
6.94927771e-06,3.81680215e-11,2.61999434e+02,2.87089662e-05,4.73869157e+01,5.58690329e+02,6.38256432e+02,5.14122840e+01,5.42164842e+01,-1.61284572e-03
7.24019835e-06,3.83295080e-11,2.60895601e+02,2.89116585e-05,4.75204230e+01,5.57903919e+02,6.39088175e+02,5.10596482e+01,5.38446139e+01,-1.60368599e-03
7.53796465e-06,3.84962086e-11,2.59765842e+02,2.91214192e-05,4.76579233e+01,5.57095321e+02,6.39939491e+02,5.06987145e+01,5.34639932e+01,-1.59426049e-03
7.84273769e-06,3.86682957e-11,2.58609795e+02,2.93385884e-05,4.77996504e+01,5.56265394e+02,6.40810838e+02,5.03292876e+01,5.30744160e+01,-1.58458450e-03
8.15468235e-06,3.88458418e-11,2.57427811e+02,2.95636078e-05,4.79461159e+01,5.55419658e+02,6.41702690e+02,4.99511677e+01,5.26756717e+01,-1.57474541e-03
8.47396739e-06,3.90293989e-11,2.56217116e+02,2.97965825e-05,4.80966835e+01,5.54543499e+02,6.42615527e+02,4.95641503e+01,5.22675445e+01,-1.56452037e-03
8.80076553e-06,3.92188254e-11,2.54979590e+02,3.00381756e-05,4.82524651e+01,5.53652506e+02,6.43549845e+02,4.91680260e+01,5.18498136e+01,-1.55415240e-03
9.13525357e-06,3.94147525e-11,2.53712110e+02,3.02884916e-05,4.84127081e+01,5.52729848e+02,6.44506148e+02,4.87625805e+01,5.14222532e+01,-1.54338397e-03
9.47761245e-06,3.96172340e-11,2.52415401e+02,3.05481114e-05,4.85781253e+01,5.51783797e+02,6.45484954e+02,4.83475944e+01,5.09846318e+01,-1.53234557e-03
9.82802739e-06,3.98264189e-11,2.51089611e+02,3.08175792e-05,4.87492343e+01,5.50818961e+02,6.46486792e+02,4.79228433e+01,5.05367127e+01,-1.52111180e-03
1.01866879e-05,4.00429060e-11,2.49732125e+02,3.10971318e-05,4.89255009e+01,5.49821895e+02,6.47512204e+02,4.74880974e+01,5.00782536e+01,-1.50947675e-03
1.05537882e-05,4.02668697e-11,2.48343119e+02,3.13873763e-05,4.91074835e+01,5.48797527e+02,6.48561746e+02,4.70431214e+01,4.96090065e+01,-1.49751994e-03
1.09295266e-05,4.04985324e-11,2.46922528e+02,3.16889285e-05,4.92956734e+01,5.47749324e+02,6.49635984e+02,4.65876747e+01,4.91287176e+01,-1.48529884e-03
1.13141066e-05,4.07382946e-11,2.45469284e+02,3.20023139e-05,4.94901842e+01,5.46674171e+02,6.50735500e+02,4.61215109e+01,4.86371270e+01,-1.47276842e-03
1.17077361e-05,4.09867034e-11,2.43981564e+02,3.23279965e-05,4.96908397e+01,5.45563960e+02,6.51860889e+02,4.56443777e+01,4.81339687e+01,-1.45980519e-03
1.21106281e-05,4.12439083e-11,2.42460048e+02,3.26668096e-05,4.98984944e+01,5.44427372e+02,6.53012759e+02,4.51560172e+01,4.76189706e+01,-1.44654901e-03
1.25230006e-05,4.15106244e-11,2.40902182e+02,3.30192025e-05,5.01127050e+01,5.43251457e+02,6.54191734e+02,4.46561650e+01,4.70918541e+01,-1.43280016e-03
1.29450766e-05,4.17868141e-11,2.39309941e+02,3.33862873e-05,5.03349217e+01,5.42053873e+02,6.55398452e+02,4.41445507e+01,4.65523340e+01,-1.41884104e-03
1.33770845e-05,4.20731648e-11,2.37681193e+02,3.37686721e-05,5.05649212e+01,5.40824635e+02,6.56633565e+02,4.36208977e+01,4.60001184e+01,-1.40451906e-03
1.38192580e-05,4.23704236e-11,2.36013690e+02,3.41669957e-05,5.08024339e+01,5.39552889e+02,6.57897741e+02,4.30849226e+01,4.54349086e+01,-1.38966695e-03
1.42718363e-05,4.26789079e-11,2.34307777e+02,3.45823278e-05,5.10483204e+01,5.38245570e+02,6.59191665e+02,4.25363354e+01,4.48563989e+01,-1.37439913e-03
1.47350643e-05,4.29990832e-11,2.32563098e+02,3.50157115e-05,5.13031806e+01,5.36904933e+02,6.60516036e+02,4.19748394e+01,4.42642762e+01,-1.35875688e-03
1.52091924e-05,4.33314668e-11,2.30779172e+02,3.54682495e-05,5.15675972e+01,5.35532462e+02,6.61871571e+02,4.14001309e+01,4.36582203e+01,-1.34276990e-03
1.56944773e-05,4.36771852e-11,2.28952483e+02,3.59406587e-05,5.18408270e+01,5.34108599e+02,6.63259003e+02,4.08118988e+01,4.30379033e+01,-1.32613138e-03
1.61911814e-05,4.40363393e-11,2.27085179e+02,3.64346169e-05,5.21246951e+01,5.32653277e+02,6.64679082e+02,4.02098251e+01,4.24029896e+01,-1.30916659e-03
1.66995735e-05,4.44099367e-11,2.25174831e+02,3.69511879e-05,5.24190058e+01,5.31154550e+02,6.66132578e+02,3.95935840e+01,4.17531357e+01,-1.29169082e-03
1.72199285e-05,4.47986002e-11,2.23221260e+02,3.74918984e-05,5.27246270e+01,5.29616304e+02,6.67620276e+02,3.89628420e+01,4.10879901e+01,-1.27377392e-03
1.77525281e-05,4.52036045e-11,2.21221297e+02,3.80578924e-05,5.30410601e+01,5.28021246e+02,6.69142981e+02,3.83172581e+01,4.04071929e+01,-1.25514367e-03
